feature_id,rt,mz_measured,mz_calculated,mz_error(ppm),mol_formula,smiles,adduct,primary_annotated_name,structure_annotated_name,rt_score,mz_score,spec_score,total_score,fragments_ion_detection_level,fragments_spectrum_detection_level,fragment_mz_delta,fragment_fatty_acid_pos,fragment_types,datafile:neg_FRN5.mzML:area,datafile:neg_FRN4.mzML:area,datafile:neg_FRN3.mzML:area,datafile:neg_FRN2.mzML:area,datafile:neg_FRN1.mzML:area,datafile:neg_HFO1.mzML:area,datafile:neg_HFO3.mzML:area,datafile:neg_HFO2.mzML:area,datafile:neg_HFO5.mzML:area,datafile:neg_HFO4.mzML:area
1209,1.557,512.80677,513.0772900000001,527.2499977538142,C29H49O12P,CCC=CCC=CCC=CCC=CCCCCCCC(=O)OCC(O)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O,[M-H]-,LPI 20:4,"LPI 20:4(8,11,14,17)",0.8519999999999999,0.7297600000000557,0.1892497780895369,0.3095758224716351,Some,Some,-106.21159999999999,6,aldehyde,5860000000.0,5340000000.0,5500000000.0,3730000000.0,2770000000.0,750.8250825082508,6080000000.0,3970000000.0,4210000000.0,4570000000.0
1365,1.916,529.2892,529.0766900000001,401.6619972426908,C29H49O12P,CCC=CCC=CCC=CCC=CCCCCCCC(=O)OCC(O)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O,[M-H]-,LPI 20:4,"LPI 20:4(8,11,14,17)",0.43000000000000016,0.7872099999998454,0.32071775317200973,0.3782952025375924,Some,Some,-90.2122,6,criegee,3200000000.0,2950000000.0,3900000000.0,9510000000.0,3750000000.0,1132.013201320132,4330000000.0,6460000000.0,3930000000.0,3350000000.0
1121,1.441,552.77002,553.14229,673.0094710349441,C29H49O12P,CCC=CCC=CCC=CCC=CCCCCCCC(=O)OCC(O)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O,[M-H]-,LPI 20:4,"LPI 20:4(8,11,14,17)",0.6200000000000001,0.6280100000001312,0.9052148868961497,0.8489729095169329,Some,Some,-66.1466,9,aldehyde,7480000000.0,7050000000.0,8030000000.0,7650000000.0,7270000000.0,1290.4290429042903,8230000000.0,8410000000.0,8490000000.0,7480000000.0
1136,1.448,568.74375,569.14169,699.1932009058453,C29H49O12P,CCC=CCC=CCC=CCC=CCCCCCCC(=O)OCC(O)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O,[M-H]-,LPI 20:4,"LPI 20:4(8,11,14,17)",0.6339999999999999,0.6023400000000265,0.2021254916333338,0.2853343933066697,Some,Some,-50.147200000000005,9,criegee,7310000000.0,6520000000.0,7890000000.0,7510000000.0,6010000000.0,1184.8184818481848,8470000000.0,7400000000.0,8410000000.0,6860000000.0
1319,1.868,507.27242,507.27284,0.8279568051835448,C24H45O9P,CCCCCCCCC=CCC=CCCCCC(=O)OCC(O)COP(=O)(O)OCC(O)CO,[M-H]-,LPG 18:2,"LPG 18:2(6,9)",0.9900000000000002,0.8796600000000012,0.0,0.18696600000000016,Some,None,0.0,0,substrate,0.0,,0.0,,,,,16600.0,0.0,
1319,1.868,507.27242,507.27284,0.8279568051835448,C24H45O9P,CCCCCC=CCC=CCCCCCCCC(=O)OCC(O)COP(=O)(O)OCC(O)CO,[M-H]-,LPG 18:2,"LPG 18:2(9,12)",0.9300000000000002,0.13369000000000142,0.0,0.10636900000000017,Some,None,0.0,0,substrate,9270.0,,0.0,,,,,0.0,16800.0,
1335,1.873,397.14916,397.02923999999996,302.0432449762038,C24H45O9P,CCCCCCCCC=CCC=CCCCCC(=O)OCC(O)COP(=O)(O)OCC(O)CO,[M-H]-,LPG 18:2,"LPG 18:2(6,9)",0.9900000000000002,0.8796600000000012,0.0,0.18696600000000016,Some,None,-110.24359999999999,12,aldehyde,0.0,0.0,321000000.0,0.0,0.0,0.0,0.0,28.49397590361446,0.0,0.0
1361,1.903,438.24351,439.11024,1973.8323569952763,C24H45O9P,CCCCCC=CCC=CCCCCCCCC(=O)OCC(O)COP(=O)(O)OCC(O)CO,[M-H]-,LPG 18:2,"LPG 18:2(9,12)",0.9300000000000002,0.13369000000000142,0.0,0.10636900000000017,Some,None,-68.1626,9,aldehyde,40.34519956850054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.33333333333337,0.0
1337,1.873,498.2624,498.26261,0.42146449636546424,C25H42NO7P,CCC=CCC=CCC=CCC=CCC=CCCCC(=O)OCC(O)COP(=O)(O)OCCN,[M-H]-,LPE 20:5,"LPE 20:5(5,8,11,14,17)",0.8473333333333334,0.837250000000059,0.0,0.16845833333333923,Some,None,0.0,0,substrate,,,,,,33300.0,0.0,,,21300.0
1306,1.86,312.17197,311.9210100000001,804.5626679649016,C25H42NO7P,CCC=CCC=CCC=CCC=CCC=CCCCC(=O)OCC(O)COP(=O)(O)OCCN,[M-H]-,LPE 20:5,"LPE 20:5(5,8,11,14,17)",0.9740000000000002,0.7488300000001118,0.0,0.1722830000000112,Some,None,-186.34159999999991,3,aldehyde,0.0,0.0,0.0,0.0,0.0,0.0,6740000000.0,0.0,0.0,0.0
