feature_id,rt,mz_measured,mz_calculated,mz_error(ppm),mol_formula,smiles,adduct,primary_annotated_name,structure_annotated_name,rt_score,mz_score,spec_score,total_score,fragments_ion_detection_level,fragments_spectrum_detection_level,datafile:neg_FRN1.mzML:area,datafile:neg_FRN2.mzML:area,datafile:neg_FRN3.mzML:area,datafile:neg_FRN4.mzML:area,datafile:neg_FRN5.mzML:area,datafile:neg_HFO1.mzML:area,datafile:neg_HFO2.mzML:area,datafile:neg_HFO3.mzML:area,datafile:neg_HFO4.mzML:area,datafile:neg_HFO5.mzML:area
P26030,18.536,918.7539,918.75452,0.674826612,C59H96O6,CCCCCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCC=CCC=CCC=CCC=CCC=CCC)COC(=O)CCCCCCCC=CCC=CCCCCC,[M+NH4]+,TG 18:2_18:2_20:5,"TG 18:2(9,12)_18:2(9,12)_20:5(5,8,11,14,17)",0.6992,0.896754,0.655593209,0.684069968,Some,Some,0,0,0,0,0,213788.4903,223369.8641,0,0,0
P26030,18.536,918.7539,918.75452,0.674826612,C59H96O6,CCCCCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCC=CCC=CCC=CCC=CCC=CCC)COC(=O)CCCCC=CCC=CCCCCCCCC,[M+NH4]+,TG 18:2_18:2_20:5,"TG 18:2(6,9)_18:2(9,12)_20:5(5,8,11,14,17)",0.629,0.80248375,0.579266996,0.606561972,Some,Some,0,0,0,0,0,345638.9217,409781.5793,0,0,0
P26030,18.536,918.7539,918.75452,0.674826612,C59H96O6,CCCCCCCCC=CCC=CCCCCC(=O)OC(COC(=O)CCCC=CCC=CCC=CCC=CCC=CCC)COC(=O)CCCCC=CCC=CCCCCCCCC,[M+NH4]+,TG 18:2_18:2_20:5,"TG 18:2(6,9)_18:2(6,9)_20:5(5,8,11,14,17)",0.625666667,0.887038333,0.56361588,0.602163204,Some,Some,0,0,0,0,0,204572.588,215848.5566,0,0,0
P26037,18.543,794.7139,794.72322,11.72735333,C49H92O6,CCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCCCCCCC,[M+NH4]+,TG 14:0_14:0_18:1,TG 14:0_14:0_18:1(9),0.882,0.867635,0,0.1749635,All,None,,0,,0,,0,0,19475.40984,0,0
P26037,18.543,794.7139,794.72322,11.72735333,C49H92O6,CCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCC=CCCCCCC)COC(=O)CCCCCCCCCCCCC,[M+NH4]+,TG 14:0_14:0_18:1,TG 14:0_14:0_18:1(11),0.895,0.528165,0,0.1423165,All,None,,0,,0,,0,0,0,0,0
P26037,18.543,794.7139,794.72322,11.72735333,C49H92O6,CCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCC=CCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCC,[M+NH4]+,TG 14:0_14:0_18:1,TG 14:0_14:0_18:1(6),0.608,0.510555,0,0.1118555,All,None,,0,,0,,0,0,88524.59016,101000,0
P26045,18.551,792.70691,792.70757,0.832589501,C49H90O6,CCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCC=CCCCCC)COC(=O)CCCCCCCCCCC,[M+NH4]+,TG 12:0_16:0_18:2,"TG 12:0_16:0_18:2(9,12)",0.4,0.94397,0.087818626,0.2046519,All,Some,201678.737,543000,162773.7226,437000,,671000,118929.7297,676806.003,188569.3481,518774.1935
P26045,18.551,792.70691,792.70757,0.832589501,C49H90O6,CCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCC=CCC=CCCCCCCCC)COC(=O)CCCCCCCCCCC,[M+NH4]+,TG 12:0_16:0_18:2,"TG 12:0_16:0_18:2(6,9)",0.766,0.5101925,0,0.12761925,All,None,371321.263,0,237226.2774,0,,0,622070.2703,257193.997,557430.6519,212225.8065
P26067,18.565,925.72153,925.72556,4.353342042,C59H98O6,CCCCCCCCC=CCC=CCCCCC(=O)OC(COC(=O)CCCC=CCC=CCC=CCC=CCCCCC)COC(=O)CCCCC=CCC=CCCCCCCCC,[M+Na]+,TG 18:2_18:2_20:4,"TG 18:2(6,9)_18:2(6,9)_20:4(5,8,11,14)",0.7892,0.689614,0.076969609,0.209457087,Some,Some,0,0,3533.333333,0,0,0,0,0,0,0
P26067,18.565,925.72153,925.72556,4.353342042,C59H98O6,CCCCCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCC=CCC=CCC=CCC=CCCCCC)COC(=O)CCCCC=CCC=CCCCCCCCC,[M+Na]+,TG 18:2_18:2_20:4,"TG 18:2(6,9)_18:2(9,12)_20:4(5,8,11,14)",0.792,0.71106,0.072164078,0.208037262,Some,Some,0,0,3533.333333,0,0,0,0,0,0,0
P26067,18.565,925.72153,925.72556,4.353342042,C59H98O6,CCCCCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCC=CCC=CCC=CCC=CCC)COC(=O)CCCCC=CCC=CCCCCCCCC,[M+Na]+,TG 18:2_18:2_20:4,"TG 18:2(6,9)_18:2(9,12)_20:4(8,11,14,17)",0.809,0.77547125,0.056947656,0.20400525,Some,Some,0,0,3533.333333,0,0,0,0,0,0,0
P26140,18.611,823.67835,823.67861,0.315657098,C51H92O6,CCCCCCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCC=CCCCCC)COC(=O)CCCCCCCCCCCCC,[M+Na]+,TG 14:0_16:1_18:2,"TG 14:0_16:1(9)_18:2(9,12)",0.903,0.791903333,0,0.169490333,All,None,60632.83798,63238.09524,33333.33333,50804.76627,18400,41990.05594,44441.439,37454.30346,48466.44612,39333.33333
P26140,18.611,823.67835,823.67861,0.315657098,C51H92O6,CCCCCCCCCC=CCCCCC(=O)OC(COC(=O)CCCCCCCC=CCC=CCCCCC)COC(=O)CCCCCCCCCCCCC,[M+Na]+,TG 14:0_16:1_18:2,"TG 14:0_16:1(6)_18:2(9,12)",0.749,0.654381667,0,0.140338167,All,None,43183.58101,40380.95238,33333.33333,36597.61687,18400,34504.97203,0,44091.39308,24385.63327,39333.33333
P26140,18.611,823.67835,823.67861,0.315657098,C51H92O6,CCCCCCCCC=CCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCC=CCCCCC)COC(=O)CCCCCCCCCCCCC,[M+Na]+,TG 14:0_16:1_18:2,"TG 14:0_16:1(7)_18:2(9,12)",0.8685,0.4962725,0,0.13647725,Some,None,43183.58101,40380.95238,33333.33333,36597.61687,18400,34504.97203,61558.561,37454.30346,56147.9206,39333.33333
