feature_id,rt,mz_measured,mz_calculated,mz_error(ppm),mol_formula,smiles,adduct,primary_annotated_name,structure_annotated_name,rt_score,mz_score,spec_score,total_score,fragments_ion_detection_level,fragments_spectrum_detection_level,datafile:neg_FRN1.mzML:area,datafile:neg_FRN2.mzML:area,datafile:neg_FRN3.mzML:area,datafile:neg_FRN4.mzML:area,datafile:neg_FRN5.mzML:area,datafile:neg_HFO1.mzML:area,datafile:neg_HFO2.mzML:area,datafile:neg_HFO3.mzML:area,datafile:neg_HFO4.mzML:area,datafile:neg_HFO5.mzML:area
N5973,6.435,821.53431,821.53381,0.608617678,C46H79O10P,CCC=CCC=CCC=CCC=CCC=CCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 18:1_22:5,"PG 18:1(9)_22:5(7,10,13,16,19)",0.6216,0.888694,0.018551254,0.165870403,Some,Some,0,0,0,0,0,0,0,903.2385105,0,396.3172101
N5977,6.438,795.51834,795.51816,0.226267619,C44H77O10P,CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC(COC(=O)CCCCCCCCCC=CCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 18:1_20:4,"PG 18:1(11)_20:4(5,8,11,14)",0.766857143,0.485095714,0.293826703,0.360256648,Some,Some,5487.235495,7110.080565,4595.835692,2672.959923,4902.02804,10325.77048,8703.273347,9657.467653,11926.50502,9793.548387
N5977,6.438,795.51834,795.51816,0.226267619,C44H77O10P,CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC(COC(=O)CCCCC=CCCCCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 18:1_20:4,"PG 18:1(6)_20:4(5,8,11,14)",0.754,0.537286667,0.224208166,0.308495199,Some,Some,5487.235495,7110.080565,4595.835692,2672.959923,4902.02804,8710.412259,6820.869436,6239.385549,9878.094405,6338.43318
N5977,6.438,795.51834,795.51816,0.226267619,C44H77O10P,CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 18:1_20:4,"PG 18:1(9)_20:4(5,8,11,14)",0.72025,0.630975,0.168156124,0.269647399,Some,Some,15125.52901,25879.83887,18908.32862,22754.08015,17895.94392,24763.81726,28375.85722,18803.1468,22095.40057,23468.01843
N6019,6.485,847.54844,847.54946,1.203469589,C48H81O10P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OC(COC(=O)CCCCCCCCCC=CCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 20:1_22:6,"PG 20:1(11)_22:6(4,7,10,13,16,19)",0.706363636,0.816573636,0.195234488,0.308481318,Some,Some,0,18888.21341,0,0,17974.53817,0,0,0,6859.668644,0
N6019,6.485,847.54844,847.54946,1.203469589,C48H81O10P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OC(COC(=O)CCCCCCCCCCCC=CCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 20:1_22:6,"PG 20:1(13)_22:6(4,7,10,13,16,19)",0.693230769,0.887577692,0.104169152,0.241416168,All,Some,0,18811.78659,0,0,17625.46183,0,0,0,7040.331356,0
N6048,6.499,859.5345,859.5342,0.349026252,C45H81O13P,CCCCCCCCC=CCC=CCCCCC(=O)OC(COC(=O)CCCCC=CCCCCCCCCCCC)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O,[M-H]-,PI 18:1_18:2,"PI 18:1(6)_18:2(6,9)",0.73,0.90256,0.101437212,0.24440577,Some,Some,269773.6765,312692.9764,265617.4863,204194.1876,252506.1497,161110.4495,175193.2059,167668.008,145252.678,179567.584
N6048,6.499,859.5345,859.5342,0.349026252,C45H81O13P,CCCCCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCC=CCCCCCC)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O,[M-H]-,PI 18:1_18:2,"PI 18:1(11)_18:2(9,12)",0.746666667,0.647373333,0.116823661,0.232862929,All,Some,276814.473,248913.4214,336765.0273,266611.6248,217049.6143,99479.60703,61102.61854,111707.7465,106359.1682,109978.7137
N6048,6.499,859.5345,859.5342,0.349026252,C45H81O13P,CCCCCCCCC=CCC=CCCCCC(=O)OC(COC(=O)CCCCCCCCCC=CCCCCCC)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O,[M-H]-,PI 18:1_18:2,"PI 18:1(11)_18:2(6,9)",0.804,0.66117,0.10603018,0.231341144,All,Some,216411.8504,268393.6022,265617.4863,204194.1876,197444.236,117409.9434,155704.1755,143624.2455,112388.1537,133453.7023
N6091,6.516,745.50231,745.50251,0.268275421,C40H75O10P,CCCCCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 16:0_18:2,"PG 16:0_18:2(9,12)",0.988,0.92644,0,0.191444,All,None,143480.226,154243.8437,218826.0473,82387.55622,186562.7633,363883.6689,238779.2129,161440.2491,128523.3242,124300.9946
