chain_shorthand,db_shorthand
PA 8:0_24:5,"PA 8:0_24:5(9,12,15,18,21)"
PA 8:0_24:6,"PA 8:0_24:6(4,7,10,13,16,19)"
PA 8:0_26:1,PA 8:0_26:1(17)
PA 8:0_26:4,"PA 8:0_26:4(11,14,17,20)"
PA 8:0_26:5,"PA 8:0_26:5(11,14,17,20,23)"
PA 8:0_26:5,"PA 8:0_26:5(8,11,14,17,20)"
PA 8:0_26:6,"PA 8:0_26:6(8,11,14,17,20,23)"
PA 8:0_28:4,"PA 8:0_28:4(13,16,19,22)"
PA 8:0_28:5,"PA 8:0_28:5(10,13,16,19,22)"
PA 8:0_28:5,"PA 8:0_28:5(13,16,19,22,25)"
PA 8:0_28:6,"PA 8:0_28:6(10,13,16,19,22,25)"
PA 10:0_10:0,PA 10:0_10:0
PA 10:0_12:0,PA 10:0_12:0
PA 10:0_14:0,PA 10:0_14:0
PA 10:0_16:0,PA 10:0_16:0
PA 10:0_18:0,PA 10:0_18:0
PA 10:0_20:0,PA 10:0_20:0
PA 10:0_22:0,PA 10:0_22:0
PA 10:0_24:0,PA 10:0_24:0
PA 10:0_26:0,PA 10:0_26:0
PA 10:0_28:0,PA 10:0_28:0
PA 10:0_12:1,PA 10:0_12:1(5)
PA 10:0_12:1,PA 10:0_12:1(6)
PA 10:0_12:1,PA 10:0_12:1(9)
PA 10:0_14:1,PA 10:0_14:1(5)
PA 10:0_14:1,PA 10:0_14:1(6)
PA 10:0_14:1,PA 10:0_14:1(9)
PA 10:0_16:1,PA 10:0_16:1(6)
PA 10:0_16:1,PA 10:0_16:1(7)
PA 10:0_16:1,PA 10:0_16:1(9)
PA 10:0_16:2,"PA 10:0_16:2(6,9)"
PA 10:0_18:1,PA 10:0_18:1(11)
PA 10:0_18:1,PA 10:0_18:1(6)
PA 10:0_18:1,PA 10:0_18:1(9)
PA 10:0_18:2,"PA 10:0_18:2(6,9)"
PA 10:0_18:2,"PA 10:0_18:2(9,12)"
PA 10:0_18:3,"PA 10:0_18:3(6,9,12)"
PA 10:0_18:3,"PA 10:0_18:3(9,12,15)"
PA 10:0_18:4,"PA 10:0_18:4(6,9,12,15)"
PA 10:0_20:1,PA 10:0_20:1(11)
PA 10:0_20:1,PA 10:0_20:1(13)
PA 10:0_20:2,"PA 10:0_20:2(11,14)"
PA 10:0_20:2,"PA 10:0_20:2(8,11)"
PA 10:0_20:3,"PA 10:0_20:3(11,14,17)"
PA 10:0_20:3,"PA 10:0_20:3(5,8,11)"
PA 10:0_20:3,"PA 10:0_20:3(8,11,14)"
PA 10:0_20:4,"PA 10:0_20:4(5,8,11,14)"
PA 10:0_20:4,"PA 10:0_20:4(8,11,14,17)"
PA 10:0_20:5,"PA 10:0_20:5(5,8,11,14,17)"
PA 10:0_22:1,PA 10:0_22:1(13)
PA 10:0_22:2,"PA 10:0_22:2(13,16)"
PA 10:0_22:3,"PA 10:0_22:3(7,10,13)"
PA 10:0_22:4,"PA 10:0_22:4(7,10,13,16)"
PA 10:0_22:5,"PA 10:0_22:5(4,7,10,13,16)"
PA 10:0_22:5,"PA 10:0_22:5(4,7,10,13,16)"
PA 10:0_22:5,"PA 10:0_22:5(7,10,13,16,19)"
PA 10:0_22:6,"PA 10:0_22:6(4,7,10,13,16,19)"
PA 10:0_24:1,PA 10:0_24:1(15)
PA 10:0_24:4,"PA 10:0_24:4(9,12,15,18)"
PA 10:0_24:5,"PA 10:0_24:5(6,9,12,15,18)"
PA 10:0_24:5,"PA 10:0_24:5(9,12,15,18,21)"
PA 10:0_24:6,"PA 10:0_24:6(4,7,10,13,16,19)"
PA 10:0_26:1,PA 10:0_26:1(17)
PA 10:0_26:4,"PA 10:0_26:4(11,14,17,20)"
PA 10:0_26:5,"PA 10:0_26:5(11,14,17,20,23)"
PA 10:0_26:5,"PA 10:0_26:5(8,11,14,17,20)"
PA 10:0_26:6,"PA 10:0_26:6(8,11,14,17,20,23)"
PA 10:0_28:4,"PA 10:0_28:4(13,16,19,22)"
PA 10:0_28:5,"PA 10:0_28:5(10,13,16,19,22)"
PA 10:0_28:5,"PA 10:0_28:5(13,16,19,22,25)"
PA 10:0_28:6,"PA 10:0_28:6(10,13,16,19,22,25)"
PA 12:0_12:0,PA 12:0_12:0
PA 12:0_14:0,PA 12:0_14:0
PA 12:0_16:0,PA 12:0_16:0
PA 12:0_18:0,PA 12:0_18:0
PA 12:0_20:0,PA 12:0_20:0
PA 12:0_22:0,PA 12:0_22:0
PA 12:0_24:0,PA 12:0_24:0
PA 12:0_26:0,PA 12:0_26:0
PA 12:0_28:0,PA 12:0_28:0
PA 12:0_12:1,PA 12:0_12:1(5)
PA 12:0_12:1,PA 12:0_12:1(6)
PA 12:0_12:1,PA 12:0_12:1(9)
PA 12:0_14:1,PA 12:0_14:1(5)
PA 12:0_14:1,PA 12:0_14:1(6)
PA 12:0_14:1,PA 12:0_14:1(9)
PA 12:0_16:1,PA 12:0_16:1(6)
PA 12:0_16:1,PA 12:0_16:1(7)
PA 12:0_16:1,PA 12:0_16:1(9)
PA 12:0_16:2,"PA 12:0_16:2(6,9)"
PA 12:0_18:1,PA 12:0_18:1(11)
PA 12:0_18:1,PA 12:0_18:1(6)
PA 12:0_18:1,PA 12:0_18:1(9)
PA 12:0_18:2,"PA 12:0_18:2(6,9)"
PA 12:0_18:2,"PA 12:0_18:2(9,12)"
PA 12:0_18:3,"PA 12:0_18:3(6,9,12)"
PA 12:0_18:3,"PA 12:0_18:3(9,12,15)"
PA 12:0_18:4,"PA 12:0_18:4(6,9,12,15)"
PA 12:0_20:1,PA 12:0_20:1(11)
PA 12:0_20:1,PA 12:0_20:1(13)
PA 12:0_20:2,"PA 12:0_20:2(11,14)"
PA 12:0_20:2,"PA 12:0_20:2(8,11)"
PA 12:0_20:3,"PA 12:0_20:3(11,14,17)"
PA 12:0_20:3,"PA 12:0_20:3(5,8,11)"
PA 12:0_20:3,"PA 12:0_20:3(8,11,14)"
PA 12:0_20:4,"PA 12:0_20:4(5,8,11,14)"
PA 12:0_20:4,"PA 12:0_20:4(8,11,14,17)"
PA 12:0_20:5,"PA 12:0_20:5(5,8,11,14,17)"
PA 12:0_22:1,PA 12:0_22:1(13)
PA 12:0_22:2,"PA 12:0_22:2(13,16)"
PA 12:0_22:3,"PA 12:0_22:3(7,10,13)"
PA 12:0_22:4,"PA 12:0_22:4(7,10,13,16)"
PA 12:0_22:5,"PA 12:0_22:5(4,7,10,13,16)"
PA 12:0_22:5,"PA 12:0_22:5(4,7,10,13,16)"
PA 12:0_22:5,"PA 12:0_22:5(7,10,13,16,19)"
PA 12:0_22:6,"PA 12:0_22:6(4,7,10,13,16,19)"
PA 12:0_24:1,PA 12:0_24:1(15)
PA 12:0_24:4,"PA 12:0_24:4(9,12,15,18)"
PA 12:0_24:5,"PA 12:0_24:5(6,9,12,15,18)"
PA 12:0_24:5,"PA 12:0_24:5(9,12,15,18,21)"
PA 12:0_24:6,"PA 12:0_24:6(4,7,10,13,16,19)"
PA 12:0_26:1,PA 12:0_26:1(17)
PA 12:0_26:4,"PA 12:0_26:4(11,14,17,20)"
PA 12:0_26:5,"PA 12:0_26:5(11,14,17,20,23)"
PA 12:0_26:5,"PA 12:0_26:5(8,11,14,17,20)"
PA 12:0_26:6,"PA 12:0_26:6(8,11,14,17,20,23)"
PA 12:0_28:4,"PA 12:0_28:4(13,16,19,22)"
PA 12:0_28:5,"PA 12:0_28:5(10,13,16,19,22)"
PA 12:0_28:5,"PA 12:0_28:5(13,16,19,22,25)"
PA 12:0_28:6,"PA 12:0_28:6(10,13,16,19,22,25)"
PA 14:0_14:0,PA 14:0_14:0
PA 14:0_16:0,PA 14:0_16:0
PA 14:0_18:0,PA 14:0_18:0
PA 14:0_20:0,PA 14:0_20:0
PA 14:0_22:0,PA 14:0_22:0
PA 14:0_24:0,PA 14:0_24:0
PA 14:0_26:0,PA 14:0_26:0
PA 14:0_28:0,PA 14:0_28:0
PA 14:0_12:1,PA 14:0_12:1(5)
PA 14:0_12:1,PA 14:0_12:1(6)
PA 14:0_12:1,PA 14:0_12:1(9)
PA 14:0_14:1,PA 14:0_14:1(5)
PA 14:0_14:1,PA 14:0_14:1(6)
PA 14:0_14:1,PA 14:0_14:1(9)
PA 14:0_16:1,PA 14:0_16:1(6)
PA 14:0_16:1,PA 14:0_16:1(7)
PA 14:0_16:1,PA 14:0_16:1(9)
PA 14:0_16:2,"PA 14:0_16:2(6,9)"
PA 14:0_18:1,PA 14:0_18:1(11)
PA 14:0_18:1,PA 14:0_18:1(6)
PA 14:0_18:1,PA 14:0_18:1(9)
PA 14:0_18:2,"PA 14:0_18:2(6,9)"
PA 14:0_18:2,"PA 14:0_18:2(9,12)"
PA 14:0_18:3,"PA 14:0_18:3(6,9,12)"
PA 14:0_18:3,"PA 14:0_18:3(9,12,15)"
PA 14:0_18:4,"PA 14:0_18:4(6,9,12,15)"
PA 14:0_20:1,PA 14:0_20:1(11)
PA 14:0_20:1,PA 14:0_20:1(13)
PA 14:0_20:2,"PA 14:0_20:2(11,14)"
PA 14:0_20:2,"PA 14:0_20:2(8,11)"
PA 14:0_20:3,"PA 14:0_20:3(11,14,17)"
PA 14:0_20:3,"PA 14:0_20:3(5,8,11)"
PA 14:0_20:3,"PA 14:0_20:3(8,11,14)"
PA 14:0_20:4,"PA 14:0_20:4(5,8,11,14)"
PA 14:0_20:4,"PA 14:0_20:4(8,11,14,17)"
PA 14:0_20:5,"PA 14:0_20:5(5,8,11,14,17)"
PA 14:0_22:1,PA 14:0_22:1(13)
PA 14:0_22:2,"PA 14:0_22:2(13,16)"
PA 14:0_22:3,"PA 14:0_22:3(7,10,13)"
PA 14:0_22:4,"PA 14:0_22:4(7,10,13,16)"
PA 14:0_22:5,"PA 14:0_22:5(4,7,10,13,16)"
PA 14:0_22:5,"PA 14:0_22:5(4,7,10,13,16)"
PA 14:0_22:5,"PA 14:0_22:5(7,10,13,16,19)"
PA 14:0_22:6,"PA 14:0_22:6(4,7,10,13,16,19)"
PA 14:0_24:1,PA 14:0_24:1(15)
PA 14:0_24:4,"PA 14:0_24:4(9,12,15,18)"
PA 14:0_24:5,"PA 14:0_24:5(6,9,12,15,18)"
PA 14:0_24:5,"PA 14:0_24:5(9,12,15,18,21)"
PA 14:0_24:6,"PA 14:0_24:6(4,7,10,13,16,19)"
PA 14:0_26:1,PA 14:0_26:1(17)
PA 14:0_26:4,"PA 14:0_26:4(11,14,17,20)"
PA 14:0_26:5,"PA 14:0_26:5(11,14,17,20,23)"
PA 14:0_26:5,"PA 14:0_26:5(8,11,14,17,20)"
PA 14:0_26:6,"PA 14:0_26:6(8,11,14,17,20,23)"
PA 14:0_28:4,"PA 14:0_28:4(13,16,19,22)"
PA 14:0_28:5,"PA 14:0_28:5(10,13,16,19,22)"
PA 14:0_28:5,"PA 14:0_28:5(13,16,19,22,25)"
PA 14:0_28:6,"PA 14:0_28:6(10,13,16,19,22,25)"
PA 16:0_16:0,PA 16:0_16:0
PA 16:0_18:0,PA 16:0_18:0
PA 16:0_20:0,PA 16:0_20:0
PA 16:0_22:0,PA 16:0_22:0
PA 16:0_24:0,PA 16:0_24:0
PA 16:0_26:0,PA 16:0_26:0
PA 16:0_28:0,PA 16:0_28:0
PA 16:0_12:1,PA 16:0_12:1(5)
PA 16:0_12:1,PA 16:0_12:1(6)
PA 16:0_12:1,PA 16:0_12:1(9)
PA 16:0_14:1,PA 16:0_14:1(5)
PA 16:0_14:1,PA 16:0_14:1(6)
PA 16:0_14:1,PA 16:0_14:1(9)
PA 16:0_16:1,PA 16:0_16:1(6)
PA 16:0_16:1,PA 16:0_16:1(7)
PA 16:0_16:1,PA 16:0_16:1(9)
PA 16:0_16:2,"PA 16:0_16:2(6,9)"
PA 16:0_18:1,PA 16:0_18:1(11)
PA 16:0_18:1,PA 16:0_18:1(6)
PA 16:0_18:1,PA 16:0_18:1(9)
PA 16:0_18:2,"PA 16:0_18:2(6,9)"
PA 16:0_18:2,"PA 16:0_18:2(9,12)"
PA 16:0_18:3,"PA 16:0_18:3(6,9,12)"
PA 16:0_18:3,"PA 16:0_18:3(9,12,15)"
PA 16:0_18:4,"PA 16:0_18:4(6,9,12,15)"
PA 16:0_20:1,PA 16:0_20:1(11)
PA 16:0_20:1,PA 16:0_20:1(13)
PA 16:0_20:2,"PA 16:0_20:2(11,14)"
PA 16:0_20:2,"PA 16:0_20:2(8,11)"
PA 16:0_20:3,"PA 16:0_20:3(11,14,17)"
PA 16:0_20:3,"PA 16:0_20:3(5,8,11)"
PA 16:0_20:3,"PA 16:0_20:3(8,11,14)"
PA 16:0_20:4,"PA 16:0_20:4(5,8,11,14)"
PA 16:0_20:4,"PA 16:0_20:4(8,11,14,17)"
PA 16:0_20:5,"PA 16:0_20:5(5,8,11,14,17)"
PA 16:0_22:1,PA 16:0_22:1(13)
PA 16:0_22:2,"PA 16:0_22:2(13,16)"
PA 16:0_22:3,"PA 16:0_22:3(7,10,13)"
PA 16:0_22:4,"PA 16:0_22:4(7,10,13,16)"
PA 16:0_22:5,"PA 16:0_22:5(4,7,10,13,16)"
PA 16:0_22:5,"PA 16:0_22:5(4,7,10,13,16)"
PA 16:0_22:5,"PA 16:0_22:5(7,10,13,16,19)"
PA 16:0_22:6,"PA 16:0_22:6(4,7,10,13,16,19)"
PA 16:0_24:1,PA 16:0_24:1(15)
PA 16:0_24:4,"PA 16:0_24:4(9,12,15,18)"
PA 16:0_24:5,"PA 16:0_24:5(6,9,12,15,18)"
PA 16:0_24:5,"PA 16:0_24:5(9,12,15,18,21)"
PA 16:0_24:6,"PA 16:0_24:6(4,7,10,13,16,19)"
PA 16:0_26:1,PA 16:0_26:1(17)
PA 16:0_26:4,"PA 16:0_26:4(11,14,17,20)"
PA 16:0_26:5,"PA 16:0_26:5(11,14,17,20,23)"
PA 16:0_26:5,"PA 16:0_26:5(8,11,14,17,20)"
PA 16:0_26:6,"PA 16:0_26:6(8,11,14,17,20,23)"
PA 16:0_28:4,"PA 16:0_28:4(13,16,19,22)"
PA 16:0_28:5,"PA 16:0_28:5(10,13,16,19,22)"
PA 16:0_28:5,"PA 16:0_28:5(13,16,19,22,25)"
PA 16:0_28:6,"PA 16:0_28:6(10,13,16,19,22,25)"
PA 18:0_18:0,PA 18:0_18:0
PA 18:0_20:0,PA 18:0_20:0
PA 18:0_22:0,PA 18:0_22:0
PA 18:0_24:0,PA 18:0_24:0
PA 18:0_26:0,PA 18:0_26:0
PA 18:0_28:0,PA 18:0_28:0
PA 18:0_12:1,PA 18:0_12:1(5)
PA 18:0_12:1,PA 18:0_12:1(6)
PA 18:0_12:1,PA 18:0_12:1(9)
PA 18:0_14:1,PA 18:0_14:1(5)
PA 18:0_14:1,PA 18:0_14:1(6)
PA 18:0_14:1,PA 18:0_14:1(9)
PA 18:0_16:1,PA 18:0_16:1(6)
PA 18:0_16:1,PA 18:0_16:1(7)
PA 18:0_16:1,PA 18:0_16:1(9)
PA 18:0_16:2,"PA 18:0_16:2(6,9)"
PA 18:0_18:1,PA 18:0_18:1(11)
PA 18:0_18:1,PA 18:0_18:1(6)
PA 18:0_18:1,PA 18:0_18:1(9)
PA 18:0_18:2,"PA 18:0_18:2(6,9)"
PA 18:0_18:2,"PA 18:0_18:2(9,12)"
PA 18:0_18:3,"PA 18:0_18:3(6,9,12)"
PA 18:0_18:3,"PA 18:0_18:3(9,12,15)"
PA 18:0_18:4,"PA 18:0_18:4(6,9,12,15)"
PA 18:0_20:1,PA 18:0_20:1(11)
PA 18:0_20:1,PA 18:0_20:1(13)
PA 18:0_20:2,"PA 18:0_20:2(11,14)"
PA 18:0_20:2,"PA 18:0_20:2(8,11)"
PA 18:0_20:3,"PA 18:0_20:3(11,14,17)"
PA 18:0_20:3,"PA 18:0_20:3(5,8,11)"
PA 18:0_20:3,"PA 18:0_20:3(8,11,14)"
PA 18:0_20:4,"PA 18:0_20:4(5,8,11,14)"
PA 18:0_20:4,"PA 18:0_20:4(8,11,14,17)"
PA 18:0_20:5,"PA 18:0_20:5(5,8,11,14,17)"
PA 18:0_22:1,PA 18:0_22:1(13)
PA 18:0_22:2,"PA 18:0_22:2(13,16)"
PA 18:0_22:3,"PA 18:0_22:3(7,10,13)"
PA 18:0_22:4,"PA 18:0_22:4(7,10,13,16)"
PA 18:0_22:5,"PA 18:0_22:5(4,7,10,13,16)"
PA 18:0_22:5,"PA 18:0_22:5(4,7,10,13,16)"
PA 18:0_22:5,"PA 18:0_22:5(7,10,13,16,19)"
PA 18:0_22:6,"PA 18:0_22:6(4,7,10,13,16,19)"
PA 18:0_24:1,PA 18:0_24:1(15)
PA 18:0_24:4,"PA 18:0_24:4(9,12,15,18)"
PA 18:0_24:5,"PA 18:0_24:5(6,9,12,15,18)"
PA 18:0_24:5,"PA 18:0_24:5(9,12,15,18,21)"
PA 18:0_24:6,"PA 18:0_24:6(4,7,10,13,16,19)"
PA 18:0_26:1,PA 18:0_26:1(17)
PA 18:0_26:4,"PA 18:0_26:4(11,14,17,20)"
PA 18:0_26:5,"PA 18:0_26:5(11,14,17,20,23)"
PA 18:0_26:5,"PA 18:0_26:5(8,11,14,17,20)"
PA 18:0_26:6,"PA 18:0_26:6(8,11,14,17,20,23)"
PA 18:0_28:4,"PA 18:0_28:4(13,16,19,22)"
PA 18:0_28:5,"PA 18:0_28:5(10,13,16,19,22)"
PA 18:0_28:5,"PA 18:0_28:5(13,16,19,22,25)"
PA 18:0_28:6,"PA 18:0_28:6(10,13,16,19,22,25)"
PA 20:0_20:0,PA 20:0_20:0
PA 20:0_22:0,PA 20:0_22:0
PA 20:0_24:0,PA 20:0_24:0
PA 20:0_26:0,PA 20:0_26:0
PA 20:0_28:0,PA 20:0_28:0
PA 20:0_12:1,PA 20:0_12:1(5)
PA 20:0_12:1,PA 20:0_12:1(6)
PA 20:0_12:1,PA 20:0_12:1(9)
PA 20:0_14:1,PA 20:0_14:1(5)
PA 20:0_14:1,PA 20:0_14:1(6)
PA 20:0_14:1,PA 20:0_14:1(9)
PA 20:0_16:1,PA 20:0_16:1(6)
PA 20:0_16:1,PA 20:0_16:1(7)
PA 20:0_16:1,PA 20:0_16:1(9)
PA 20:0_16:2,"PA 20:0_16:2(6,9)"
PA 20:0_18:1,PA 20:0_18:1(11)
PA 20:0_18:1,PA 20:0_18:1(6)
PA 20:0_18:1,PA 20:0_18:1(9)
PA 20:0_18:2,"PA 20:0_18:2(6,9)"
PA 20:0_18:2,"PA 20:0_18:2(9,12)"
PA 20:0_18:3,"PA 20:0_18:3(6,9,12)"
PA 20:0_18:3,"PA 20:0_18:3(9,12,15)"
PA 20:0_18:4,"PA 20:0_18:4(6,9,12,15)"
PA 20:0_20:1,PA 20:0_20:1(11)
PA 20:0_20:1,PA 20:0_20:1(13)
PA 20:0_20:2,"PA 20:0_20:2(11,14)"
PA 20:0_20:2,"PA 20:0_20:2(8,11)"
PA 20:0_20:3,"PA 20:0_20:3(11,14,17)"
PA 20:0_20:3,"PA 20:0_20:3(5,8,11)"
PA 20:0_20:3,"PA 20:0_20:3(8,11,14)"
PA 20:0_20:4,"PA 20:0_20:4(5,8,11,14)"
PA 20:0_20:4,"PA 20:0_20:4(8,11,14,17)"
PA 20:0_20:5,"PA 20:0_20:5(5,8,11,14,17)"
PA 20:0_22:1,PA 20:0_22:1(13)
PA 20:0_22:2,"PA 20:0_22:2(13,16)"
PA 20:0_22:3,"PA 20:0_22:3(7,10,13)"
PA 20:0_22:4,"PA 20:0_22:4(7,10,13,16)"
PA 20:0_22:5,"PA 20:0_22:5(4,7,10,13,16)"
PA 20:0_22:5,"PA 20:0_22:5(4,7,10,13,16)"
PA 20:0_22:5,"PA 20:0_22:5(7,10,13,16,19)"
PA 20:0_22:6,"PA 20:0_22:6(4,7,10,13,16,19)"
PA 20:0_24:1,PA 20:0_24:1(15)
PA 20:0_24:4,"PA 20:0_24:4(9,12,15,18)"
PA 20:0_24:5,"PA 20:0_24:5(6,9,12,15,18)"
PA 20:0_24:5,"PA 20:0_24:5(9,12,15,18,21)"
PA 20:0_24:6,"PA 20:0_24:6(4,7,10,13,16,19)"
PA 20:0_26:1,PA 20:0_26:1(17)
PA 20:0_26:4,"PA 20:0_26:4(11,14,17,20)"
PA 20:0_26:5,"PA 20:0_26:5(11,14,17,20,23)"
PA 20:0_26:5,"PA 20:0_26:5(8,11,14,17,20)"
PA 20:0_26:6,"PA 20:0_26:6(8,11,14,17,20,23)"
PA 20:0_28:4,"PA 20:0_28:4(13,16,19,22)"
PA 20:0_28:5,"PA 20:0_28:5(10,13,16,19,22)"
PA 20:0_28:5,"PA 20:0_28:5(13,16,19,22,25)"
PA 20:0_28:6,"PA 20:0_28:6(10,13,16,19,22,25)"
PA 22:0_22:0,PA 22:0_22:0
PA 22:0_24:0,PA 22:0_24:0
PA 22:0_26:0,PA 22:0_26:0
PA 22:0_28:0,PA 22:0_28:0
PA 22:0_12:1,PA 22:0_12:1(5)
PA 22:0_12:1,PA 22:0_12:1(6)
PA 22:0_12:1,PA 22:0_12:1(9)
PA 22:0_14:1,PA 22:0_14:1(5)
PA 22:0_14:1,PA 22:0_14:1(6)
PA 22:0_14:1,PA 22:0_14:1(9)
PA 22:0_16:1,PA 22:0_16:1(6)
PA 22:0_16:1,PA 22:0_16:1(7)
PA 22:0_16:1,PA 22:0_16:1(9)
PA 22:0_16:2,"PA 22:0_16:2(6,9)"
