feature_id,rt,mz_measured,mz_calculated,mz_error(ppm),mol_formula,smiles,adduct,primary_annotated_name,structure_annotated_name,rt_score,mz_score,spec_score,total_score,fragments_level,fragments_ms2_spectrum_level,datafile:pos_hela_LG5.mzML:area,datafile:pos_hela_LG2.mzML:area,datafile:pos_hela_LG3.mzML:area,datafile:pos_hela_LG1.mzML:area,datafile:pos_hela_LG6.mzML:area,datafile:pos_hela_S2.mzML:area,datafile:pos_hela_HG2.mzML:area,datafile:pos_hela_LG4.mzML:area,datafile:pos_hela_HG1.mzML:area,datafile:pos_hela_HG4.mzML:area,datafile:pos_hela_HG5.mzML:area,datafile:pos_hela_HG3.mzML:area,datafile:pos_hela_S1.mzML:area,datafile:pos_hela_S3.mzML:area,datafile:pos_hela_HG6.mzML:area,datafile:pos_hela_S4.mzML:area,datafile:pos_hela_S6.mzML:area,datafile:pos_hela_S5.mzML:area
1795,2.637,398.32633,398.32649,0.40168054099023837,C23H44NO4,CCCCCCCCCC=CCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 16:1,CAR 16:1(6),0.9500000000000002,0.23749000000003662,0.0005048336675048158,0.4752524168337525,All,Some,0.0,0.0,0.0,0.0,0.0,8521.141007485332,17249.698431845598,0.0,16058.619836754888,14868.580226547894,6971.400872515754,14776.585075957359,6620.476254540563,6517.477948382882,11479.241029494646,8115.180494981872,0.0,10083.40344587921
1795,2.637,398.32633,398.32649,0.40168054099023837,C23H44NO4,CCCCCCCCC=CCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 16:1,CAR 16:1(7),0.919,0.802234999999996,0.001723200982425454,0.4603616004912128,All,Some,0.0,0.0,0.0,0.0,0.0,3307.950637264819,6098.726712236966,0.0,5394.385357407867,6670.845705487738,4852.641783809987,7659.031311518034,2602.892506390421,3424.3711205488407,4988.183355250799,2795.922442330934,0.0,5350.971211178988
1795,2.637,398.32633,398.32649,0.40168054099023837,C23H44NO4,CCCCCCC=CCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 16:1,CAR 16:1(9),0.8739999999999997,0.8204999999999814,0.000463082768593515,0.4372315413842966,All,Some,0.0,0.0,0.0,0.0,0.0,2570.9083552498482,5251.574855917438,0.0,5046.994805837248,4460.574067964369,2275.9573436742608,4264.383612524608,1876.6312390690166,2058.1509310682786,3632.575615254556,2288.8970626871946,0.0,3065.6253429418
1852,2.775,448.34207,448.34214,0.15613076208673413,C27H46NO4,CCC=CCC=CCC=CCC=CCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 20:4,"CAR 20:4(8,11,14,17)",0.6708571428571428,0.6454128571428522,0.0,0.3354285714285714,Some,Some,0.0,0.0,0.0,0.0,0.0,2815.81591818586,0.0,0.0,0.0,2195.7964152857626,0.0,3920.0,0.0,3291.257597007948,0.0,3770.0,0.0,5077.878103837471
1852,2.775,448.34207,448.34214,0.15613076208673413,C27H46NO4,CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 20:4,"CAR 20:4(5,8,11,14)",0.5573333333333332,0.2479150000000061,0.0,0.2786666666666666,Some,None,0.0,0.0,0.0,0.0,0.0,2214.1840818141395,0.0,0.0,0.0,6614.203584714237,0.0,0.0,0.0,1108.7424029920526,0.0,0.0,0.0,5922.121896162528
2247,3.434,426.35727,426.35779,1.219632928471941,C25H48NO4,CCCCCCCCC=CCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 18:1,CAR 18:1(9),0.968,0.777810000000045,0.0,0.484,All,Some,8100.0,0.0,0.0,9870.0,0.0,53600.0,70600.0,0.0,64600.0,63200.0,51069.261089908025,61300.0,40621.761658031086,54887.87353605378,56700.0,46717.051752681204,42935.22034288345,58939.37818446501
2247,3.434,426.35727,426.35779,1.219632928471941,C25H48NO4,CCCCCCCCCCCC=CCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 18:1,CAR 18:1(6),0.8839999999999995,0.26066999999989093,0.0,0.4419999999999997,All,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2630.7389100919722,0.0,0.0,1912.1264639462213,0.0,2082.9482473187936,964.7796571165571,1360.62181553499
2247,3.434,426.35727,426.35779,1.219632928471941,C25H48NO4,CCCCCCC=CCCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 18:1,CAR 18:1(11),0.8239999999999998,0.8201000000000249,0.0,0.4119999999999999,All,Some,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3478.2383419689118,0.0,0.0,0.0,0.0,0.0
3047,4.187,454.3887,454.38909,0.8582952553691952,C27H52NO4,CCCCCCCCC=CCCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 20:1,CAR 20:1(11),0.9230000000000009,0.5098149999999748,0.0,0.46150000000000047,All,None,,0.0,0.0,0.0,0.0,3922.569444444445,6155.630736952529,0.0,6286.195435408819,0.0,0.0,0.0,0.0,3648.995983935743,9294.871794871795,3128.622159090909,2994.1579371474613,4637.089702913181
3047,4.187,454.3887,454.38909,0.8582952553691952,C27H52NO4,CCCCCCC=CCCCCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[M]+,CAR 20:1,CAR 20:1(13),0.8410000000000002,0.5239050000000134,0.0,0.4205000000000001,All,None,,0.0,0.0,0.0,0.0,1607.4305555555557,3184.3692630474693,0.0,4913.804564591181,0.0,0.0,0.0,0.0,2951.004016064257,5205.128205128204,1521.377840909091,1455.8420628525382,1932.9102970868184
3363,4.414,508.37611,508.37615,0.07868189727762906,C26H54NO6P,CCCCCCCCCCCC=CCCCCCOCC(O)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,LPC O-18:1,LPC O-18:1(6),0.9309999999999992,0.4997199999999964,0.006039558567313688,0.4685197792836564,All,Some,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.94163424124514,0.0,0.0,0.0,148.88888888888889
3363,4.414,508.37611,508.37615,0.07868189727762906,C26H54NO6P,CCCCCCCCC=CCCCCCCCCOCC(O)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,LPC O-18:1,LPC O-18:1(9),0.9320000000000004,0.5104450000000043,0.0,0.4660000000000002,All,None,0.0,0.0,0.0,0.0,0.0,16606.451612903224,16944.45768772348,0.0,18317.157050057314,12415.276381909547,9357.333333333334,0.0,15129.800362976406,11050.58365758755,0.0,13756.896551724138,0.0,16046.913580246914
