id,rt,rt_range:min,rt_range:max,mz,mz_range:min,mz_range:max,height,area,intensity_range:min,intensity_range:max,fragment_scans,alignment_scores:rate,alignment_scores:aligned_features_n,alignment_scores:align_extra_features,alignment_scores:weighted_distance_score,alignment_scores:mz_diff_ppm,alignment_scores:mz_diff,alignment_scores:rt_absolute_error,spectral_db_matches:spectral_db_matches,spectral_db_matches:compound_name,spectral_db_matches:ion_adduct,spectral_db_matches:mol_formula,spectral_db_matches:smiles,spectral_db_matches:precursor_mz,spectral_db_matches:cosine_score,spectral_db_matches:n_matching_signals,spectral_db_matches:ccs,datafile:NEG_NIST_2.mzML:area,datafile:NEG_NIST_2.mzML:rt,datafile:NEG_NIST_2.mzML:mz_range:min,datafile:NEG_NIST_2.mzML:mz_range:max,datafile:NEG_NIST_2.mzML:fragment_scans,datafile:NEG_NIST_2.mzML:fwhm,datafile:NEG_NIST_2.mzML:rt_range:min,datafile:NEG_NIST_2.mzML:rt_range:max,datafile:NEG_NIST_2.mzML:feature_state,datafile:NEG_NIST_2.mzML:mz,datafile:NEG_NIST_2.mzML:intensity_range:min,datafile:NEG_NIST_2.mzML:intensity_range:max,datafile:NEG_NIST_2.mzML:asymmetry_factor,datafile:NEG_NIST_2.mzML:tailing_factor,datafile:NEG_NIST_2.mzML:height,datafile:NEG_NIST_2.mzML:rt_ms2_apex_distance,datafile:NEG_NIST_0.mzML:area,datafile:NEG_NIST_0.mzML:rt,datafile:NEG_NIST_0.mzML:mz_range:min,datafile:NEG_NIST_0.mzML:mz_range:max,datafile:NEG_NIST_0.mzML:fragment_scans,datafile:NEG_NIST_0.mzML:fwhm,datafile:NEG_NIST_0.mzML:rt_range:min,datafile:NEG_NIST_0.mzML:rt_range:max,datafile:NEG_NIST_0.mzML:feature_state,datafile:NEG_NIST_0.mzML:mz,datafile:NEG_NIST_0.mzML:intensity_range:min,datafile:NEG_NIST_0.mzML:intensity_range:max,datafile:NEG_NIST_0.mzML:asymmetry_factor,datafile:NEG_NIST_0.mzML:tailing_factor,datafile:NEG_NIST_0.mzML:height,datafile:NEG_NIST_0.mzML:rt_ms2_apex_distance,datafile:NEG_NIST_3.mzML:area,datafile:NEG_NIST_3.mzML:rt,datafile:NEG_NIST_3.mzML:mz_range:min,datafile:NEG_NIST_3.mzML:mz_range:max,datafile:NEG_NIST_3.mzML:fragment_scans,datafile:NEG_NIST_3.mzML:fwhm,datafile:NEG_NIST_3.mzML:rt_range:min,datafile:NEG_NIST_3.mzML:rt_range:max,datafile:NEG_NIST_3.mzML:feature_state,datafile:NEG_NIST_3.mzML:mz,datafile:NEG_NIST_3.mzML:intensity_range:min,datafile:NEG_NIST_3.mzML:intensity_range:max,datafile:NEG_NIST_3.mzML:asymmetry_factor,datafile:NEG_NIST_3.mzML:tailing_factor,datafile:NEG_NIST_3.mzML:height,datafile:NEG_NIST_3.mzML:rt_ms2_apex_distance,datafile:NEG_NIST_1.mzML:area,datafile:NEG_NIST_1.mzML:rt,datafile:NEG_NIST_1.mzML:mz_range:min,datafile:NEG_NIST_1.mzML:mz_range:max,datafile:NEG_NIST_1.mzML:fragment_scans,datafile:NEG_NIST_1.mzML:fwhm,datafile:NEG_NIST_1.mzML:rt_range:min,datafile:NEG_NIST_1.mzML:rt_range:max,datafile:NEG_NIST_1.mzML:feature_state,datafile:NEG_NIST_1.mzML:mz,datafile:NEG_NIST_1.mzML:intensity_range:min,datafile:NEG_NIST_1.mzML:intensity_range:max,datafile:NEG_NIST_1.mzML:asymmetry_factor,datafile:NEG_NIST_1.mzML:tailing_factor,datafile:NEG_NIST_1.mzML:height,datafile:NEG_NIST_1.mzML:rt_ms2_apex_distance
7532,20.18,19.706,20.433,1050.64134,1050.63916,1050.64343,1.07E+05,5.22E+04,1.88E+04,1.07E+05,0,0.5,2,0,0.98,0.04,0.00004,0.006,,,,,,,,,,2.78E+04,20.175,1050.63867,1050.64404,,0.215,20.02,20.389,DETECTED,1050.64139,3.65E+04,1.06E+05,1.385,1.192,1.06E+05,,5.22E+04,20.186,1050.63916,1050.64343,,0.592,19.706,20.433,DETECTED,1050.6413,1.88E+04,1.07E+05,0.563,0.757,1.07E+05,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
7533,20.18,19.629,20.285,1117.62557,1117.62231,1117.63074,1.42E+05,5.18E+04,1.81E+04,1.42E+05,0,0.75,3,1,0.89,0.21,0.00024,0.032,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,4.22E+04,20.202,1117.62231,1117.63074,,0.281,19.629,20.218,DETECTED,1117.62551,1.81E+04,1.42E+05,0.028,0.514,1.42E+05,,4.17E+04,20.133,1117.62183,1117.62988,,0.384,19.763,20.212,DETECTED,1117.62593,3.69E+04,1.33E+05,0.212,0.606,1.33E+05,,5.18E+04,20.206,1117.6217,1117.62769,,0.435,19.652,20.285,DETECTED,1117.62528,2.83E+04,1.36E+05,0.143,0.571,1.36E+05,
7534,20.185,20.114,20.282,862.66602,862.66522,862.66736,4.50E+04,5.59E+03,1.48E+04,4.50E+04,0,0.5,2,1,0.96,0.2,0.00018,0.005,,,,,,,,,,5.59E+03,20.19,862.66534,862.66748,,0.119,20.114,20.282,DETECTED,862.6662,1.49E+04,4.50E+04,1.201,1.101,4.50E+04,,,,,,,,,,UNKNOWN,,,,,,,,2.18E+03,20.18,862.66522,862.66736,,0.034,20.117,20.196,DETECTED,862.66585,1.48E+04,3.99E+04,0.251,0.625,3.99E+04,,,,,,,,,,UNKNOWN,,,,,,,
7535,20.185,20.083,20.224,680.63118,680.63025,680.63208,4.50E+04,3.67E+03,1.53E+04,4.50E+04,0,0.5,2,2,0.97,0.02,0.00001,0.011,,,,,,,,,,3.67E+03,20.175,680.63025,680.63318,,0.199,20.083,20.206,DETECTED,680.63119,1.85E+04,4.50E+04,0.343,0.671,4.50E+04,,,,,,,,,,UNKNOWN,,,,,,,,1.57E+03,20.196,680.63025,680.63208,,0.058,20.164,20.224,DETECTED,680.63116,1.53E+04,3.56E+04,0.907,0.953,3.56E+04,,,,,,,,,,UNKNOWN,,,,,,,
7536,20.186,20.062,20.218,998.63802,998.63379,998.63989,4.17E+04,4.68E+03,2.10E+04,4.17E+04,0,0.25,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,4.68E+03,20.186,998.63379,998.63989,,0.077,20.062,20.218,DETECTED,998.63802,2.10E+04,4.17E+04,0.257,0.629,4.17E+04,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
7537,20.195,20.062,20.317,903.63463,903.63275,903.63684,7.07E+04,9.33E+03,2.43E+04,7.07E+04,0,1,4,3,0.88,0.24,0.00022,0.032,,,,,,,,,,2.83E+03,20.222,903.63354,903.63623,,0.188,20.175,20.237,DETECTED,903.63468,2.51E+04,5.31E+04,0.315,0.658,5.31E+04,,9.33E+03,20.233,903.63275,903.63684,,0.164,20.062,20.265,DETECTED,903.63443,3.29E+04,6.08E+04,0.184,0.592,6.08E+04,,2.50E+03,20.18,903.63336,903.63495,,0.04,20.164,20.224,DETECTED,903.6344,2.45E+04,7.07E+04,2.82,1.91,7.07E+04,,8.67E+03,20.146,903.63342,903.63757,,0.112,20.115,20.317,DETECTED,903.63502,2.43E+04,6.06E+04,5.422,3.211,6.06E+04,
7538,20.201,20.146,20.271,983.65997,983.65717,983.66211,5.92E+04,4.15E+03,2.43E+04,5.92E+04,0,0.75,3,3,0.9,0.4,0.00039,0.014,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,2.44E+03,20.218,983.65717,983.66211,,0.042,20.202,20.265,DETECTED,983.65959,2.43E+04,4.94E+04,2.981,1.99,4.94E+04,,4.15E+03,20.18,983.65771,983.66345,,0.065,20.164,20.271,DETECTED,983.66056,2.43E+04,5.92E+04,5.811,3.405,5.92E+04,,3.73E+03,20.206,983.65765,983.66241,,0.104,20.146,20.238,DETECTED,983.65976,2.68E+04,5.52E+04,0.526,0.763,5.52E+04,
7539,20.222,19.54,20.528,913.66373,913.66254,913.66437,5.98E+05,3.76E+05,9.35E+04,5.98E+05,3,0.25,1,0,1,0,0,0,,,,,,,,,,3.76E+05,20.222,913.66254,913.66437,3,0.772,19.54,20.528,DETECTED,913.66373,9.35E+04,5.98E+05,0.476,0.725,5.98E+05,-0.146,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
7540,20.222,20.178,20.253,537.52565,537.52527,537.526,4.28E+04,2.17E+03,2.20E+04,4.28E+04,0,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,2.17E+03,20.222,537.52527,537.526,,0.05,20.178,20.253,DETECTED,537.52565,2.20E+04,4.28E+04,0.706,0.853,4.28E+04,
7541,20.224,20.196,20.443,915.6715,915.67004,915.67316,1.06E+05,1.69E+04,3.85E+04,1.06E+05,0,0.25,1,2,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,1.69E+04,20.224,915.67004,915.67316,,0.156,20.196,20.443,DETECTED,915.6715,3.85E+04,1.06E+05,7.672,4.336,1.06E+05,,,,,,,,,,UNKNOWN,,,,,,,
