id,rt,rt_range:min,rt_range:max,mz,mz_range:min,mz_range:max,height,area,intensity_range:min,intensity_range:max,fragment_scans,alignment_scores:rate,alignment_scores:aligned_features_n,alignment_scores:align_extra_features,alignment_scores:weighted_distance_score,alignment_scores:mz_diff_ppm,alignment_scores:mz_diff,alignment_scores:rt_absolute_error,spectral_db_matches:spectral_db_matches,spectral_db_matches:compound_name,spectral_db_matches:ion_adduct,spectral_db_matches:mol_formula,spectral_db_matches:smiles,spectral_db_matches:precursor_mz,spectral_db_matches:cosine_score,spectral_db_matches:n_matching_signals,spectral_db_matches:ccs,datafile:POS_NIST_2.mzML:area,datafile:POS_NIST_2.mzML:rt,datafile:POS_NIST_2.mzML:mz_range:min,datafile:POS_NIST_2.mzML:mz_range:max,datafile:POS_NIST_2.mzML:fragment_scans,datafile:POS_NIST_2.mzML:fwhm,datafile:POS_NIST_2.mzML:rt_range:min,datafile:POS_NIST_2.mzML:rt_range:max,datafile:POS_NIST_2.mzML:feature_state,datafile:POS_NIST_2.mzML:mz,datafile:POS_NIST_2.mzML:intensity_range:min,datafile:POS_NIST_2.mzML:intensity_range:max,datafile:POS_NIST_2.mzML:asymmetry_factor,datafile:POS_NIST_2.mzML:tailing_factor,datafile:POS_NIST_2.mzML:height,datafile:POS_NIST_2.mzML:rt_ms2_apex_distance,datafile:POS_NIST_3.mzML:area,datafile:POS_NIST_3.mzML:rt,datafile:POS_NIST_3.mzML:mz_range:min,datafile:POS_NIST_3.mzML:mz_range:max,datafile:POS_NIST_3.mzML:fragment_scans,datafile:POS_NIST_3.mzML:fwhm,datafile:POS_NIST_3.mzML:rt_range:min,datafile:POS_NIST_3.mzML:rt_range:max,datafile:POS_NIST_3.mzML:feature_state,datafile:POS_NIST_3.mzML:mz,datafile:POS_NIST_3.mzML:intensity_range:min,datafile:POS_NIST_3.mzML:intensity_range:max,datafile:POS_NIST_3.mzML:asymmetry_factor,datafile:POS_NIST_3.mzML:tailing_factor,datafile:POS_NIST_3.mzML:height,datafile:POS_NIST_3.mzML:rt_ms2_apex_distance,datafile:POS_NIST_1.mzML:area,datafile:POS_NIST_1.mzML:rt,datafile:POS_NIST_1.mzML:mz_range:min,datafile:POS_NIST_1.mzML:mz_range:max,datafile:POS_NIST_1.mzML:fragment_scans,datafile:POS_NIST_1.mzML:fwhm,datafile:POS_NIST_1.mzML:rt_range:min,datafile:POS_NIST_1.mzML:rt_range:max,datafile:POS_NIST_1.mzML:feature_state,datafile:POS_NIST_1.mzML:mz,datafile:POS_NIST_1.mzML:intensity_range:min,datafile:POS_NIST_1.mzML:intensity_range:max,datafile:POS_NIST_1.mzML:asymmetry_factor,datafile:POS_NIST_1.mzML:tailing_factor,datafile:POS_NIST_1.mzML:height,datafile:POS_NIST_1.mzML:rt_ms2_apex_distance,datafile:POS_NIST_0.mzML:area,datafile:POS_NIST_0.mzML:rt,datafile:POS_NIST_0.mzML:mz_range:min,datafile:POS_NIST_0.mzML:mz_range:max,datafile:POS_NIST_0.mzML:fragment_scans,datafile:POS_NIST_0.mzML:fwhm,datafile:POS_NIST_0.mzML:rt_range:min,datafile:POS_NIST_0.mzML:rt_range:max,datafile:POS_NIST_0.mzML:feature_state,datafile:POS_NIST_0.mzML:mz,datafile:POS_NIST_0.mzML:intensity_range:min,datafile:POS_NIST_0.mzML:intensity_range:max,datafile:POS_NIST_0.mzML:asymmetry_factor,datafile:POS_NIST_0.mzML:tailing_factor,datafile:POS_NIST_0.mzML:height,datafile:POS_NIST_0.mzML:rt_ms2_apex_distance
13916,15.448,15.434,15.488,882.58394,882.58246,882.58466,7.34E+05,3.24E+04,3.97E+05,7.34E+05,0,0.25,1,2,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,3.24E+04,15.448,882.58246,882.58466,,0.227,15.434,15.488,DETECTED,882.58394,3.97E+05,7.34E+05,2.75,1.875,7.34E+05,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
13917,15.449,15.333,15.513,752.50749,752.50482,752.50964,2.37E+06,2.23E+05,6.20E+05,2.37E+06,8,1,4,0,0.86,0.53,0.0004,0.023,,,,,,,,,,2.23E+05,15.482,752.50598,752.50964,2,0.329,15.333,15.508,DETECTED,752.50745,6.26E+05,1.88E+06,0.17,0.585,1.88E+06,-0.047,1.28E+05,15.434,752.50616,752.50824,2,0.042,15.379,15.475,DETECTED,752.50691,6.20E+05,2.37E+06,0.749,0.874,2.37E+06,-0.033,1.82E+05,15.46,752.50702,752.5097,2,0.125,15.351,15.513,DETECTED,752.50829,7.43E+05,1.91E+06,0.477,0.739,1.91E+06,-0.057,1.57E+05,15.419,752.50482,752.50964,2,0.043,15.365,15.501,DETECTED,752.50732,6.85E+05,1.90E+06,1.538,1.269,1.90E+06,0.008
13918,15.45,15.411,15.597,754.59182,754.59149,754.59302,1.12E+06,7.42E+04,2.23E+05,1.12E+06,1,0.5,2,0,0.9,0.48,0.00036,0.01,,,,,,,,,,7.06E+04,15.44,754.59149,754.59302,1,0.051,15.411,15.52,DETECTED,754.59218,3.95E+05,1.12E+06,2.69,1.845,1.12E+06,0.011,7.42E+04,15.46,754.59064,754.59247,,0.066,15.448,15.597,DETECTED,754.59146,2.23E+05,8.26E+05,11.191,6.096,8.26E+05,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
13919,15.451,15.379,15.548,636.4599,636.45923,636.46039,3.90E+06,2.16E+05,1.12E+06,3.90E+06,7,0.5,2,1,0.92,0.03,0.00002,0.031,PE 14:0_14:0 (0.588),PE 14:0_14:0,[M+H]+,C33H66NO8P,CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCCN)OC(=O)CCCCCCCCCCCCC,636.45988,0.59,2,259.92,1.61E+05,15.482,636.45923,636.46039,3,0.042,15.455,15.548,DETECTED,636.45991,1.12E+06,2.76E+06,2.406,1.703,2.76E+06,-0.156,2.16E+05,15.42,636.45923,636.46082,4,0.06,15.379,15.475,DETECTED,636.45988,1.31E+06,3.90E+06,1.342,1.171,3.90E+06,-0.183,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
13920,15.454,15.379,15.513,718.42725,718.42657,718.43103,1.47E+06,9.90E+04,3.05E+05,1.47E+06,0,0.5,2,1,0.93,0.17,0.00012,0.02,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,6.76E+04,15.434,718.42657,718.42828,,0.04,15.379,15.475,DETECTED,718.42713,3.69E+05,1.16E+06,0.749,0.874,1.16E+06,,9.90E+04,15.474,718.42657,718.43103,,0.078,15.405,15.513,DETECTED,718.42737,3.05E+05,1.47E+06,0.567,0.783,1.47E+06,,,,,,,,,,UNKNOWN,,,,,,,
13921,15.454,15.379,15.495,769.5199,769.51917,769.52319,7.99E+05,4.86E+04,2.09E+05,7.99E+05,0,0.75,3,0,0.86,0.4,0.00031,0.032,,,,,,,,,,3.60E+04,15.482,769.51917,769.52319,,0.027,15.411,15.495,DETECTED,769.52018,2.37E+05,6.57E+05,0.175,0.587,6.57E+05,,4.15E+04,15.407,769.51862,769.52179,,0.052,15.379,15.46,DETECTED,769.52009,3.09E+05,6.85E+05,1.935,1.467,6.85E+05,,4.86E+04,15.474,769.51892,769.5202,,0.042,15.405,15.488,DETECTED,769.51944,2.09E+05,7.99E+05,0.199,0.599,7.99E+05,,,,,,,,,,UNKNOWN,,,,,,,
13922,15.454,15.379,15.534,996.76249,996.75903,996.76367,7.12E+05,7.36E+04,2.37E+05,7.12E+05,0,0.75,3,1,0.92,0.46,0.00046,0.005,,,,,,,,,,7.36E+04,15.455,996.75903,996.76367,,0.12,15.385,15.534,DETECTED,996.76213,3.27E+05,7.12E+05,1.132,1.066,7.12E+05,,5.23E+04,15.46,996.75964,996.76331,,0.081,15.379,15.488,DETECTED,996.76217,2.37E+05,6.49E+05,0.332,0.666,6.49E+05,,4.78E+04,15.447,996.76154,996.76587,,0.067,15.418,15.513,DETECTED,996.76319,3.02E+05,6.48E+05,2.229,1.615,6.48E+05,,,,,,,,,,UNKNOWN,,,,,,,
13923,15.455,15.304,15.548,784.63829,784.63446,784.64301,2.52E+06,3.34E+05,3.96E+05,2.52E+06,3,0.25,1,0,1,0,0,0,,,,,,,,,,3.34E+05,15.455,784.63446,784.64301,3,0.164,15.304,15.548,DETECTED,784.63829,3.96E+05,2.52E+06,0.62,0.81,2.52E+06,-0.076,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
13924,15.456,15.391,15.541,677.49212,677.49042,677.49353,1.21E+06,8.97E+04,2.65E+05,1.21E+06,0,0.75,3,2,0.88,0.59,0.0004,0.014,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,8.97E+04,15.434,677.48853,677.49365,,0.087,15.391,15.541,DETECTED,677.49214,2.65E+05,1.21E+06,2.512,1.756,1.21E+06,,7.35E+04,15.46,677.49042,677.49353,,0.069,15.433,15.541,DETECTED,677.49271,3.32E+05,1.02E+06,2.921,1.96,1.02E+06,,2.88E+04,15.472,677.48877,677.49249,,0.027,15.433,15.487,DETECTED,677.49152,2.78E+05,8.46E+05,0.379,0.689,8.46E+05,
13925,15.46,15.448,15.597,653.44789,653.44641,653.44885,2.18E+06,2.06E+05,7.20E+05,2.18E+06,0,0.25,1,4,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,2.06E+05,15.46,653.44641,653.44885,,0.093,15.448,15.597,DETECTED,653.44789,7.20E+05,2.18E+06,11.191,6.096,2.18E+06,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
