id,rt,rt_range:min,rt_range:max,mz,mz_range:min,mz_range:max,height,area,intensity_range:min,intensity_range:max,fragment_scans,alignment_scores:rate,alignment_scores:aligned_features_n,alignment_scores:align_extra_features,alignment_scores:weighted_distance_score,alignment_scores:mz_diff_ppm,alignment_scores:mz_diff,alignment_scores:rt_absolute_error,spectral_db_matches:spectral_db_matches,spectral_db_matches:compound_name,spectral_db_matches:ion_adduct,spectral_db_matches:mol_formula,spectral_db_matches:smiles,spectral_db_matches:precursor_mz,spectral_db_matches:cosine_score,spectral_db_matches:n_matching_signals,spectral_db_matches:ccs,datafile:NEG_NIST_2.mzML:area,datafile:NEG_NIST_2.mzML:rt,datafile:NEG_NIST_2.mzML:mz_range:min,datafile:NEG_NIST_2.mzML:mz_range:max,datafile:NEG_NIST_2.mzML:fragment_scans,datafile:NEG_NIST_2.mzML:fwhm,datafile:NEG_NIST_2.mzML:rt_range:min,datafile:NEG_NIST_2.mzML:rt_range:max,datafile:NEG_NIST_2.mzML:feature_state,datafile:NEG_NIST_2.mzML:mz,datafile:NEG_NIST_2.mzML:intensity_range:min,datafile:NEG_NIST_2.mzML:intensity_range:max,datafile:NEG_NIST_2.mzML:asymmetry_factor,datafile:NEG_NIST_2.mzML:tailing_factor,datafile:NEG_NIST_2.mzML:height,datafile:NEG_NIST_2.mzML:rt_ms2_apex_distance,datafile:NEG_NIST_0.mzML:area,datafile:NEG_NIST_0.mzML:rt,datafile:NEG_NIST_0.mzML:mz_range:min,datafile:NEG_NIST_0.mzML:mz_range:max,datafile:NEG_NIST_0.mzML:fragment_scans,datafile:NEG_NIST_0.mzML:fwhm,datafile:NEG_NIST_0.mzML:rt_range:min,datafile:NEG_NIST_0.mzML:rt_range:max,datafile:NEG_NIST_0.mzML:feature_state,datafile:NEG_NIST_0.mzML:mz,datafile:NEG_NIST_0.mzML:intensity_range:min,datafile:NEG_NIST_0.mzML:intensity_range:max,datafile:NEG_NIST_0.mzML:asymmetry_factor,datafile:NEG_NIST_0.mzML:tailing_factor,datafile:NEG_NIST_0.mzML:height,datafile:NEG_NIST_0.mzML:rt_ms2_apex_distance,datafile:NEG_NIST_1.mzML:area,datafile:NEG_NIST_1.mzML:rt,datafile:NEG_NIST_1.mzML:mz_range:min,datafile:NEG_NIST_1.mzML:mz_range:max,datafile:NEG_NIST_1.mzML:fragment_scans,datafile:NEG_NIST_1.mzML:fwhm,datafile:NEG_NIST_1.mzML:rt_range:min,datafile:NEG_NIST_1.mzML:rt_range:max,datafile:NEG_NIST_1.mzML:feature_state,datafile:NEG_NIST_1.mzML:mz,datafile:NEG_NIST_1.mzML:intensity_range:min,datafile:NEG_NIST_1.mzML:intensity_range:max,datafile:NEG_NIST_1.mzML:asymmetry_factor,datafile:NEG_NIST_1.mzML:tailing_factor,datafile:NEG_NIST_1.mzML:height,datafile:NEG_NIST_1.mzML:rt_ms2_apex_distance,datafile:NEG_NIST_3.mzML:area,datafile:NEG_NIST_3.mzML:rt,datafile:NEG_NIST_3.mzML:mz_range:min,datafile:NEG_NIST_3.mzML:mz_range:max,datafile:NEG_NIST_3.mzML:fragment_scans,datafile:NEG_NIST_3.mzML:fwhm,datafile:NEG_NIST_3.mzML:rt_range:min,datafile:NEG_NIST_3.mzML:rt_range:max,datafile:NEG_NIST_3.mzML:feature_state,datafile:NEG_NIST_3.mzML:mz,datafile:NEG_NIST_3.mzML:intensity_range:min,datafile:NEG_NIST_3.mzML:intensity_range:max,datafile:NEG_NIST_3.mzML:asymmetry_factor,datafile:NEG_NIST_3.mzML:tailing_factor,datafile:NEG_NIST_3.mzML:height,datafile:NEG_NIST_3.mzML:rt_ms2_apex_distance
1,0.028,0.006,0.157,276.86771,276.86752,276.86795,2.82E+05,2.61E+04,4.31E+04,2.82E+05,1,0.5,2,0,0.96,0.15,0.00004,0.008,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,2.61E+04,0.036,276.86752,276.86795,1,0.127,0.006,0.157,DETECTED,276.86775,4.31E+04,2.82E+05,4.096,2.548,2.82E+05,0.057,9.60E+03,0.02,276.86743,276.86792,,0.088,0.006,0.111,DETECTED,276.86767,4.76E+04,1.37E+05,6.57,3.785,1.37E+05,
2,0.05,0.006,0.141,249.84835,249.84789,249.84865,1.74E+05,1.37E+04,3.96E+04,1.74E+05,0,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,1.37E+04,0.05,249.84789,249.84865,,0.054,0.006,0.141,DETECTED,249.84835,3.96E+04,1.74E+05,2.106,1.553,1.74E+05,,,,,,,,,,UNKNOWN,,,,,,,
3,0.05,0.006,0.112,251.84559,251.84479,251.84619,1.30E+05,8.91E+03,3.37E+04,1.30E+05,0,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,8.91E+03,0.05,251.84479,251.84619,,1.109,0.006,0.112,DETECTED,251.84559,3.37E+04,1.30E+05,1.427,1.214,1.30E+05,,,,,,,,,,UNKNOWN,,,,,,,
4,0.05,0.006,0.095,336.87903,336.87857,336.87946,2.31E+05,1.39E+04,5.13E+04,2.31E+05,0,0.25,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,1.39E+04,0.05,336.87857,336.87946,,0.106,0.006,0.095,DETECTED,336.87903,5.13E+04,2.31E+05,1.031,1.016,2.31E+05,
5,0.064,0.006,0.199,252.91501,252.91486,252.91534,1.77E+05,2.06E+04,4.37E+04,1.77E+05,1,0.25,1,0,1,0,0,0,,,,,,,,,,2.06E+04,0.064,252.91486,252.91534,1,0.1,0.006,0.199,DETECTED,252.91501,4.37E+04,1.77E+05,2.326,1.663,1.77E+05,0.052,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
6,0.065,0.006,0.186,248.89331,248.89323,248.89337,4.74E+06,5.36E+05,1.44E+06,4.74E+06,1,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,5.36E+05,0.065,248.89323,248.89337,1,0.275,0.006,0.186,DETECTED,248.89331,1.44E+06,4.74E+06,2.051,1.525,4.74E+06,0.191,,,,,,,,,UNKNOWN,,,,,,,
7,0.081,0.006,0.112,260.89731,260.89688,260.89761,1.42E+05,9.47E+03,5.49E+04,1.42E+05,0,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,9.47E+03,0.081,260.89688,260.89761,,0.028,0.006,0.112,DETECTED,260.89731,5.49E+04,1.42E+05,0.415,0.708,1.42E+05,,,,,,,,,,UNKNOWN,,,,,,,
8,0.125,0.094,0.167,295.90786,295.9072,295.90842,4.18E+05,1.89E+04,1.31E+05,4.18E+05,1,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,1.89E+04,0.125,295.9072,295.90842,1,0.025,0.094,0.167,DETECTED,295.90786,1.31E+05,4.18E+05,1.35,1.175,4.18E+05,0.101,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
9,0.125,0.094,0.259,303.88658,303.8862,303.88696,4.31E+05,1.83E+04,3.85E+04,4.31E+05,1,0.5,2,1,0.97,0.2,0.00006,0,,,,,,,,,,9.53E+03,0.125,303.8862,303.88696,,0.058,0.11,0.259,DETECTED,303.88664,3.85E+04,1.21E+05,8.563,4.781,1.21E+05,,1.83E+04,0.125,303.88617,303.88666,1,0.036,0.094,0.167,DETECTED,303.88652,1.31E+05,4.31E+05,1.35,1.175,4.31E+05,0.066,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
10,0.126,0.095,0.185,336.87901,336.87866,336.87943,1.03E+05,6.94E+03,5.13E+04,1.03E+05,0,0.25,1,3,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,6.94E+03,0.126,336.87866,336.87943,,0.21,0.095,0.185,DETECTED,336.87901,5.13E+04,1.03E+05,1.843,1.422,1.03E+05,
11,0.157,0.127,0.218,256.89691,256.8963,256.89777,9.31E+04,4.95E+03,3.33E+04,9.31E+04,0,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,4.95E+03,0.157,256.8963,256.89777,,0.063,0.127,0.218,DETECTED,256.89691,3.33E+04,9.31E+04,2.074,1.537,9.31E+04,,,,,,,,,,UNKNOWN,,,,,,,
12,0.17,0.127,0.218,241.89945,241.8992,241.89989,1.86E+05,1.19E+04,8.73E+04,1.86E+05,1,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,1.19E+04,0.17,241.8992,241.89989,1,1.126,0.127,0.218,DETECTED,241.89945,8.73E+04,1.86E+05,1.088,1.044,1.86E+05,-0.06,,,,,,,,,UNKNOWN,,,,,,,
13,0.183,0.167,0.272,303.88664,303.88623,303.88708,6.73E+05,4.00E+04,1.31E+05,6.73E+05,2,0.25,1,2,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,4.00E+04,0.183,303.88623,303.88708,2,0.08,0.167,0.272,DETECTED,303.88664,1.31E+05,6.73E+05,5.688,3.344,6.73E+05,0.008,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
14,0.206,0.096,0.291,263.91781,263.91727,263.91818,1.63E+05,1.86E+04,4.01E+04,1.63E+05,1,0.75,3,0,0.86,0.41,0.00011,0.033,,,,,,,,,,7.39E+03,0.23,263.91727,263.91818,1,0.029,0.154,0.246,DETECTED,263.91764,4.32E+04,1.14E+05,0.206,0.603,1.14E+05,0.131,,,,,,,,,UNKNOWN,,,,,,,,1.86E+04,0.157,263.91742,263.91833,,0.109,0.096,0.291,DETECTED,263.91782,5.07E+04,1.63E+05,2.229,1.614,1.63E+05,,5.07E+03,0.232,263.91745,263.91879,,0.066,0.216,0.29,DETECTED,263.91795,4.01E+04,1.15E+05,3.767,2.383,1.15E+05,
15,0.207,0.183,0.261,336.87899,336.8786,336.87885,8.90E+04,4.24E+03,2.55E+04,8.90E+04,1,0.5,2,1,0.85,0.91,0.00031,0.007,,,,,,,,,,3.18E+03,0.214,336.8786,336.87885,1,0.052,0.183,0.23,DETECTED,336.87868,3.48E+04,8.90E+04,0.496,0.748,8.90E+04,-0.11,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,4.24E+03,0.2,336.87881,336.8804,,0.036,0.185,0.261,DETECTED,336.8793,2.55E+04,8.81E+04,3.8,2.4,8.81E+04,
16,0.217,0.157,0.305,252.91506,252.91479,252.91539,1.31E+05,9.86E+03,3.74E+04,1.31E+05,0,0.5,2,0,0.96,0.01,0,0.016,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,9.86E+03,0.233,252.91479,252.91539,,0.048,0.157,0.291,DETECTED,252.91507,3.81E+04,1.17E+05,0.757,0.878,1.17E+05,,7.14E+03,0.2,252.91377,252.91548,,0.049,0.185,0.305,DETECTED,252.91506,3.74E+04,1.31E+05,6.596,3.798,1.31E+05,
17,0.233,0.186,0.291,248.89334,248.8933,248.89339,2.64E+06,2.18E+05,1.44E+06,2.64E+06,1,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,2.18E+05,0.233,248.8933,248.89339,1,0.112,0.186,0.291,DETECTED,248.89334,1.44E+06,2.64E+06,1.229,1.115,2.64E+06,0.023,,,,,,,,,UNKNOWN,,,,,,,
18,0.233,0.141,0.291,250.89157,250.89146,250.89166,1.28E+06,1.39E+05,6.15E+05,1.28E+06,2,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,1.39E+05,0.233,250.89146,250.89166,2,0.13,0.141,0.291,DETECTED,250.89157,6.15E+05,1.28E+06,0.629,0.815,1.28E+06,-0.096,,,,,,,,,UNKNOWN,,,,,,,
19,0.244,0.125,0.257,257.89378,257.89343,257.89417,3.90E+05,2.83E+04,1.02E+05,3.90E+05,0,0.25,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,2.83E+04,0.244,257.89343,257.89417,,0.042,0.125,0.257,DETECTED,257.89378,1.02E+05,3.90E+05,0.112,0.556,3.90E+05,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
20,0.257,0.125,0.377,209.95925,209.95911,209.95938,7.26E+05,1.35E+05,3.47E+05,7.26E+05,0,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,1.35E+05,0.257,209.95911,209.95938,,0.096,0.125,0.377,DETECTED,209.95925,3.47E+05,7.26E+05,0.905,0.952,7.26E+05,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
21,0.257,0.244,0.364,212.95405,212.95384,212.95433,2.75E+05,2.27E+04,1.08E+05,2.75E+05,0,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,2.27E+04,0.257,212.95384,212.95433,,0.098,0.244,0.364,DETECTED,212.95405,1.08E+05,2.75E+05,7.994,4.497,2.75E+05,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
22,0.303,0.272,0.349,232.96486,232.96475,232.96492,1.58E+06,7.84E+04,7.32E+05,1.58E+06,3,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,7.84E+04,0.303,232.96475,232.96492,3,0.037,0.272,0.349,DETECTED,232.96486,7.32E+05,1.58E+06,1.482,1.241,1.58E+06,-0.153,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
23,0.303,0.229,0.377,241.89925,241.89891,241.89964,4.61E+05,4.35E+04,1.89E+05,4.61E+05,3,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,4.35E+04,0.303,241.89891,241.89964,3,0.072,0.229,0.377,DETECTED,241.89925,1.89E+05,4.61E+05,1.003,1.001,4.61E+05,-0.092,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
24,0.303,0.257,0.319,257.89383,257.89359,257.89401,4.45E+05,1.89E+04,1.37E+05,4.45E+05,0,0.25,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,1.89E+04,0.303,257.89359,257.89401,,0.051,0.257,0.319,DETECTED,257.89383,1.37E+05,4.45E+05,0.342,0.671,4.45E+05,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
25,0.377,0.272,0.482,303.88663,303.88626,303.88708,5.54E+05,8.48E+04,2.12E+05,5.54E+05,3,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,8.48E+04,0.377,303.88626,303.88708,3,0.126,0.272,0.482,DETECTED,303.88663,2.12E+05,5.54E+05,1.002,1.001,5.54E+05,-0.186,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
26,0.382,0.367,0.397,200.92426,200.92418,200.92444,6.67E+04,1.45E+03,2.50E+04,6.67E+04,0,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,1.45E+03,0.382,200.92418,200.92444,,0.03,0.367,0.397,DETECTED,200.92426,2.50E+04,6.67E+04,0.979,0.989,6.67E+04,
27,0.397,0.336,0.443,228.91891,228.91841,228.91931,6.58E+04,4.27E+03,2.33E+04,6.58E+04,0,0.25,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,4.27E+03,0.397,228.91841,228.91931,,0.033,0.336,0.443,DETECTED,228.91891,2.33E+04,6.58E+04,0.753,0.877,6.58E+04,
28,0.422,0.377,0.467,213.95089,213.95068,213.95114,3.37E+05,2.02E+04,1.35E+05,3.37E+05,0,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,2.02E+04,0.422,213.95068,213.95114,,0.031,0.377,0.467,DETECTED,213.95089,1.35E+05,3.37E+05,1.001,1,3.37E+05,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
29,0.422,0.406,0.508,260.95989,260.95956,260.96033,3.25E+05,1.81E+04,8.56E+04,3.25E+05,0,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,1.81E+04,0.422,260.95956,260.96033,,0.045,0.406,0.508,DETECTED,260.95989,8.56E+04,3.25E+05,5.543,3.272,3.25E+05,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
30,0.422,0.377,0.437,263.91757,263.91745,263.91779,3.45E+05,1.41E+04,1.20E+05,3.45E+05,1,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,1.41E+04,0.422,263.91745,263.91779,1,0.028,0.377,0.437,DETECTED,263.91757,1.20E+05,3.45E+05,0.344,0.672,3.45E+05,0.012,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
31,0.452,0.377,0.482,209.94888,209.94884,209.94893,1.46E+08,9.51E+06,5.42E+07,1.46E+08,3,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,9.51E+06,0.452,209.94884,209.94893,3,0.034,0.377,0.482,DETECTED,209.94888,5.42E+07,1.46E+08,0.396,0.698,1.46E+08,-0.113,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
32,0.452,0.377,0.482,209.95927,209.95917,209.95937,9.17E+05,6.36E+04,3.68E+05,9.17E+05,0,0.25,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,6.36E+04,0.452,209.95917,209.95937,,0.069,0.377,0.482,DETECTED,209.95927,3.68E+05,9.17E+05,0.396,0.698,9.17E+05,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
33,0.452,0.377,0.482,210.94967,210.94958,210.94975,1.78E+07,1.16E+06,6.66E+06,1.78E+07,0,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,1.16E+06,0.452,210.94958,210.94975,,0.038,0.377,0.482,DETECTED,210.94967,6.66E+06,1.78E+07,0.396,0.698,1.78E+07,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
34,0.452,0.377,0.482,211.94643,211.94637,211.94649,1.99E+07,1.32E+06,7.88E+06,1.99E+07,0,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,1.32E+06,0.452,211.94637,211.94649,,0.033,0.377,0.482,DETECTED,211.94643,7.88E+06,1.99E+07,0.396,0.698,1.99E+07,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
35,0.452,0.377,0.482,211.95277,211.95262,211.95291,2.42E+06,1.49E+05,9.05E+05,2.42E+06,0,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,1.49E+05,0.452,211.95262,211.95291,,0.059,0.377,0.482,DETECTED,211.95277,9.05E+05,2.42E+06,0.396,0.698,2.42E+06,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
36,0.452,0.349,0.467,233.96584,233.96567,233.96608,2.31E+05,1.72E+04,9.09E+04,2.31E+05,0,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,1.72E+04,0.452,233.96567,233.96608,,0.095,0.349,0.467,DETECTED,233.96584,9.09E+04,2.31E+05,0.144,0.572,2.31E+05,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
37,0.452,0.377,0.467,241.89909,241.89891,241.89919,5.50E+05,3.04E+04,1.89E+05,5.50E+05,2,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,3.04E+04,0.452,241.89891,241.89919,2,0.067,0.377,0.467,DETECTED,241.89909,1.89E+05,5.50E+05,0.197,0.598,5.50E+05,-0.127,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
38,0.474,0.321,0.551,208.92951,208.92912,208.92972,2.30E+05,3.28E+04,5.16E+04,2.30E+05,6,0.25,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,3.28E+04,0.474,208.92912,208.92972,6,0.205,0.321,0.551,DETECTED,208.92951,5.16E+04,2.30E+05,0.5,0.75,2.30E+05,-0.19
39,0.474,0.413,0.551,220.82223,220.82195,220.8226,9.04E+04,8.65E+03,2.92E+04,9.04E+04,0,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,8.65E+03,0.474,220.82195,220.8226,,0.072,0.413,0.551,DETECTED,220.82223,2.92E+04,9.04E+04,1.25,1.125,9.04E+04,
40,0.489,0.443,0.551,228.91919,228.91898,228.91986,9.02E+04,6.31E+03,1.97E+04,9.02E+04,0,0.5,2,1,0.93,0.25,0.00006,0.015,,,,,,,,,,4.68E+03,0.503,228.91898,228.91986,,0.052,0.472,0.548,DETECTED,228.91913,1.97E+04,9.02E+04,1.464,1.232,9.02E+04,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,6.31E+03,0.474,228.91878,228.91956,,0.314,0.443,0.551,DETECTED,228.91924,2.12E+04,8.75E+04,2.465,1.733,8.75E+04,
41,0.495,0.391,0.585,257.89372,257.89352,257.89404,2.71E+05,3.77E+04,8.99E+04,2.71E+05,0,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,3.77E+04,0.495,257.89352,257.89404,,0.101,0.391,0.585,DETECTED,257.89372,8.99E+04,2.71E+05,0.858,0.929,2.71E+05,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
42,0.503,0.472,0.548,250.81492,250.81447,250.81534,8.38E+04,3.65E+03,3.13E+04,8.38E+04,0,0.25,1,1,1,0,0,0,,,,,,,,,,3.65E+03,0.503,250.81447,250.81534,,0.037,0.472,0.548,DETECTED,250.81492,3.13E+04,8.38E+04,1.464,1.232,8.38E+04,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
43,0.504,0.38,0.52,270.92978,270.92902,270.93027,1.27E+05,9.78E+03,3.34E+04,1.27E+05,1,0.5,2,0,0.95,0.33,0.00009,0.001,,,,,,,,,,9.78E+03,0.503,270.92902,270.93027,,0.053,0.38,0.518,DETECTED,270.92987,3.53E+04,1.27E+05,0.12,0.56,1.27E+05,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,6.53E+03,0.505,270.92911,270.93015,1,0.093,0.413,0.52,DETECTED,270.92969,3.34E+04,1.02E+05,0.169,0.584,1.02E+05,0.117
44,0.505,0.443,0.52,238.94083,238.94072,238.94106,6.43E+04,3.39E+03,3.23E+04,6.43E+04,0,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,3.39E+03,0.505,238.94072,238.94106,,0.033,0.443,0.52,DETECTED,238.94083,3.23E+04,6.43E+04,0.251,0.626,6.43E+04,
45,0.505,0.413,0.551,261.83852,261.83804,261.8389,5.87E+04,6.54E+03,2.78E+04,5.87E+04,0,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,6.54E+03,0.505,261.83804,261.8389,,0.265,0.413,0.551,DETECTED,261.83852,2.78E+04,5.87E+04,0.501,0.751,5.87E+04,
46,0.52,0.427,0.551,236.8171,236.81642,236.81778,6.50E+04,5.99E+03,3.11E+04,6.50E+04,0,0.25,1,2,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,5.99E+03,0.52,236.81642,236.81778,,0.096,0.427,0.551,DETECTED,236.8171,3.11E+04,6.50E+04,0.33,0.665,6.50E+04,
47,0.524,0.508,0.57,260.95977,260.95969,260.95984,3.39E+05,1.13E+04,8.56E+04,3.39E+05,0,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,1.13E+04,0.524,260.95969,260.95984,,0.029,0.508,0.57,DETECTED,260.95977,8.56E+04,3.39E+05,2.891,1.946,3.39E+05,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
48,0.54,0.482,0.6,209.9593,209.95918,209.95937,6.42E+05,6.15E+04,3.68E+05,6.42E+05,0,0.25,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,6.15E+04,0.54,209.95918,209.95937,,0.157,0.482,0.6,DETECTED,209.9593,3.68E+05,6.42E+05,1.044,1.022,6.42E+05,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
49,0.551,0.397,0.597,201.90601,201.90576,201.90622,1.08E+05,1.50E+04,4.65E+04,1.08E+05,1,0.25,1,2,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,1.50E+04,0.551,201.90576,201.90622,1,0.196,0.397,0.597,DETECTED,201.90601,4.65E+04,1.08E+05,0.298,0.649,1.08E+05,0.014
50,0.558,0.413,0.642,219.82473,219.8243,219.82497,8.79E+04,9.97E+03,2.30E+04,8.79E+04,0,0.5,2,0,0.88,0.16,0.00004,0.037,,,,,,,,,,9.97E+03,0.595,219.8243,219.82497,,0.163,0.472,0.642,DETECTED,219.8247,3.19E+04,8.79E+04,0.383,0.691,8.79E+04,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,6.91E+03,0.52,219.82442,219.82507,,0.081,0.413,0.566,DETECTED,219.82477,2.30E+04,7.12E+04,0.421,0.711,7.12E+04,
