id,rt,rt_range:min,rt_range:max,mz,mz_range:min,mz_range:max,height,area,intensity_range:min,intensity_range:max,fragment_scans,alignment_scores:rate,alignment_scores:aligned_features_n,alignment_scores:align_extra_features,alignment_scores:weighted_distance_score,alignment_scores:mz_diff_ppm,alignment_scores:mz_diff,alignment_scores:rt_absolute_error,spectral_db_matches:spectral_db_matches,spectral_db_matches:compound_name,spectral_db_matches:ion_adduct,spectral_db_matches:mol_formula,spectral_db_matches:smiles,spectral_db_matches:precursor_mz,spectral_db_matches:cosine_score,spectral_db_matches:n_matching_signals,spectral_db_matches:ccs,datafile:NEG_NIST_2.mzML:area,datafile:NEG_NIST_2.mzML:rt,datafile:NEG_NIST_2.mzML:mz_range:min,datafile:NEG_NIST_2.mzML:mz_range:max,datafile:NEG_NIST_2.mzML:fragment_scans,datafile:NEG_NIST_2.mzML:fwhm,datafile:NEG_NIST_2.mzML:rt_range:min,datafile:NEG_NIST_2.mzML:rt_range:max,datafile:NEG_NIST_2.mzML:feature_state,datafile:NEG_NIST_2.mzML:mz,datafile:NEG_NIST_2.mzML:intensity_range:min,datafile:NEG_NIST_2.mzML:intensity_range:max,datafile:NEG_NIST_2.mzML:asymmetry_factor,datafile:NEG_NIST_2.mzML:tailing_factor,datafile:NEG_NIST_2.mzML:height,datafile:NEG_NIST_2.mzML:rt_ms2_apex_distance,datafile:NEG_NIST_0.mzML:area,datafile:NEG_NIST_0.mzML:rt,datafile:NEG_NIST_0.mzML:mz_range:min,datafile:NEG_NIST_0.mzML:mz_range:max,datafile:NEG_NIST_0.mzML:fragment_scans,datafile:NEG_NIST_0.mzML:fwhm,datafile:NEG_NIST_0.mzML:rt_range:min,datafile:NEG_NIST_0.mzML:rt_range:max,datafile:NEG_NIST_0.mzML:feature_state,datafile:NEG_NIST_0.mzML:mz,datafile:NEG_NIST_0.mzML:intensity_range:min,datafile:NEG_NIST_0.mzML:intensity_range:max,datafile:NEG_NIST_0.mzML:asymmetry_factor,datafile:NEG_NIST_0.mzML:tailing_factor,datafile:NEG_NIST_0.mzML:height,datafile:NEG_NIST_0.mzML:rt_ms2_apex_distance,datafile:NEG_NIST_1.mzML:area,datafile:NEG_NIST_1.mzML:rt,datafile:NEG_NIST_1.mzML:mz_range:min,datafile:NEG_NIST_1.mzML:mz_range:max,datafile:NEG_NIST_1.mzML:fragment_scans,datafile:NEG_NIST_1.mzML:fwhm,datafile:NEG_NIST_1.mzML:rt_range:min,datafile:NEG_NIST_1.mzML:rt_range:max,datafile:NEG_NIST_1.mzML:feature_state,datafile:NEG_NIST_1.mzML:mz,datafile:NEG_NIST_1.mzML:intensity_range:min,datafile:NEG_NIST_1.mzML:intensity_range:max,datafile:NEG_NIST_1.mzML:asymmetry_factor,datafile:NEG_NIST_1.mzML:tailing_factor,datafile:NEG_NIST_1.mzML:height,datafile:NEG_NIST_1.mzML:rt_ms2_apex_distance,datafile:NEG_NIST_3.mzML:area,datafile:NEG_NIST_3.mzML:rt,datafile:NEG_NIST_3.mzML:mz_range:min,datafile:NEG_NIST_3.mzML:mz_range:max,datafile:NEG_NIST_3.mzML:fragment_scans,datafile:NEG_NIST_3.mzML:fwhm,datafile:NEG_NIST_3.mzML:rt_range:min,datafile:NEG_NIST_3.mzML:rt_range:max,datafile:NEG_NIST_3.mzML:feature_state,datafile:NEG_NIST_3.mzML:mz,datafile:NEG_NIST_3.mzML:intensity_range:min,datafile:NEG_NIST_3.mzML:intensity_range:max,datafile:NEG_NIST_3.mzML:asymmetry_factor,datafile:NEG_NIST_3.mzML:tailing_factor,datafile:NEG_NIST_3.mzML:height,datafile:NEG_NIST_3.mzML:rt_ms2_apex_distance
14214,16.088,16.058,16.104,461.17788,461.17734,461.1799,6.27E+04,2.19E+03,2.56E+04,6.27E+04,0,0.25,1,0,1,0,0,0,,,,,,,,,,2.19E+03,16.088,461.17734,461.1799,,0.048,16.058,16.104,DETECTED,461.17788,2.56E+04,6.27E+04,0.522,0.761,6.27E+04,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
14215,16.088,16.01,16.183,591.36659,591.36566,591.36731,1.17E+05,1.22E+04,3.77E+04,1.17E+05,0,0.25,1,0,1,0,0,0,,,,,,,,,,1.22E+04,16.088,591.36566,591.36731,,0.059,16.01,16.183,DETECTED,591.36659,3.77E+04,1.17E+05,1.211,1.105,1.17E+05,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
14216,16.088,16.058,16.136,765.53851,765.53595,765.54065,1.44E+05,7.10E+03,3.09E+04,1.44E+05,0,0.25,1,2,1,0,0,0,,,,,,,,,,7.10E+03,16.088,765.53595,765.54065,,0.09,16.058,16.136,DETECTED,765.53851,3.09E+04,1.44E+05,1.567,1.284,1.44E+05,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
14217,16.088,15.975,16.281,661.34672,661.34558,661.34796,1.35E+05,1.48E+04,3.75E+04,1.35E+05,0,0.5,2,0,0.88,0.23,0.00015,0.035,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,1.41E+04,16.123,661.34558,661.34796,,0.096,16.107,16.281,DETECTED,661.34657,4.20E+04,1.32E+05,9.918,5.459,1.32E+05,,1.48E+04,16.054,661.34589,661.34827,,0.087,15.975,16.178,DETECTED,661.34687,3.75E+04,1.35E+05,1.584,1.292,1.35E+05,
14218,16.088,16.042,16.136,1670.15384,1670.14941,1670.15649,9.30E+04,5.54E+03,3.53E+04,9.30E+04,0,0.25,1,2,1,0,0,0,,,,,,,,,,5.54E+03,16.088,1670.14941,1670.15649,,0.09,16.042,16.136,DETECTED,1670.15384,3.53E+04,9.30E+04,1.029,1.014,9.30E+04,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
14219,16.09,16.023,16.205,955.61263,955.61035,955.61469,1.54E+05,1.09E+04,4.46E+04,1.54E+05,0,0.75,3,0,0.9,0.27,0.00026,0.024,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,1.09E+04,16.11,955.6106,955.61432,,0.068,16.094,16.205,DETECTED,955.61241,4.82E+04,1.54E+05,5.937,3.469,1.54E+05,,9.27E+03,16.107,955.61035,955.61469,,0.059,16.046,16.155,DETECTED,955.61247,4.46E+04,1.38E+05,0.783,0.892,1.38E+05,,9.17E+03,16.054,955.61078,955.61652,,0.114,16.023,16.131,DETECTED,955.61302,5.62E+04,1.20E+05,2.498,1.749,1.20E+05,
14220,16.091,15.982,16.168,1126.51358,1126.5127,1126.51562,1.16E+05,9.05E+03,3.30E+04,1.16E+05,0,0.5,2,0,0.79,0.67,0.00076,0.045,,,,,,,,,,2.39E+03,16.136,1126.5127,1126.51562,,0.029,16.12,16.168,DETECTED,1126.51434,3.30E+04,7.91E+04,1.999,1.5,7.91E+04,,,,,,,,,,UNKNOWN,,,,,,,,9.05E+03,16.046,1126.51001,1126.51428,,0.07,15.982,16.107,DETECTED,1126.51282,4.09E+04,1.16E+05,0.957,0.979,1.16E+05,,,,,,,,,,UNKNOWN,,,,,,,
14221,16.093,15.998,16.202,673.48081,673.4787,673.48242,1.46E+05,1.94E+04,4.16E+04,1.46E+05,0,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,1.94E+04,16.093,673.4787,673.48242,,0.06,15.998,16.202,DETECTED,673.48081,4.16E+04,1.46E+05,1.15,1.075,1.46E+05,,,,,,,,,,UNKNOWN,,,,,,,
14222,16.093,16.062,16.123,720.44492,720.44476,720.44501,1.83E+05,7.58E+03,7.74E+04,1.83E+05,0,0.25,1,5,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,7.58E+03,16.093,720.44476,720.44501,,0.042,16.062,16.123,DETECTED,720.44492,7.74E+04,1.83E+05,0.964,0.982,1.83E+05,,,,,,,,,,UNKNOWN,,,,,,,
14223,16.093,16.062,16.202,731.48339,731.48181,731.48492,1.02E+05,9.42E+03,3.31E+04,1.02E+05,0,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,9.42E+03,16.093,731.48181,731.48492,,0.083,16.062,16.202,DETECTED,731.48339,3.31E+04,1.02E+05,3.509,2.255,1.02E+05,,,,,,,,,,UNKNOWN,,,,,,,
