id,rt,rt_range:min,rt_range:max,mz,mz_range:min,mz_range:max,height,area,intensity_range:min,intensity_range:max,fragment_scans,alignment_scores:rate,alignment_scores:aligned_features_n,alignment_scores:align_extra_features,alignment_scores:weighted_distance_score,alignment_scores:mz_diff_ppm,alignment_scores:mz_diff,alignment_scores:rt_absolute_error,spectral_db_matches:spectral_db_matches,spectral_db_matches:compound_name,spectral_db_matches:ion_adduct,spectral_db_matches:mol_formula,spectral_db_matches:smiles,spectral_db_matches:precursor_mz,spectral_db_matches:cosine_score,spectral_db_matches:n_matching_signals,spectral_db_matches:ccs,datafile:POS_NIST_3.mzML:area,datafile:POS_NIST_3.mzML:rt,datafile:POS_NIST_3.mzML:mz_range:min,datafile:POS_NIST_3.mzML:mz_range:max,datafile:POS_NIST_3.mzML:fragment_scans,datafile:POS_NIST_3.mzML:fwhm,datafile:POS_NIST_3.mzML:rt_range:min,datafile:POS_NIST_3.mzML:rt_range:max,datafile:POS_NIST_3.mzML:feature_state,datafile:POS_NIST_3.mzML:mz,datafile:POS_NIST_3.mzML:intensity_range:min,datafile:POS_NIST_3.mzML:intensity_range:max,datafile:POS_NIST_3.mzML:asymmetry_factor,datafile:POS_NIST_3.mzML:tailing_factor,datafile:POS_NIST_3.mzML:height,datafile:POS_NIST_3.mzML:rt_ms2_apex_distance,datafile:POS_NIST_2.mzML:area,datafile:POS_NIST_2.mzML:rt,datafile:POS_NIST_2.mzML:mz_range:min,datafile:POS_NIST_2.mzML:mz_range:max,datafile:POS_NIST_2.mzML:fragment_scans,datafile:POS_NIST_2.mzML:fwhm,datafile:POS_NIST_2.mzML:rt_range:min,datafile:POS_NIST_2.mzML:rt_range:max,datafile:POS_NIST_2.mzML:feature_state,datafile:POS_NIST_2.mzML:mz,datafile:POS_NIST_2.mzML:intensity_range:min,datafile:POS_NIST_2.mzML:intensity_range:max,datafile:POS_NIST_2.mzML:asymmetry_factor,datafile:POS_NIST_2.mzML:tailing_factor,datafile:POS_NIST_2.mzML:height,datafile:POS_NIST_2.mzML:rt_ms2_apex_distance,datafile:POS_NIST_0.mzML:area,datafile:POS_NIST_0.mzML:rt,datafile:POS_NIST_0.mzML:mz_range:min,datafile:POS_NIST_0.mzML:mz_range:max,datafile:POS_NIST_0.mzML:fragment_scans,datafile:POS_NIST_0.mzML:fwhm,datafile:POS_NIST_0.mzML:rt_range:min,datafile:POS_NIST_0.mzML:rt_range:max,datafile:POS_NIST_0.mzML:feature_state,datafile:POS_NIST_0.mzML:mz,datafile:POS_NIST_0.mzML:intensity_range:min,datafile:POS_NIST_0.mzML:intensity_range:max,datafile:POS_NIST_0.mzML:asymmetry_factor,datafile:POS_NIST_0.mzML:tailing_factor,datafile:POS_NIST_0.mzML:height,datafile:POS_NIST_0.mzML:rt_ms2_apex_distance,datafile:POS_NIST_1.mzML:area,datafile:POS_NIST_1.mzML:rt,datafile:POS_NIST_1.mzML:mz_range:min,datafile:POS_NIST_1.mzML:mz_range:max,datafile:POS_NIST_1.mzML:fragment_scans,datafile:POS_NIST_1.mzML:fwhm,datafile:POS_NIST_1.mzML:rt_range:min,datafile:POS_NIST_1.mzML:rt_range:max,datafile:POS_NIST_1.mzML:feature_state,datafile:POS_NIST_1.mzML:mz,datafile:POS_NIST_1.mzML:intensity_range:min,datafile:POS_NIST_1.mzML:intensity_range:max,datafile:POS_NIST_1.mzML:asymmetry_factor,datafile:POS_NIST_1.mzML:tailing_factor,datafile:POS_NIST_1.mzML:height,datafile:POS_NIST_1.mzML:rt_ms2_apex_distance
11,0.937,0.921,0.968,326.19392,326.19376,326.19424,1.04E+05,2.84E+03,3.12E+04,1.04E+05,0,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,2.84E+03,0.937,326.19376,326.19424,,0.028,0.921,0.968,DETECTED,326.19392,3.12E+04,1.04E+05,1.954,1.477,1.04E+05,,,,,,,,,,UNKNOWN,,,,,,,
12,0.937,0.905,0.952,593.36549,593.36462,593.36652,7.43E+04,1.96E+03,9.60E+03,7.43E+04,0,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,1.96E+03,0.937,593.36462,593.36652,,0.028,0.905,0.952,DETECTED,593.36549,9.60E+03,7.43E+04,0.496,0.748,7.43E+04,,,,,,,,,,UNKNOWN,,,,,,,
13,0.937,0.921,0.952,674.75822,674.75421,674.76068,3.35E+04,7.61E+02,1.41E+04,3.35E+04,0,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,7.61E+02,0.937,674.75421,674.76068,,0.032,0.921,0.952,DETECTED,674.75822,1.41E+04,3.35E+04,0.978,0.989,3.35E+04,,,,,,,,,,UNKNOWN,,,,,,,
14,0.937,0.902,1.039,322.30646,322.3064,322.3067,5.08E+05,3.04E+04,1.10E+05,5.08E+05,10,1,4,0,0.97,0.17,0.00006,0.003,,,,,,,,,,3.04E+04,0.933,322.3064,322.3067,3,0.039,0.902,1.039,DETECTED,322.30656,1.28E+05,5.08E+05,3.445,2.222,5.08E+05,-0.172,2.55E+04,0.941,322.30627,322.30661,3,0.121,0.909,1.018,DETECTED,322.30638,1.25E+05,3.93E+05,2.466,1.733,3.93E+05,-0.15,2.51E+04,0.937,322.3064,322.30655,2,0.051,0.905,1.014,DETECTED,322.30646,1.23E+05,3.95E+05,2.474,1.737,3.95E+05,-0.083,2.42E+04,0.94,322.30637,322.30655,2,0.051,0.909,1.018,DETECTED,322.30642,1.10E+05,4.00E+05,2.478,1.739,4.00E+05,-0.101
15,0.938,0.89,1.018,323.3101,323.30969,323.31061,7.21E+04,3.92E+03,1.89E+04,7.21E+04,0,0.5,2,0,0.96,0.25,0.00008,0.002,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,3.92E+03,0.937,323.30969,323.31061,,0.047,0.89,0.999,DETECTED,323.31018,1.89E+04,6.46E+04,1.326,1.163,6.46E+04,,3.36E+03,0.94,323.30978,323.31067,,0.04,0.924,1.018,DETECTED,323.31002,1.91E+04,7.21E+04,4.9,2.95,7.21E+04,
16,0.941,0.909,0.987,296.29083,296.29077,296.29095,8.34E+05,4.35E+04,3.06E+05,8.34E+05,0,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,4.35E+04,0.941,296.29077,296.29095,,0.804,0.909,0.987,DETECTED,296.29083,3.06E+05,8.34E+05,1.481,1.24,8.34E+05,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
17,0.941,0.925,0.956,659.58236,659.58179,659.5827,4.42E+04,9.18E+02,1.00E+04,4.42E+04,0,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,9.18E+02,0.941,659.58179,659.5827,,0.031,0.925,0.956,DETECTED,659.58236,1.00E+04,4.42E+04,0.975,0.988,4.42E+04,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
18,0.946,0.921,0.968,637.7372,637.73755,637.73792,5.86E+04,1.55E+03,1.81E+04,5.86E+04,0,0.5,2,0,0.85,0.88,0.00056,0.006,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,1.22E+03,0.941,637.7359,637.73694,,0.031,0.925,0.956,DETECTED,637.73664,1.99E+04,5.67E+04,0.975,0.988,5.67E+04,,1.55E+03,0.952,637.73755,637.73792,,0.027,0.921,0.968,DETECTED,637.73777,1.81E+04,5.86E+04,0.493,0.747,5.86E+04,,,,,,,,,,UNKNOWN,,,,,,,
19,0.948,0.933,0.993,622.89482,622.89374,622.896,4.15E+04,1.56E+03,1.87E+04,4.15E+04,0,0.25,1,0,1,0,0,0,,,,,,,,,,1.56E+03,0.948,622.89374,622.896,,0.04,0.933,0.993,DETECTED,622.89482,1.87E+04,4.15E+04,2.875,1.937,4.15E+04,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
20,0.948,0.933,1.024,717.45094,717.44781,717.45294,3.83E+04,1.89E+03,1.09E+04,3.83E+04,0,0.25,1,0,1,0,0,0,,,,,,,,,,1.89E+03,0.948,717.44781,717.45294,,0.033,0.933,1.024,DETECTED,717.45094,1.09E+04,3.83E+04,4.885,2.943,3.83E+04,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
