feature_id,rt,mz_measured,mz_calculated,mz_error(ppm),mol_formula,smiles,adduct,primary_annotated_name,structure_annotated_name,rt_score,mz_score,spec_score,total_score,fragments_ion_detection_level,fragments_spectrum_detection_level,datafile:NEG_NIST_2.mzML:area,datafile:NEG_NIST_0.mzML:area,datafile:NEG_NIST_1.mzML:area,datafile:NEG_NIST_3.mzML:area
12318,15.305,804.57642,804.57601,0.5095851664630556,C42H82NO8P,CCCCCCCCCCCC=CCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,[M+HCOO]-,PC 16:0_18:1,PC 16:0_18:1(6),0.8599999999999994,0.8894699999999602,0.0,0.17494699999999597,All,None,271428.5714285714,0.0,233888.5077186964,398906.7257127041
12318,15.305,804.57642,804.57601,0.5095851664630556,C42H82NO8P,CCCCCCC=CCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,[M+HCOO]-,PC 16:0_18:1,PC 16:0_18:1(11),0.44599999999999795,0.8376299999999901,0.0,0.1283629999999988,All,None,318571.4285714286,265000.0,318554.0308747857,543177.4148906725
12590,15.438,808.55161,808.51341,47.24720645012024,C44H76NO10P,CCC=CCC=CCC=CCC=CCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)(O)OCC(N)C(=O)O,[M-H]-,PS 18:1_20:4,"PS 18:1(9)_20:4(8,11,14,17)",0.572000000000001,0.8341149999999828,0.34602919653232433,0.4174348572258578,Some,Some,53887.24917719504,70619.25041037438,0.0,50551.589754531735
12590,15.438,808.55161,808.51341,47.24720645012024,C44H76NO10P,CCC=CCC=CCC=CCC=CCCCCCCC(=O)OC(COC(=O)CCCCCCCCCC=CCCCCCC)COP(=O)(O)OCC(N)C(=O)O,[M-H]-,PS 18:1_20:4,"PS 18:1(11)_20:4(8,11,14,17)",0.5630000000000003,0.7581989999999905,0.31732543055293794,0.3859802444423494,All,Some,21079.467034717058,15826.198367778277,0.0,14251.185295123583
12590,15.438,808.55161,808.51341,47.24720645012024,C44H76NO10P,CCC=CCC=CCC=CCC=CCCCCCCC(=O)OC(COC(=O)CCCCC=CCCCCCCCCCCC)COP(=O)(O)OCC(N)C(=O)O,[M-H]-,PS 18:1_20:4,"PS 18:1(6)_20:4(8,11,14,17)",0.5590000000000006,0.8223299999999796,0.29518072792295347,0.37427758233836084,Some,Some,50506.47627136639,68888.48914309188,0.0,47516.89535828703
12590,15.438,808.55161,808.51341,47.24720645012024,C44H76NO10P,CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)(O)OCC(N)C(=O)O,[M-H]-,PS 18:1_20:4,"PS 18:1(9)_20:4(5,8,11,14)",0.8150000000000008,0.7959049999999905,0.1991197594033526,0.32038630752268127,Some,Some,17057.70251619068,14441.170283427497,0.0,11631.94821413443
12590,15.438,808.55161,808.51341,47.24720645012024,C44H76NO10P,CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC(COC(=O)CCCCCCCCCC=CCCCCCC)COP(=O)(O)OCC(N)C(=O)O,[M-H]-,PS 18:1_20:4,"PS 18:1(11)_20:4(5,8,11,14)",0.7868000000000006,0.7172280000000001,0.19979788084976052,0.31024110467980853,All,Some,52392.82301730545,71025.74881939717,0.0,48651.33653595736
12590,15.438,808.55161,808.51341,47.24720645012024,C44H76NO10P,CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC(COC(=O)CCCCC=CCCCCCCCCCCC)COP(=O)(O)OCC(N)C(=O)O,[M-H]-,PS 18:1_20:4,"PS 18:1(6)_20:4(5,8,11,14)",0.7210000000000005,0.7828249999999883,0.1482712907939818,0.26899953263518434,Some,Some,12076.281983225397,12199.142975930774,0.0,9397.044841965882
12629,15.449,742.53943,742.53923,0.26934603854328715,C41H78NO8P,CCCCCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCCC)COP(=O)(O)OCCN,[M-H]-,PE 18:0_18:2,"PE 18:0_18:2(9,12)",0.9070000000000009,0.9312725000000626,0.12810477052733246,0.2863110664218723,All,Some,95880.31338556425,78823.87210405093,90542.50210406455,100983.75870069607
12629,15.449,742.53943,742.53923,0.26934603854328715,C41H78NO8P,CCCCCCCCC=CCC=CCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCCC)COP(=O)(O)OCCN,[M-H]-,PE 18:0_18:2,"PE 18:0_18:2(6,9)",0.6095000000000006,0.8748575000000756,0.11001647714547658,0.23644893171638892,All,Some,326119.68661443575,275176.12789594906,321457.4978959355,367016.24129930395
