feature_id,rt,mz_measured,mz_calculated,mz_error(ppm),mol_formula,smiles,adduct,primary_annotated_name,structure_annotated_name,rt_score,mz_score,spec_score,total_score,fragments_ion_detection_level,fragments_spectrum_detection_level,fragment_mz_delta,fragment_fatty_acid_pos,fragment_types,datafile:NEG_NIST_2.mzML:area,datafile:NEG_NIST_0.mzML:area,datafile:NEG_NIST_1.mzML:area,datafile:NEG_NIST_3.mzML:area
9153,14.055,676.41742,676.2514100000001,245.48562493927326,C44H82NO8P,CCCCCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCC=CCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,[M+HCOO]-,PC 18:1_18:2,"PC 18:1(6)_18:2(9,12)",0.8539999999999992,0.832260000000133,0.0,0.1686260000000132,All,None,-152.32459999999998,12,aldehyde,88.59470468431772,1600000000.0,143.71772805507746,7500000000.0
9290,14.093,692.41413,692.25081,235.92605113744656,C44H82NO8P,CCCCCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCC=CCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,[M+HCOO]-,PC 18:1_18:2,"PC 18:1(6)_18:2(9,12)",0.9299999999999997,0.8349500000000489,0.0,0.17649500000000487,All,None,-136.32519999999997,12,criegee,0.0,7300000000.0,0.0,0.0
9040,14.029,718.35711,718.33241,34.38519501027744,C44H82NO8P,CCCCCCCCC=CCC=CCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,[M+HCOO]-,PC 18:1_18:2,"PC 18:1(9)_18:2(6,9)",0.8019999999999996,0.9735699999999952,0.0,0.1775569999999995,Some,None,-110.24359999999999,9,aldehyde,0.0,0.0,17.555938037865747,0.0
9393,14.123,694.43016,694.2668100000001,235.28418418838578,C44H82NO8P,CCCCCCCCC=CCC=CCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,[M+HCOO]-,PC 18:1_18:2,"PC 18:1(9)_18:2(6,9)",0.9899999999999984,0.8349200000001247,0.0,0.1824920000000123,Some,None,-134.30919999999995,9,criegee,0.0,4800000000.0,0.0,0.0
9557,14.198,734.42777,734.33181,130.6766215125434,C44H82NO8P,CCCCCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,[M+HCOO]-,PC 18:1_18:2,"PC 18:1(9)_18:2(9,12)",0.8599999999999994,0.9023100000000568,0.0,0.17623100000000563,Some,None,-94.24419999999999,6,aldehyde,20.061099796334013,0.0,0.0,0.0
9422,14.137,736.42177,736.34781,100.4416649246997,C44H82NO8P,CCCCCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,[M+HCOO]-,PC 18:1_18:2,"PC 18:1(9)_18:2(9,12)",0.9819999999999993,0.9243099999999913,0.0,0.19063099999999908,Some,None,-92.2282,6,criegee,42.26069246435845,4430000000.0,0.0,0.0
9488,14.166,760.37406,760.41341,51.74816682942651,C44H82NO8P,CCCCCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,[M+HCOO]-,PC 18:1_18:2,"PC 18:1(9)_18:2(9,12)",0.9239999999999995,0.9623799999999392,0.0,0.18863799999999387,Some,None,-68.1626,9,aldehyde,0.0,0.0,12.220309810671257,564000000.0
9678,14.25,740.52429,740.52358,0.9587810828558961,C41H76NO8P,CCCCCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)(O)OCCN,[M-H]-,PE 18:1_18:2,"PE 18:1(9)_18:2(9,12)",0.6995000000000005,0.7404349999999909,0.10887348125397289,0.23109228500317747,Some,Some,0.0,0,substrate,2132.4182478805005,0.0,2537.569507152702,1563.2777737691515
9678,14.25,740.52429,740.52358,0.9587810828558961,C41H76NO8P,CCCCCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCC=CCCCCCC)COP(=O)(O)OCCN,[M-H]-,PE 18:1_18:2,"PE 18:1(11)_18:2(9,12)",0.7560000000000002,0.8133866666666449,0.07258232083598193,0.21500452333545006,All,Some,0.0,0,substrate,0.0,0.0,2909.6446620090933,1777.2422252687784
9678,14.25,740.52429,740.52358,0.9587810828558961,C41H76NO8P,CCCCCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCC=CCCCCCCCCCCC)COP(=O)(O)OCCN,[M-H]-,PE 18:1_18:2,"PE 18:1(6)_18:2(9,12)",0.574333333333333,0.7857266666666382,0.09823394355258248,0.21459315484206312,All,Some,0.0,0,substrate,26150.181671376668,0.0,21275.240403656353,24798.479928806795
