id,rt,mz,compound_name,adduct,cosine_score,mol_formula,smiles,datafile:neg_hela_LG1_O3.mzML:area,datafile:neg_hela_LG5_O3.mzML:area,datafile:neg_hela_HG3_O3.mzML:area,datafile:neg_hela_HG6_O3.mzML:area,datafile:neg_hela_LG2_O3.mzML:area,datafile:neg_hela_LG3_O3.mzML:area,datafile:neg_hela_LG6_O3.mzML:area,datafile:neg_hela_S4_O3.mzML:area,datafile:neg_hela_LG4_O3.mzML:area,datafile:neg_hela_HG1_O3.mzML:area,datafile:neg_hela_HG5_O3.mzML:area,datafile:neg_hela_HG2_O3.mzML:area,datafile:neg_hela_S2_O3.mzML:area,datafile:neg_hela_S1_O3.mzML:area,datafile:neg_hela_HG4_O3.mzML:area,datafile:neg_hela_S3_O3.mzML:area,datafile:neg_hela_S6_O3.mzML:area,datafile:neg_hela_S5_O3.mzML:area,chain_shorthand,db_shorthand,lipid_name,name,score
2900,5.586,769.50107,PG 18:2_18:2,[M-H]-,0.96,C42H75O10P,CCCCC\C=C/C\C=C/CCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2879.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PG(18:2_18:2),"PG(18:2(9,12)_18:2(9,12))","PG(18:2(9,12)_18:2(9,12))","PG(18:2(9,12)_18:2(9,12))",0.44279999999999997
2917,5.614,745.50255,PG 16:1_18:1,[M-H]-,0.99,C40H75O10P,CCCCCCCC\C=C/CCCCCCCC(=O)OC(COC(=O)CCCCCCC\C=C/CCCCCC)COP(O)(=O)OCC(O)CO,0.0,328600.0,102800.0,28040.0,222600.0,295000.0,361400.0,104600.0,297400.0,0.0,40810.0,109700.0,131700.0,102200.0,59560.0,123900.0,115400.0,116400.0,PG(16:1_18:1),PG(16:1(9)_18:1(9)),PG(16:1(9)_18:1(9)),PG(16:1(9)_18:1(9)),0.8773
2984,5.682,797.53262,PG 18:1_20:3,[M-H]-,0.99,C44H79O10P,CCCCCCCC\C=C/CCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCCCCCCCC\C=C/C\C=C/C\C=C/CC,0.0,0.0,0.0,0.0,0.0,0.0,2953.0,0.0,2027.0,0.0,0.0,4069.0,0.0,0.0,0.0,0.0,0.0,0.0,PG(18:1_20:3),"PG(18:1(9)_20:3(8,11,14))","PG(18:1(9)_20:3(8,11,14))","PG(18:1(9)_20:3(8,11,14))",0.5783333333333338
3003,5.687,881.51858,PI 16:0_22:6,[M-H]-,0.96,C47H79O13P,CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,0.0,92900.0,244600.0,166100.0,85490.0,89770.0,95770.0,425000.0,98220.0,0.0,166200.0,382200.0,450400.0,511300.0,284800.0,472300.0,468000.0,432500.0,PI(16:0_22:6),"PI(16:0_22:6(4,7,10,13,16,19))","PI(16:0_22:6(4,7,10,13,16,19))","PI(16:0_22:6(4,7,10,13,16,19))",1.080000000000001
3022,5.706,743.48727,PG 16:1_18:2,[M-H]-,0.97,C40H73O10P,CCCCCC\C=C/CCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,0.0,0.0,0.0,0.0,0.0,2067.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PG(16:1_18:2),"PG(16:1(9)_18:2(9,12))","PG(16:1(9)_18:2(9,12))","PG(16:1(9)_18:2(9,12))",0.6597142857142858
3028,5.718,769.50208,PG 18:2_18:2,[M-H]-,0.97,C42H75O10P,CCCCC\C=C/C\C=C/CCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,0.0,12150.0,0.0,11220.0,13460.0,6912.0,0.0,16090.0,14550.0,0.0,9760.0,14680.0,16830.0,18560.0,0.0,21490.0,15160.0,21450.0,PG(18:2_18:2),"PG(18:2(9,12)_18:2(9,12))","PG(18:2(9,12)_18:2(9,12))","PG(18:2(9,12)_18:2(9,12))",0.49079999999999996
3077,5.759,907.53436,PI 18:1_22:6,[M-H]-,0.95,C49H81O13P,CCCCCCCC\C=C/CCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,0.0,148900.0,182700.0,91520.0,141500.0,129700.0,148100.0,332600.0,137300.0,0.0,105000.0,299200.0,342900.0,386800.0,201700.0,345400.0,334500.0,315200.0,PI(18:1_22:6),"PI(18:1(9)_22:6(4,7,10,13,16,19))","PI(18:1(9)_22:6(4,7,10,13,16,19))","PI(18:1(9)_22:6(4,7,10,13,16,19))",1.0272333333333332
3080,5.76,731.48663,PG 16:1_17:1,[M-H]-,0.95,C39H73O10P,CCCCCCC\C=C/CCCCCCCC(=O)OC(COC(=O)CCCCCCC\C=C/CCCCCC)COP(O)(=O)OCC(O)CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6682.0,0.0,7007.0,PG(16:1_17:1),PG(16:1(9)_17:1(9)),PG(16:1(9)_17:1(9)),PG(16:1(9)_17:1(9)),0.55
3118,5.79,717.4706,PG 16:1_16:1,[M-H]-,0.97,C38H71O10P,CCCCCC\C=C/CCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCCCCCC\C=C/CCCCCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8499.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PG(16:1_16:1),PG(16:1(9)_16:1(9)),PG(16:1(9)_16:1(9)),PG(16:1(9)_16:1(9)),0.7483333333333336
3152,5.816,771.5179,PG 18:1_18:2,[M-H]-,0.99,C42H77O10P,CCCCCCCC\C=C/CCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,0.0,190400.0,39050.0,24790.0,140300.0,165800.0,201300.0,57810.0,172200.0,0.0,25820.0,59270.0,75870.0,59090.0,33430.0,65920.0,60890.0,64380.0,PG(18:1_18:2),"PG(18:1(9)_18:2(9,12))","PG(18:1(9)_18:2(9,12))","PG(18:1(9)_18:2(9,12))",0.7495714285714286
3155,5.822,797.53306,PG 18:1_20:3,[M-H]-,0.98,C44H79O10P,CCCCCCCC\C=C/CCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCCCCCCCC\C=C/C\C=C/C\C=C/CC,0.0,12220.0,0.0,0.0,15560.0,10650.0,12720.0,19440.0,14800.0,0.0,0.0,9980.0,22440.0,16120.0,0.0,18610.0,15920.0,15670.0,PG(18:1_20:3),"PG(18:1(9)_20:3(8,11,14))","PG(18:1(9)_20:3(8,11,14))","PG(18:1(9)_20:3(8,11,14))",0.7140555555555557
3172,5.846,759.51809,PG 17:1_18:1,[M-H]-,0.97,C41H77O10P,CCCCCCCC\C=C/CCCCCCCC(=O)OC(COC(=O)CCCCCCC\C=C/CCCCCCC)COP(O)(=O)OCC(O)CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2649.0,0.0,0.0,0.0,2702.0,0.0,0.0,0.0,0.0,0.0,0.0,PG(17:1_18:1),PG(17:1(9)_18:1(9)),PG(17:1(9)_18:1(9)),PG(17:1(9)_18:1(9)),0.6294000000000002
3187,5.864,691.45527,PG 14:0_16:1,[M-H]-,0.94,C36H69O10P,CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCCCCCC\C=C/CCCCCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6883.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PG(14:0_16:1),PG(14:0_16:1(9)),PG(14:0_16:1(9)),PG(14:0_16:1(9)),0.49916666666666654
3314,5.941,771.5199,PG 18:1_18:2,[M-H]-,0.98,C42H77O10P,CCCCCCCC\C=C/CCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1822.0,0.0,0.0,0.0,0.0,0.0,0.0,PG(18:1_18:2),"PG(18:1(9)_18:2(9,12))","PG(18:1(9)_18:2(9,12))","PG(18:1(9)_18:2(9,12))",0.8347857142857144
3420,5.975,797.53336,PG 18:1_20:3,[M-H]-,0.98,C44H79O10P,CCCCCCCC\C=C/CCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCCCCCCCC\C=C/C\C=C/C\C=C/CC,0.0,8793.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4744.0,0.0,4767.0,0.0,0.0,PG(18:1_20:3),"PG(18:1(9)_20:3(8,11,14))","PG(18:1(9)_20:3(8,11,14))","PG(18:1(9)_20:3(8,11,14))",0.7977222222222222
3412,5.975,881.51861,PI 16:0_22:6,[M-H]-,0.94,C47H79O13P,CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8250.0,0.0,0.0,PI(16:0_22:6),"PI(16:0_22:6(4,7,10,13,16,19))","PI(16:0_22:6(4,7,10,13,16,19))","PI(16:0_22:6(4,7,10,13,16,19))",1.5214999999999996
3454,5.985,759.51782,PG 17:1_18:1,[M-H]-,0.99,C41H77O10P,CCCCCCCC\C=C/CCCCCCCC(=O)OC(COC(=O)CCCCCCC\C=C/CCCCCCC)COP(O)(=O)OCC(O)CO,0.0,14080.0,11200.0,0.0,11170.0,12510.0,15120.0,10290.0,10110.0,0.0,0.0,8742.0,8368.0,13610.0,0.0,12380.0,14880.0,0.0,PG(17:1_18:1),PG(17:1(9)_18:1(9)),PG(17:1(9)_18:1(9)),PG(17:1(9)_18:1(9)),0.7905000000000003
3540,6.047,719.48651,PG 14:0_18:1,[M-H]-,0.86,C38H73O10P,CCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCCCCCC\C=C/CCCCCCCC,0.0,111700.0,117000.0,144400.0,140900.0,97270.0,121300.0,128200.0,131200.0,0.0,123400.0,127600.0,154800.0,133800.0,146900.0,151400.0,128300.0,156700.0,PG(14:0_18:1),PG(14:0_18:1(9)),PG(14:0_18:1(9)),PG(14:0_18:1(9)),0.37399999999999994
3555,6.056,797.53403,PG 18:1_20:3,[M-H]-,0.96,C44H79O10P,CCCCCCCC\C=C/CCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCCCCCCCC\C=C/C\C=C/C\C=C/CC,0.0,14900.0,4306.0,0.0,18930.0,0.0,22770.0,5835.0,15800.0,0.0,0.0,3265.0,0.0,4380.0,0.0,3997.0,7042.0,0.0,PG(18:1_20:3),"PG(18:1(9)_20:3(8,11,14))","PG(18:1(9)_20:3(8,11,14))","PG(18:1(9)_20:3(8,11,14))",0.7892222222222226
