name,datafile:pos_hela_HG1_O3.mzML:area,datafile:pos_hela_HG2_O3.mzML:area,datafile:pos_hela_HG3_O3.mzML:area,datafile:pos_hela_HG4_O3.mzML:area,datafile:pos_hela_HG5_O3.mzML:area,datafile:pos_hela_HG6_O3.mzML:area,datafile:pos_hela_LG1_O3.mzML:area,datafile:pos_hela_LG2_O3.mzML:area,datafile:pos_hela_LG3_O3.mzML:area,datafile:pos_hela_LG4_O3.mzML:area,datafile:pos_hela_LG5_O3.mzML:area,datafile:pos_hela_LG6_O3.mzML:area
group,HG,HG,HG,HG,HG,HG,LG,LG,LG,LG,LG,LG
TG(18:0_18:1(9)_18:1(9)),9988000,12968200,9302800,9662700,10721000,12617800,4709000,3237300,3420000,5158190,3280000,5354000
"TG(18:0_18:1(9)_18:2(9,12))",681400,679500,755400,791400,996200,1057000,421100,583600,556200,570700,548500,579800
"TG(18:0_18:1(9)_20:5(5,8,11,14,17))",281300,226400,190300,423700,361400,616300,15710,23770,18640,22120,25790,0
"TG(18:0_20:2(11,14)_20:2(11,14))",376900,359900,320400,362200,345800,453100,152200,182400,187400,182700,180600,183500
TG(18:1(6)_18:1(9)_18:1(6)),14060000,13445000,12330000,12746800,12120040,13015800,8144380,9248000,8824000,8592320,8765000,8592000
"TG(18:1(9)_18:1(9)_18:2(9,12))",3443000,3108000,2871000,3631000,3950200,5916100,2080000,2667000,2272000,2455000,2378000,2306000
TG(18:1(9)_18:1(9)_20:0),2018000,2043000,1832000,1876000,1634000,1899000,482200,499400,587100,561200,578400,570000
TG(18:1(9)_18:1(9)_20:1(11)),3410200,3409300,2822000,3123900,2841300,3296500,1668700,1890100,1876600,1794000,1826100,1873300
"TG(18:1(9)_18:1(9)_20:2(11,14))",1502000,1288000,1264000,1527000,1701000,2113000,828500,998400,881300,840800,915700,908100
"TG(18:1(9)_18:1(9)_20:3(8,11,14))",1260000,588800,1220000,1429000,1639000,2472000,515700,0,0,0,394900,0
"TG(18:1(9)_18:1(9)_20:4(5,8,11,14))",0,0,0,0,0,0,0,0,7290,0,0,0
"TG(18:1(9)_18:1(9)_20:5(5,8,11,14,17))",1526000,1255000,1093000,1900000,2121000,3273000,197000,325600,225700,227600,218800,203600
TG(18:1(9)_18:1(9)_22:1(13)),899800,886000,793300,873300,779940,827000,306700,334700,387100,363500,363900,384500
"TG(18:1(9)_18:1(9)_22:2(13,16))",72520,117400,108300,143600,153700,0,0,9203,0,12406,0,0
"TG(18:1(9)_18:1(9)_22:3(10,13,16))",0,0,0,0,0,0,137300,173400,162400,149000,145700,0
"TG(18:1(9)_18:1(9)_22:5(7,10,13,16,19))",1888200,1679200,1503800,2177300,2291300,3224500,408230,579540,404750,387740,415530,373180
"TG(18:1(9)_20:4(5,8,11,14)_20:4(5,8,11,14))",109900,102300,67010,181200,233100,560700,26660,54270,21440,26990,24450,23290
"TG(18:1(9)_20:4(5,8,11,14)_22:5(7,10,13,16,19))",0,9404,0,52110,109000,329760,0,0,0,0,0,0
"TG(18:1(9)_20:4(5,8,11,14)_22:6(4,7,10,13,16,19))",38910,19120,0,58080,94000,255820,0,0,0,0,0,0
"TG(18:1(9)_20:5(5,8,11,14,17)_22:1(13))",33810,24660,25020,44010,42840,82980,0,0,0,0,0,0
"TG(18:2(9,12)_18:2(9,12)_20:3(8,11,14))",624700,580500,497400,764600,870700,1615000,191900,271400,199600,205300,187800,132200
"TG(18:2(9,12)_18:2(9,12)_20:4(5,8,11,14))",404000,327500,281600,564000,718300,1388000,93880,192200,92760,105600,93260,90130
