id,rt,rt_range:min,rt_range:max,mz,mz_range:min,mz_range:max,height,area,intensity_range:min,intensity_range:max,fragment_scans,alignment_scores:rate,alignment_scores:aligned_features_n,alignment_scores:align_extra_features,alignment_scores:weighted_distance_score,alignment_scores:mz_diff_ppm,alignment_scores:mz_diff,alignment_scores:rt_absolute_error,alignment_scores:ion_mobility_absolute_error,spectral_db_matches:spectral_db_matches,spectral_db_matches:compound_name,spectral_db_matches:similarity_score,spectral_db_matches:n_matching_signals,spectral_db_matches:explained_intensity_percent,spectral_db_matches:ion_adduct,spectral_db_matches:mol_formula,spectral_db_matches:smiles,spectral_db_matches:precursor_mz,spectral_db_matches:mz_diff,spectral_db_matches:mz_diff_ppm,spectral_db_matches:ccs,datafile:NEG_liver1_0.mzML:feature_state,datafile:NEG_liver1_0.mzML:mz,datafile:NEG_liver1_0.mzML:mz_range:min,datafile:NEG_liver1_0.mzML:mz_range:max,datafile:NEG_liver1_0.mzML:rt,datafile:NEG_liver1_0.mzML:rt_range:min,datafile:NEG_liver1_0.mzML:rt_range:max,datafile:NEG_liver1_0.mzML:height,datafile:NEG_liver1_0.mzML:area,datafile:NEG_liver1_0.mzML:intensity_range:min,datafile:NEG_liver1_0.mzML:intensity_range:max,datafile:NEG_liver1_0.mzML:fwhm,datafile:NEG_liver1_0.mzML:tailing_factor,datafile:NEG_liver1_0.mzML:asymmetry_factor,datafile:NEG_liver1_0.mzML:fragment_scans,datafile:NEG_liver1_0.mzML:rt_ms2_apex_distance,datafile:NEG_liver1_1.mzML:feature_state,datafile:NEG_liver1_1.mzML:mz,datafile:NEG_liver1_1.mzML:mz_range:min,datafile:NEG_liver1_1.mzML:mz_range:max,datafile:NEG_liver1_1.mzML:rt,datafile:NEG_liver1_1.mzML:rt_range:min,datafile:NEG_liver1_1.mzML:rt_range:max,datafile:NEG_liver1_1.mzML:height,datafile:NEG_liver1_1.mzML:area,datafile:NEG_liver1_1.mzML:intensity_range:min,datafile:NEG_liver1_1.mzML:intensity_range:max,datafile:NEG_liver1_1.mzML:fwhm,datafile:NEG_liver1_1.mzML:tailing_factor,datafile:NEG_liver1_1.mzML:asymmetry_factor,datafile:NEG_liver1_1.mzML:fragment_scans,datafile:NEG_liver1_1.mzML:rt_ms2_apex_distance,datafile:NEG_liver1_2.mzML:feature_state,datafile:NEG_liver1_2.mzML:mz,datafile:NEG_liver1_2.mzML:mz_range:min,datafile:NEG_liver1_2.mzML:mz_range:max,datafile:NEG_liver1_2.mzML:rt,datafile:NEG_liver1_2.mzML:rt_range:min,datafile:NEG_liver1_2.mzML:rt_range:max,datafile:NEG_liver1_2.mzML:height,datafile:NEG_liver1_2.mzML:area,datafile:NEG_liver1_2.mzML:intensity_range:min,datafile:NEG_liver1_2.mzML:intensity_range:max,datafile:NEG_liver1_2.mzML:fwhm,datafile:NEG_liver1_2.mzML:tailing_factor,datafile:NEG_liver1_2.mzML:asymmetry_factor,datafile:NEG_liver1_2.mzML:fragment_scans,datafile:NEG_liver1_2.mzML:rt_ms2_apex_distance,datafile:NEG_liver1_3.mzML:feature_state,datafile:NEG_liver1_3.mzML:mz,datafile:NEG_liver1_3.mzML:mz_range:min,datafile:NEG_liver1_3.mzML:mz_range:max,datafile:NEG_liver1_3.mzML:rt,datafile:NEG_liver1_3.mzML:rt_range:min,datafile:NEG_liver1_3.mzML:rt_range:max,datafile:NEG_liver1_3.mzML:height,datafile:NEG_liver1_3.mzML:area,datafile:NEG_liver1_3.mzML:intensity_range:min,datafile:NEG_liver1_3.mzML:intensity_range:max,datafile:NEG_liver1_3.mzML:fwhm,datafile:NEG_liver1_3.mzML:tailing_factor,datafile:NEG_liver1_3.mzML:asymmetry_factor,datafile:NEG_liver1_3.mzML:fragment_scans,datafile:NEG_liver1_3.mzML:rt_ms2_apex_distance
28580,19.5515,19.5356,19.5995,1665.89206,1665.88855,1665.89819,5.64E4,2.595E3,2.503E4,5.64E4,0,0.25,1,4,1,0,0,0,0,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,DETECTED,1665.89206,1665.88855,1665.89819,19.5515,19.5356,19.5995,5.64E4,2.595E3,2.503E4,5.64E4,0.0599,2.0127,3.0253,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,
28581,19.5515,19.4873,19.5995,1666.89631,1666.8938,1666.90039,5.216E4,3.963E3,2.457E4,5.216E4,0,0.25,1,4,1,0,0,0,0,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,DETECTED,1666.89631,1666.8938,1666.90039,19.5515,19.4873,19.5995,5.216E4,3.963E3,2.457E4,5.216E4,0.0796,0.8744,0.7488,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,
28582,19.5551,19.4267,19.6995,362.49815,362.49753,362.49863,3.452E4,5.762E3,1.492E4,3.452E4,0,0.25,1,1,1,0,0,0,0,,,,,,,,,,,,,DETECTED,362.49815,362.49753,362.49863,19.5551,19.4267,19.6995,3.452E4,5.762E3,1.492E4,3.452E4,0.2214,1.0626,1.1253,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,
28583,19.5551,19.4749,19.5709,558.49906,558.49829,558.49976,4.207E4,2.857E3,1.297E4,4.207E4,0,0.25,1,1,1,0,0,0,0,,,,,,,,,,,,,DETECTED,558.49906,558.49829,558.49976,19.5551,19.4749,19.5709,4.207E4,2.857E3,1.297E4,4.207E4,0.078,0.5989,0.1979,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,
28584,19.5551,19.443,19.6193,694.63543,694.63525,694.63556,1.492E6,1.567E5,6.286E4,1.492E6,0,0.25,1,3,1,0,0,0,0,,,,,,,,,,,,,DETECTED,694.63543,694.63525,694.63556,19.5551,19.443,19.6193,1.492E6,1.567E5,6.286E4,1.492E6,0.113,0.8186,0.6815,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,
28585,19.5551,19.4267,19.6193,695.63832,695.63318,695.63879,7.458E5,8.035E4,1.175E5,7.458E5,0,0.25,1,3,1,0,0,0,0,,,,,,,,,,,,,DETECTED,695.63832,695.63318,695.63879,19.5551,19.4267,19.6193,7.458E5,8.035E4,1.175E5,7.458E5,0.1063,0.7504,0.3239,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,
28586,19.5551,19.4267,19.6193,696.64105,696.6355,696.64191,2.076E5,2.238E4,3.242E4,2.076E5,0,0.25,1,3,1,0,0,0,0,,,,,,,,,,,,,DETECTED,696.64105,696.6355,696.64191,19.5551,19.4267,19.6193,2.076E5,2.238E4,3.242E4,2.076E5,0.1281,0.7504,0.6238,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,
28587,19.5551,19.4108,19.6193,711.62589,711.62543,711.63226,4.956E5,5.151E4,2.21E4,4.956E5,0,0.25,1,3,1,0,0,0,0,,,,,,,,,,,,,DETECTED,711.62589,711.62543,711.63226,19.5551,19.4108,19.6193,4.956E5,5.151E4,2.21E4,4.956E5,0.1056,0.7861,0.6687,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,
28588,19.5551,19.3785,19.7946,724.9881,724.98486,724.98901,4.955E5,9.873E4,4.169E4,4.955E5,0,0.25,1,3,1,0,0,0,0,,,,,,,,,,,,,DETECTED,724.9881,724.98486,724.98901,19.5551,19.3785,19.7946,4.955E5,9.873E4,4.169E4,4.955E5,0.4113,1.1785,1.4691,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,
28589,19.5551,19.5231,19.6995,725.99155,725.98987,725.99554,8.54E4,8.559E3,2.418E4,8.54E4,0,0.25,1,1,1,0,0,0,0,,,,,,,,,,,,,DETECTED,725.99155,725.98987,725.99554,19.5551,19.5231,19.6995,8.54E4,8.559E3,2.418E4,8.54E4,0.1426,2.7581,4.5161,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,
28590,19.5551,19.4589,19.6193,739.64714,739.64606,739.64941,9.09E4,6.761E3,2.421E4,9.09E4,0,0.25,1,3,1,0,0,0,0,,,,,,,,,,,,,DETECTED,739.64714,739.64606,739.64941,19.5551,19.4589,19.6193,9.09E4,6.761E3,2.421E4,9.09E4,0.1531,0.8341,0.6683,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,
28591,19.5551,19.4749,19.6354,797.6161,797.61511,797.6217,7.604E4,5.754E3,1.295E4,7.604E4,0,0.25,1,1,1,0,0,0,0,,,,,,,,,,,,,DETECTED,797.6161,797.61511,797.6217,19.5551,19.4749,19.6354,7.604E4,5.754E3,1.295E4,7.604E4,0.0747,1.0011,0.6317,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,
28592,19.5551,19.443,19.6193,809.61593,809.612,809.61676,2.398E5,2.438E4,2.78E4,2.398E5,0,0.25,1,3,1,0,0,0,0,,,,,,,,,,,,,DETECTED,809.61593,809.612,809.61676,19.5551,19.443,19.6193,2.398E5,2.438E4,2.78E4,2.398E5,0.1041,0.7867,0.645,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,
