name,IN6,IN2,HFOA6,HFOA3,IN5,IN3,HG2,HG1,HG5,HFOA1,IN1,HFOA4,HG6,HFOA2,HFOA5,HG3,IN4,HG4
group,HG_Inhibitor,HG_Inhibitor,HF_OA,HF_OA,HG_Inhibitor,HG_Inhibitor,HG,HG,HG,HF_OA,HG_Inhibitor,HF_OA,HG,HF_OA,HF_OA,HG,HG_Inhibitor,HG
"PE(14:0_22:6(4,7,10,13,16,19))",35850,49210,50950,51470,47590,46630,74890,102400,77110,37900,36180,35686,85490,39840,35740,81760,38660,94440
PE(16:0_16:1(9)),0,0,0,0,0,0,0,0,0,0,0,0,0,6034,3584,0,0,6847
PE(16:0_18:1(9)),2743000,2685000,3207000,3056000,2806000,2828000,3531000,3768400,1474000,3029000,2824000,2996000,3578000,3180000,3151000,3708000,2661000,3496000
"PE(16:0_20:3(8,11,14))",386600,391500,276300,261000,385000,373900,376800,438300,226000,265700,399100,273100,371700,288700,274600,419900,381400,434200
"PE(16:0_20:4(5,8,11,14))",2027000,2024000,1328890,1304000,2032009,1970000,1641907,2053000,1663000,1286000,1972000,1305000,1733000,1301000,1291000,1938746,1907000,1920000
"PE(16:0_20:5(5,8,11,14,17))",526100,530300,219900,227600,544300,553300,385700,552000,417800,226200,545700,228900,425100,234100,214900,496000,500400,490500
PE(16:1(11)_16:1(11)),82440,79230,121000,139000,82110,79680,328700,422300,332700,131600,75710,118000,357100,125400,125000,365500,74360,368900
PE(16:1(9)_18:1(9)),1771400,1712900,3220000,3112000,1800100,1810800,3011000,4490700,3760200,3169000,1826800,3177000,3925000,3188700,3021100,4173400,1698700,3314000
"PE(16:1(9)_18:2(9,12))",59760,58670,219300,203500,62960,59350,167700,213000,162200,211900,60630,213900,179300,214300,210700,180300,59380,188600
"PE(16:1(9)_20:4(5,8,11,14))",133500,123700,240500,236900,132400,125300,315700,419700,320900,236800,129800,222600,366900,236900,225600,364100,122000,386600
"PE(16:1(9)_20:5(5,8,11,14,17))",72970,71260,106500,105800,76290,72970,84460,122600,90450,102900,68650,103700,104200,102700,100700,101400,70810,114200
"PE(16:1(9)_22:6(4,7,10,13,16,19))",82760,130100,274900,283300,134100,132000,291400,408100,291900,263400,153100,281400,347900,272600,278600,343100,150300,372800
PE(18:0_16:1(9)),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167180
PE(18:0_18:1(9)),2559000,2480000,1697000,1674000,2590000,2588000,1865000,1563000,1755000,1598000,2596000,1670000,1824000,1694000,1701000,1681300,2387000,1683640
"PE(18:0_18:2(9,12))",0,0,0,0,0,0,0,158860,157800,0,0,0,0,0,0,0,0,0
"PE(18:0_18:3(9,12,15))",127600,91660,92850,88760,87860,88430,122700,85710,126400,98110,121100,117800,113300,121200,128000,110200,113200,127800
PE(18:0_20:1(11)),26940,19880,38460,0,0,0,31740,0,30840,56030,25870,27260,42310,44060,60180,0,29730,67000
"PE(18:0_20:2(11,14))",47310,47100,49290,31220,42940,44360,51880,32480,58520,83290,35120,45610,46620,46150,52460,38830,44630,82630
"PE(18:0_20:3(8,11,14))",1265000,1247100,1027100,980500,1282600,1322700,1180400,832040,1169600,1004800,1317300,1031200,1170200,1059700,1019000,1013100,1196100,1257600
"PE(18:0_20:4(5,8,11,14))",1553000,1039000,1133000,1097000,1088000,1079000,1521000,1072000,1559000,1607978,1139000,1175000,1141000,1130000,1638000,1201000,1142000,1601000
"PE(18:0_20:5(5,8,11,14,17))",839000,806300,330200,308900,854700,858800,472500,662600,512500,317400,812100,327400,522800,323900,309400,590900,803700,644100
"PE(18:0_22:2(13,16))",0,0,2897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PE(18:0_22:4(7,10,13,16))",21170,24100,38070,31290,31110,29550,23740,30230,25100,23070,25280,26100,26830,30690,24610,27680,31490,19590
"PE(18:0_22:6(4,7,10,12,16,19)(14OH))",552500,334200,346200,355500,355000,335200,516500,333000,568100,546000,373600,376800,380800,388900,571200,388500,407100,549800
PE(18:1(9)_18:1(9)),3620600,3574200,8610000,7981000,3674600,3722300,6233600,6147300,5555300,8257000,3692800,8336000,6324900,8367000,8180000,6560800,3441000,6235500
"PE(18:1(9)_18:2(9,12))",1081000,1034600,3504000,3458000,1077700,1135600,1355000,1810000,1891600,4147000,1186300,4110700,1575000,4027800,3241000,1733000,1031300,1716000
"PE(18:1(9)_18:3(9,12,15))",28770,48780,57360,57320,55130,45160,30570,50050,33090,29160,51590,55734,48290,52600,32750,50360,60340,31230
PE(18:1(9)_20:1(11)),223500,216100,636400,598900,228200,234700,496500,477050,443200,601800,240600,608800,500000,629000,603400,402100,218300,457300
"PE(18:1(9)_20:3(8,11,14))",311400,302100,778000,752200,305400,265700,510000,604800,473700,791200,301300,776700,567500,775100,743600,645900,263400,657700
"PE(18:1(9)_20:4(5,8,11,14))",2510000,2380000,4522000,4509000,2387000,2549000,3630000,4983000,3896000,4634000,2463000,4464000,4091000,4640000,4202000,4648000,2342000,4802000
"PE(18:1(9)_20:5(5,8,11,14,17))",492600,495200,709800,685800,482300,478000,782200,1036000,792100,689500,472300,668900,823600,675800,668500,958900,464700,984500
"PE(18:1(9)_22:6(4,7,10,13,16,19))",272500,789900,866700,816000,826300,807800,270600,762900,270300,273300,557300,591500,559800,553300,277900,586200,614000,275800
"PE(18:2(9,12)_18:2(9,12))",130700,0,229000,123500,111100,120200,182900,243100,173300,114500,118300,122200,251200,207800,118700,232590,120200,216300
"PE(18:2(9,12)_22:6(4,7,10,13,16,19))",0,14080,18390,17760,0,0,0,15110,0,0,8858,0,2486,9989,0,0,0,0
PE(20:0_18:1(13)),0,0,0,0,0,0,0,0,0,0,0,4901,0,0,0,0,7092,0
"PE(20:0_20:4(5,8,11,14))",31060,14890,18030,15620,15930,15170,33230,15480,31490,28980,17270,18100,19220,17570,32350,18720,19010,34310
"PE(20:0_22:6(4,7,10,13,16,19))",9504,0,0,0,4550,0,9730,0,10080,8334,6124,6321,6477,0,9153,6620,0,9261
"PE(20:1(11)_20:4(5,8,11,14))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305000
"PE(20:1(11)_22:6(4,7,10,13,16,19))",12480,40360,45480,45370,46580,45160,13520,43900,12130,12090,32030,31180,31120,33780,10070,29280,35030,13460
"PE(20:3(8,11,14)_20:3(8,11,14))",135660,130450,28410,20070,148090,24580,20390,0,147010,17080,21490,26030,25250,23820,30700,21700,132950,236010
"PE(20:4(5,8,11,14)_20:4(5,8,11,14))",0,0,0,0,15330,0,0,0,0,0,0,0,0,0,0,0,0,0
"PE(22:0_20:4(5,8,11,14))",12830,0,0,0,5920,0,12910,6520,9567,12110,10150,9863,8022,0,12120,7740,8361,13770
"PE(22:1(11)_20:4(5,8,11,14))",0,0,0,0,0,1466,1456,0,0,0,0,0,0,0,0,0,0,2591
"PE(22:2(13,16)_22:2(13,16))",17050,16620,0,0,17480,17410,16170,17660,12030,8653,18250,8238,14630,0,9042,15460,15850,13760
PE(24:0_18:1(9)),11190,11480,13940,13600,13160,12390,8462,13300,9608,9995,10510,12230,11250,9839,9139,12110,11230,9167
PG(14:0_18:1(9)),41858,57690,62270,61544,61340,59910,67415,57460,84773,58720,78010,72390,75567,76285,81248,70920,75640,73221
PG(16:0_16:1(9)),90983,23130,23030,25240,25320,23980,97000,24950,83320,98200,61490,55480,56130,61133.6,94366,58880,57610,86330
PG(16:0_18:1(11)),760400,292560,297500,298700,294600,302300,786500,299610,774400,781100,519200,503100,479700,511800,829800,505800,494000,803800
"PG(16:0_18:2(9,12))",25300,0,0,0,0,0,22856,0,27400,27160,7543,8951,7966,4556,26070,5967,6523,29420
"PG(16:0_22:6(4,7,10,13,16,19))",129300,0,0,0,0,0,123500,0,124970,130365,0,0,0,29170,137200,0,31730,132700
PG(16:1(9)_16:1(9)),0,0,0,0,0,961.9,0,0,0,0,972.1,0,0,0,0,0,0,0
PG(16:1(9)_18:1(9)),122480,189650,186160,196990,223919,205168,121304,222236,113166,119824,285275,281887,284099,290437,123715,295580,288780,135565
"PG(16:1(9)_22:6(4,7,10,13,16,19))",8984,14860,11940,15870,12850,14060,10750,11910,12740,11910,22170,22310,22670,21190,12060,20740,24760,11890
PG(18:0_18:1(9)),246000,61169,63745,55433,54150,52760,240400,61805,240600,243900,118790,116530,118180,124770,246200,116650,112230,242610
"PG(18:0_22:6(4,7,10,13,16,19))",48070,0,0,0,0,0,45810,0,44270,45940,9128,10120,6741,5747,49090,0,0,49770
PG(18:1(9)_18:1(9)),481700,727000,752500,761600,759600,746400,494200,713700,461700,465100,716300,696500,691400,720600,517800,711900,696800,522700
"PG(18:1(9)_18:2(9,12))",77826,108300,155040,162430,113300,115700,78100,107200,75653,77450,112122,101818,101350,106550,83344,109200,107663,81830
"PG(18:1(9)_20:2(11,14))",25600,37470,46240,41650,45220,42620,27770,40560,27420,26780,37200,36490,33750,37780,30520,36150,38010,30150
"PG(18:1(9)_20:3(8,11,14))",30326,47490,48373,46080,37490,50750,14198,49317,25905,16220,35119,31466,29632,16592,25134,27130,39710,24420
"PG(18:1(9)_22:6(4,7,10,13,16,19))",263000,248500,254900,256600,245700,255476,254907,252100,262168,259635,232600,226400,229900,224400,266416,226900,225400,271100
PS(16:0_16:1(9)),248300,350300,441420,395590,297300,390300,273900,298300,260600,265900,646560,507130,554000,595900,246178,611100,467800,288380
PS(16:0_18:1(9)),358700,596660,517500,665200,478200,489400,343000,524500,535680,354000,557100,490080,642200,357230,340180,551440,523300,321100
"PS(16:0_22:6(4,7,10,13,16,19))",80160,113200,110500,147100,119400,122800,69160,122800,91210,83090,145700,114300,90370,189300,62210,105800,119700,89120
PS(16:1(9)_18:1(9)),128600,353700,530470,396900,424000,387900,173160,357000,168030,156100,316500,308200,367600,411200,180270,341300,389100,111400
PS(18:0_18:1(9)),582500,339400,724800,363800,400800,348700,575000,363700,314700,331800,321000,0,282900,311800,307200,304400,301600,234600
"PS(18:0_18:2(9,12))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219700
