name,IN6,IN2,HFOA6,HFOA3,IN5,IN3,HG2,HG1,HG5,HFOA1,IN1,HFOA4,HG6,HFOA2,HFOA5,HG3,IN4,HG4
group,HG_Inhibitor,HG_Inhibitor,HF_OA,HF_OA,HG_Inhibitor,HG_Inhibitor,HG,HG,HG,HF_OA,HG_Inhibitor,HF_OA,HG,HF_OA,HF_OA,HG,HG_Inhibitor,HG
TG(16:0_18:0_18:1(9)),8624000,7952820,4059000,4384000,8497000,8624000,6960000,9988000,7471000,3920000,8834000,4170460,7330000,4200000,4093000,9017000,8332000,10230000
"TG(16:0_18:0_20:3(8,11,14))",26090,28600,28780,0,23010,0,0,48360,14910,10930,0,0,0,0,0,0,19180,24260
"TG(16:0_18:0_22:4(7,10,13,16))",10700,0,0,0,12330,0,0,0,0,0,9684,0,0,0,0,0,9494,0
"TG(16:0_18:0_22:6(4,7,10,13,16,19))",81770,79320,22490,19090,83140,85050,30490,54130,35710,21330,82070,0,36360,24020,18230,51150,77150,56840
TG(16:0_18:1(9)_18:1(9)),6318850,6045000,21300000,21300000,6195000,6303930,14539620,18732490,14588350,22560000,6296770,22020000,14600330,23370000,22040000,19050100,6069460,19740000
"TG(16:0_18:1(9)_18:2(9,12))",2371000,2295000,425581,207800,2269000,2410870,120800,202218,136100,304900,2316000,252700,120200,279400,234948,175300,2296000,173400
TG(16:0_18:1(9)_20:1(11)),103600,87420,222100,240800,103600,93990,157500,208900,172900,206200,92980,225600,167700,226000,209500,202200,96530,215800
"TG(16:0_18:1(9)_20:4(5,8,11,14))",100500,0,47260,0,0,0,57980,0,0,46660,0,111900,0,0,60360,0,0,0
"TG(16:0_18:1(9)_22:5(7,10,13,16,19))",86940,72930,39860,0,71790,86550,52570,85800,0,45850,0,59100,56540,49510,48160,96070,69300,92040
"TG(16:0_18:2(9,12)_18:2(9,12))",1679330,1632686,3149000,3099000,1527000,1560000,1875000,2764630,1940000,3286210,1674890,3211570,2077820,3352000,2993000,2570000,1520880,2609960
"TG(16:0_18:2(9,12)_18:3(9,12,15))",334900,289800,547400,532300,342700,347000,329200,540460,351300,539430,354500,542000,368800,577100,534500,519600,332600,325100
"TG(16:0_18:3(9,12,15)_18:3(9,12,15))",13990,17702,63650,32510,11420,20430,18400,50850,29850,27430,18060,66470,30797,68710,58450,54690,0,37470
TG(16:0_20:1(11)_20:1(11)),0,0,0,0,14150,22270,0,0,0,0,0,0,0,0,0,0,0,0
TG(16:1(9)_16:1(9)_18:1(9)),443700,449656,2885000,2889000,313100,284900,1622000,2210100,1661000,3055000,369200,2912000,1648000,3100000,2817000,1900000,285000,1914000
"TG(16:1(9)_16:1(9)_18:2(9,12))",27290,11200,3571,0,14240,0,15840,18370,0,4102,15250,0,0,4117,0,0,14020,0
TG(16:1(9)_18:1(9)_18:1(9)),0,0,11800000,10980000,0,0,3286000,5329800,5782000,11910000,0,7358000,3637000,8181000,6376000,4608000,0,4890000
"TG(16:1(9)_18:1(9)_18:2(9,12))",87300,96480,162600,161100,84990,77610,109700,90520,101800,144600,94280,166200,113900,173200,162800,141400,83440,100200
"TG(16:1(9)_18:1(9)_22:5(7,10,13,16,19))",29890,33170,285100,268300,27990,30270,71210,97070,100500,293700,31750,271100,106800,294300,264800,96430,31620,160300
"TG(16:1(9)_18:1(9)_22:6(4,7,10,13,16,19))",0,0,132600,129500,0,6108,33360,72391,29370,130360,0,124850,33450,138362,97970,67690,0,58653
"TG(16:1(9)_20:2(11,14)_22:5(7,10,13,16,19))",24340,21150,323600,330300,25750,21310,73100,119300,69800,325600,26870,359100,79180,385300,311900,114200,22420,60180
"TG(16:1(9)_22:1(11)_22:2(13,16))",0,0,0,0,0,5123,0,0,0,0,0,0,0,0,16680,15080,0,0
TG(18:0_18:0_18:1(9)),2547160,2440000,0,0,2452000,2401000,1744000,2551110,1910000,0,2520000,991900,1828830,944400,1018000,2284000,2456000,2515050
"TG(18:0_18:0_18:2(9,12))",0,0,5128,0,0,0,0,0,0,0,0,16360,0,0,0,0,0,0
"TG(18:0_18:0_22:6(4,7,10,13,16,19))",14550,14660,0,0,14840,15250,0,0,0,0,14940,1341,0,0,0,8409,15300,0
TG(18:0_18:1(9)_18:1(9)),2696000,2588000,6174000,6390460,2741000,2847000,4580000,6621000,4937000,6047000,2958000,6179000,4934000,6443000,5960000,6040000,2729000,6617000
"TG(18:0_18:1(9)_18:2(9,12))",0,11830,0,0,0,0,0,0,0,0,12560,0,17600,0,0,0,10870,0
"TG(18:0_18:2(9,12)_18:2(9,12))",11850,133920,84380,69880,179030,25970,80480,111100,79310,115250,68410,13000,80760,47300,92710,79000,0,0
TG(18:1(6)_18:1(9)_18:1(6)),1803000,1808000,19050000,18700000,1771000,1783000,6894000,8824000,6755000,20180000,1825000,19410000,7041000,20540000,18990000,9341000,1730000,9431000
"TG(18:1(9)_18:1(9)_18:2(9,12))",1045000,1118000,6074000,5727000,1050000,1113000,1402000,3381500,1333000,4551000,1105000,6249000,1538000,6373000,5757000,1943000,1155000,1866000
"TG(18:1(9)_18:1(9)_18:3(9,12,15))",0,0,0,0,0,0,0,0,0,23330,0,0,0,0,0,0,0,253300
TG(18:1(9)_18:1(9)_20:0),715000,723600,1530000,1502000,741500,720300,1178000,1745000,1243000,1478000,754100,1575000,1267000,1526000,1568000,1581000,729200,1735000
TG(18:1(9)_18:1(9)_20:1(11)),421660,421200,4044000,4086562,397830,446770,1594000,2339000,1696000,4000000,555220,3991000,1735000,4237480,3901000,2261760,412067,2400080
"TG(18:1(9)_18:1(9)_20:2(11,14))",236700,262600,1499000,1510000,254000,280600,553200,446900,529100,1529000,272000,1532000,375200,1626000,1547000,829000,266300,734000
"TG(18:1(9)_18:1(9)_20:3(8,11,14))",311400,306100,1065000,595600,299410,308000,370500,577600,395600,1065000,253200,678700,405500,1135000,473700,561400,249200,583600
"TG(18:1(9)_18:1(9)_20:4(5,8,11,14))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168000
