row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,neg_FRN5_O3.mzML Peak area,neg_FRN4_O3.mzML Peak area,neg_FRN3_O3.mzML Peak area,neg_FRN2_O3.mzML Peak area,neg_FRN1_O3.mzML Peak area,neg_HFO1_O3.mzML Peak area,neg_HFO3_O3.mzML Peak area,neg_HFO2_O3.mzML Peak area,neg_HFO5_O3.mzML Peak area,neg_HFO4_O3.mzML Peak area,
49,484.09978695910434,0.06310876,,,,,,,,,,,143794.48,239202.3,148763.84,141206.19,126991.8,138554.67,126243.91,98626.164,102568.54,248697.19,
50,269.90626778900315,0.06407093,,,,,,,,,,,0,0,0,0,0,0,0,0,2082.4126,0,
51,304.8860095034121,0.06407093,,,,,,,,,,,0,0,0,0,0,0,0,0,3278.1182,0,
52,369.87067033532145,0.064101435,,,,,,,,,,,0,3703.6313,0,0,0,4003.893,0,0,6611.745,0,
53,435.8243875730096,0.064333014,,,,,,,,,,,0,5532.383,0,0,0,0,0,0,0,0,
54,622.0438899179278,0.064333014,,,,,,,,,,,0,4295.859,0,0,0,0,0,0,0,0,
55,213.91640816293142,0.06438801,,,,,,,,,,,0,0,0,0,0,9673.447,0,5533.3984,5311.0596,6020.5303,
56,241.89890371329244,0.06442665,,,,,,,,,,,0,101082.28,121489.1,90067.4,114012.81,51007.27,78684.89,100665.07,106463.8,0,
57,241.9115022627631,0.06447233,,,,,,,,,,,3358.6074,4201.3125,8179.854,4261.4277,7523.1675,6174.362,6642.6953,0,0,10830.623,
58,257.89368693944124,0.064535454,,,,,,,,,,,272421.7,187378.75,297775.97,243424.67,199656.1,119867.15,188809.14,197128.64,250593.44,247386.48,
59,439.81596237694373,0.06452142,,,,,,,,,,,3065.9841,0,0,0,0,0,0,0,0,0,
60,337.9071925085179,0.06454961,,,,,,,,,,,208497.97,148865.86,269179.0,140998.28,160158.14,94991.734,154974.56,174943.33,283323.97,163896.45,
61,607.0621955855611,0.06452961,,,,,,,,,,,8760.686,15819.177,24466.773,22045.418,19512.656,13999.305,11104.109,22073.912,9537.876,29455.188,
62,273.8831960173282,0.06457711,,,,,,,,,,,588717.5,381561.8,359454.28,371621.84,306123.97,259017.69,351483.84,271152.16,314931.44,532023.6,
63,563.0784228255344,0.064682774,,,,,,,,,,,52601.004,0,0,40724.883,68003.91,0,55207.695,50730.395,0,0,
64,582.1919014555245,0.065350585,,,,,,,,,,,0,0,0,0,0,0,0,5058.06,0,0,
65,562.0770506695316,0.06597397,,,,,,,,,,,210572.22,260070.36,165592.69,179141.4,203145.97,194731.77,157492.97,162652.27,119344.125,241004.42,
66,417.9800850101098,0.066024594,,,,,,,,,,,260617.53,148956.0,247674.22,119631.24,150400.94,154122.89,148514.8,150042.03,109815.766,181495.97,
67,338.88360684530795,0.06718361,,,,,,,,,,,0,0,0,6691.465,4273.865,10471.708,0,11523.745,9109.86,6336.4375,
68,303.8865402551332,0.06756209,,,,,,,,,,,387237.44,473189.5,766192.5,414697.28,358209.16,213724.78,393838.78,386547.3,282299.4,331731.97,
69,274.88303298105325,0.06765563,,,,,,,,,,,8445.279,22114.244,13194.073,7121.615,13728.156,12602.929,15096.669,25735.365,20028.266,14043.344,
70,571.1860623187517,0.0676698,,,,,,,,,,,1093745.4,981159.75,971279.6,1179043.2,968950.56,868377.7,1064869.2,852555.6,1281331.5,1522010.4,
71,418.9808768983895,0.0678471,,,,,,,,,,,33321.504,23474.805,23659.791,0,22629.025,16490.988,25824.785,21907.27,30226.47,23230.053,
72,258.9010878341747,0.0681403,,,,,,,,,,,0,86314.91,0,0,135167.22,79770.98,0,0,102595.484,0,
