work_dir,rt_weight,precursor_mz_weight,spec_weight,spec_sim_type,feature_id,top1_score,top2_avg_score,top3_avg_score,top1_gap,top1_margin,top2_margin,top3_margin,H_norm
example/hyperparams_opt/Hela/spec_similarity_type_None,0.0,0.0,1.0,None,N10193,0.1894721735389509,,,,,,,
example/hyperparams_opt/Hela/spec_similarity_type_None,0.0,0.0,1.0,None,N10231,0.7271674301280213,0.5102233993222417,,0.4338880616115592,,,,0.8653427275591641
example/hyperparams_opt/Hela/spec_similarity_type_None,0.0,0.0,1.0,None,N10325,0.27522079084232876,0.27522079084232876,0.25687273811950684,0.0,0.0901199253105151,0.10181184769119822,0.09481254779240314,0.9865013848753738
example/hyperparams_opt/Hela/spec_similarity_type_None,0.0,0.0,1.0,None,N10448,0.5134424271658593,0.4810389478087902,0.46379288350396464,0.06480695871413827,0.08414167227154584,,0.09481254779240314,0.997295863629908
example/hyperparams_opt/Hela/spec_similarity_type_None,0.0,0.0,1.0,None,N10713,0.24486764816758233,0.21425919214663453,0.46379288350396464,0.06121691204189558,,,0.09481254779240314,0.9852281360342514
example/hyperparams_opt/Hela/spec_similarity_type_None,0.0,0.0,1.0,None,N10743,0.04437361435875564,0.03242564866140127,0.027139697378062298,0.023895931394708744,0.02780581954737128,,0.09481254779240314,0.9119982764448817
example/hyperparams_opt/Hela/spec_similarity_type_None,0.0,0.0,1.0,None,N10813,0.03706271236898173,0.03571860663407625,0.0352486409942897,0.002688211469810957,0.0027540026542651544,,0.09481254779240314,0.9994019785723922
example/hyperparams_opt/Hela/spec_similarity_type_None,0.0,0.0,1.0,None,N10937,0.3808299022372236,0.3570280333473972,0.3367523672560635,0.04760373777965293,0.1099786829797334,0.09462675269520898,0.083722560912882,0.9927562293133836
example/hyperparams_opt/Hela/spec_similarity_type_None,0.0,0.0,1.0,None,N10951,0.42685311616864,0.4021405440616054,0.38910460279573816,0.04942514421406935,0.06382039590463617,,0.083722560912882,0.9977813852628554
example/hyperparams_opt/Hela/spec_similarity_type_None,0.0,0.0,1.0,None,N10978,0.15950599600580975,0.4021405440616054,0.38910460279573816,0.04942514421406935,0.06382039590463617,,0.083722560912882,0.9977813852628554
example/hyperparams_opt/Hela/spec_similarity_type_None,0.0,0.0,1.0,None,N11103,0.6185210301452982,0.5752149952853589,0.38910460279573816,0.08661206971987878,,,0.083722560912882,0.9959074688328455
example/hyperparams_opt/Hela/spec_similarity_type_None,0.0,0.0,1.0,None,N11463,0.3106169531761009,0.25308873359824857,0.38910460279573816,0.11505643915570468,,,0.083722560912882,0.9624021165368721
example/hyperparams_opt/Hela/spec_similarity_type_None,0.0,0.0,1.0,None,N11510,0.28690553869224894,0.28690553869224894,0.38910460279573816,0.0,,,0.083722560912882,1.0
example/hyperparams_opt/Hela/spec_similarity_type_None,0.0,0.0,1.0,None,N11520,0.4683106340816577,0.4604306012319277,0.4547451489968881,0.01576006569945998,0.15938187008170152,0.19631699740758918,0.20553368096254698,0.9776375580078601
example/hyperparams_opt/Hela/spec_similarity_type_None,0.0,0.0,1.0,None,N11573,0.308737953865856,0.30477585780176153,0.4547451489968881,0.0079241921281889,,0.19631699740758918,0.20553368096254698,0.9998780882250455
example/hyperparams_opt/Hela/spec_similarity_type_None,0.0,0.0,1.0,None,N11618,0.21066681423013586,0.2013838947238522,0.14745456630174564,0.01856583901256731,0.1710709047726034,,0.20553368096254698,0.8479227555754582
example/hyperparams_opt/Hela/spec_similarity_type_None,0.0,0.0,1.0,None,N11812,0.271565675130809,0.23230900257249182,0.21922344505305277,0.07851334511663433,0.17368954330742653,0.16615827014604012,0.1784959556631346,0.8866546151758411
example/hyperparams_opt/Hela/spec_similarity_type_None,0.0,0.0,1.0,None,N11845,0.16917484533462343,0.16139821641740693,0.21922344505305277,0.01555325783443301,,0.16615827014604012,0.1784959556631346,0.9983246791294919
example/hyperparams_opt/Hela/spec_similarity_type_None,0.0,0.0,1.0,None,N12489,0.25149165259431505,0.19964540792550262,0.21922344505305277,0.10369248933762487,,0.16615827014604012,0.1784959556631346,0.9507904001953686
example/hyperparams_opt/Hela/spec_similarity_type_None,0.0,0.0,1.0,None,N12501,0.34485732655021273,0.2996676840205343,0.21922344505305277,0.09037928505935688,,0.16615827014604012,0.1784959556631346,0.9835335293156955
