feature_id,rt,mz_measured,mz_calculated,mz_error(ppm),mol_formula,smiles,adduct,primary_annotated_name,structure_annotated_name,rt_score,mz_score,spec_score,total_score,fragments_ion_detection_level,fragments_spectrum_detection_level,datafile:NEG_liver1_0.mzML:area,datafile:NEG_liver1_1.mzML:area,datafile:NEG_liver1_2.mzML:area,datafile:NEG_liver1_3.mzML:area
30514,14.8327,740.52355,740.52358,0.04051187679660939,C41H76NO8P,CCC=CCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCCC)COP(=O)(O)OCCN,[M-H]-,PE 18:0_18:3,"PE 18:0_18:3(9,12,15)",0.6813999999999991,0.9366824999999892,0.059679876017490724,0.20955215081399142,All,Some,119278.34172801238,84855.75017515763,143554.92980605373,0.0
30514,14.8327,740.52355,740.52358,0.04051187679660939,C41H76NO8P,CCCCCC=CCC=CCC=CCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCCC)COP(=O)(O)OCCN,[M-H]-,PE 18:0_18:3,"PE 18:0_18:3(6,9,12)",0.6226333333333335,0.939694999999991,0.055314425746455766,0.2004843739304971,All,Some,62321.65827198759,54944.24982484236,8345.070193946278,0.0
30524,14.8332,789.58414,789.60149,21.97310949852044,C44H87O9P,CCCCCCCCCCCCCCCCCC(=O)OC(COCCCCCCCCCCC=CCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG O-20:1_18:0,PG O-20:1(11)_18:0,0.47199999999999775,0.9230800000000272,0.3309176550271503,0.4042421240217227,All,Some,,,,0.0
30524,14.8332,789.58414,789.60149,21.97310949852044,C44H87O9P,CCCCCCCCCCCCCCCCCC(=O)OC(COCCCCCCCCCCCCC=CCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG O-20:1_18:0,PG O-20:1(13)_18:0,0.8103999999999978,0.05177000000003318,0.3215233685315817,0.3434356948252685,All,Some,,,,0.0
30525,14.8332,790.58706,790.53923,60.50300628341529,C45H78NO8P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCCC)COP(=O)(O)OCCN,[M-H]-,PE 18:0_22:6,"PE 18:0_22:6(4,7,10,13,16,19)",0.7286399999999993,0.7414410000000089,0.377709292515754,0.44917553401260407,All,Some,329700.0,0.0,0.0,0.0
30577,14.8389,766.53925,766.53923,0.026091293544352183,C43H78NO8P,CCCCCC=CCC=CCC=CCC=CCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCCN,[M-H]-,PE 16:0_22:4,"PE 16:0_22:4(7,10,13,16)",0.7049249999999994,0.8944362500000551,0.03648426903510922,0.18912354022809283,All,Some,0.0,0.0,1156000.0,0.0
30582,14.8389,790.58705,790.53923,60.490356689827436,C45H78NO8P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCCC)COP(=O)(O)OCCN,[M-H]-,PE 18:0_22:6,"PE 18:0_22:6(4,7,10,13,16,19)",0.5734363636363633,0.7580590909091143,0.4497823709344972,0.4929754422021455,All,Some,0.0,0.0,337800.0,0.0
30618,14.8661,753.53974,753.50759,42.66712164107259,C42H75O9P,CCCCCCCCCCCCCCCC(=O)OC(COCCCCC=CCC=CCC=CCC=CCC=CCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG O-20:5_16:0,"PG O-20:5(5,8,11,14,17)_16:0",0.7756799999999998,0.7801410000000033,0.09497761846524974,0.2315641947722001,All,Some,0.0,0.0,0.0,217100.0
30631,14.8826,816.55494,816.55488,0.07347944569531126,C47H80NO8P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OC(COC(=O)CCCCCCCCCCCC=CCCCCCC)COP(=O)(O)OCCN,[M-H]-,PE 20:1_22:6,"PE 20:1(13)_22:6(4,7,10,13,16,19)",0.7564000000000001,0.7919215384615742,0.3075755506892134,0.4008925943975281,All,Some,0.0,0.0,32641.193998285857,33967.193827528885
30631,14.8826,816.55494,816.55488,0.07347944569531126,C47H80NO8P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OC(COC(=O)CCCCCCCCCC=CCCCCCCCC)COP(=O)(O)OCCN,[M-H]-,PE 20:1_22:6,"PE 20:1(11)_22:6(4,7,10,13,16,19)",0.7763818181818177,0.7247927272727669,0.3091258040563806,0.39741809779056303,Some,Some,0.0,0.0,49128.80600171413,37632.80617247112
30784,14.928,790.53906,790.53923,0.21504309156869875,C45H78NO8P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCCC)COP(=O)(O)OCCN,[M-H]-,PE 18:0_22:6,"PE 18:0_22:6(4,7,10,13,16,19)",0.8749600000000012,0.8106649999999945,0.33432114749548125,0.43601941799638466,All,Some,0.0,0.0,0.0,23900000.0
30861,14.933,761.47888,761.57019,119.89702485600351,C42H83O9P,CCCCCCCCCCCCCCCCCC(=O)OC(COCCCCCCCCCCC=CCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG O-18:1_18:0,PG O-18:1(11)_18:0,0.6623999999999999,0.8717549999999505,0.3425743155620112,0.427474952449604,All,Some,0.0,0.0,0.0,0.0
30861,14.933,761.47888,761.57019,119.89702485600351,C42H83O9P,CCCCCCCCCCCCCCCCCC(=O)OC(COCCCCCCCCC=CCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG O-18:1_18:0,PG O-18:1(9)_18:0,0.7152000000000012,0.5223650000000362,0.08402367061055245,0.1909754364884457,All,Some,0.0,161713.9139862667,0.0,0.0
30861,14.933,761.47888,761.57019,119.89702485600351,C42H83O9P,CCCCCCCCCCCCCCCCCC(=O)OC(COCCCCCC=CCCCCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG O-18:1_18:0,PG O-18:1(6)_18:0,0.8566000000000003,0.8351949999999988,0.0,0.16917949999999993,All,None,0.0,119886.08601373328,0.0,0.0
30883,14.9406,790.53895,790.53923,0.35418862132267487,C45H78NO8P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCCC)COP(=O)(O)OCCN,[M-H]-,PE 18:0_22:6,"PE 18:0_22:6(4,7,10,13,16,19)",0.8835000000000004,0.8106050000000437,0.3302614548689517,0.4336196638951658,All,Some,23360000.0,0.0,0.0,0.0
30937,14.9441,766.49432,766.53923,58.5879994686755,C43H78NO8P,CCCCCC=CCC=CCC=CCC=CCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCCN,[M-H]-,PE 16:0_22:4,"PE 16:0_22:4(7,10,13,16)",0.7009142857142854,0.8728571428571935,0.04628412995032679,0.19440444681740934,All,Some,291100.0,258100.0,110100.0,279400.0
30950,14.9447,740.4509,740.52358,98.14677339510402,C41H76NO8P,CCC=CCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCCC)COP(=O)(O)OCCN,[M-H]-,PE 18:0_18:3,"PE 18:0_18:3(9,12,15)",0.6529999999999999,0.7571166666666992,0.21275459419776324,0.31121534202488055,All,Some,0.0,0.0,347053.7991491557,0.0
30950,14.9447,740.4509,740.52358,98.14677339510402,C41H76NO8P,CCCCCC=CCC=CCC=CCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCCC)COP(=O)(O)OCCN,[M-H]-,PE 18:0_18:3,"PE 18:0_18:3(6,9,12)",0.8499666666666646,0.8786900000000818,0.0,0.17286566666667466,All,None,0.0,0.0,74746.2008508444,0.0
30959,14.9447,790.53916,790.53923,0.08854715525876411,C45H78NO8P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCCC)COP(=O)(O)OCCN,[M-H]-,PE 18:0_22:6,"PE 18:0_22:6(4,7,10,13,16,19)",0.8084999999999998,0.8107290000000603,0.3479681682028522,0.4402974345622878,All,Some,0.0,0.0,10500000.0,0.0
