feature_id,rt,mz_measured,mz_calculated,mz_error(ppm),mol_formula,smiles,adduct,primary_annotated_name,structure_annotated_name,rt_score,mz_score,spec_score,total_score,fragments_ion_detection_level,fragments_spectrum_detection_level,fragment_mz_delta,fragment_fatty_acid_pos,fragment_types,datafile:NEG_liver1_0.mzML:area,datafile:NEG_liver1_1.mzML:area,datafile:NEG_liver1_2.mzML:area,datafile:NEG_liver1_3.mzML:area
10873,10.4702,647.2318,647.2252100000001,10.181927245942918,C44H79O10P,CCCCCCCCC=CCC=CCC=CCCCC(=O)OC(COC(=O)CCCCC=CCCCCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 18:1_20:3,"PG 18:1(6)_20:3(5,8,11)",0.9959999999999987,0.9940500000000156,0.0,0.19900500000000143,Some,Some,-150.30859999999996,9,criegee,24.290484140233723,0.0,0.0,0.0
10853,10.4669,607.23657,607.1602100000001,125.76581722953932,C44H79O10P,CCCCCCCCC=CCC=CCC=CCCCC(=O)OC(COC(=O)CCCCC=CCCCCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 18:1_20:3,"PG 18:1(6)_20:3(5,8,11)",0.9893999999999998,0.924280000000067,0.0,0.1913680000000067,Some,Some,-190.37359999999993,12,aldehyde,0.0,2.7015544041450776,0.0,0.0
10934,10.5125,663.38778,663.2246100000001,246.02524927403212,C44H79O10P,CCCCCCCCC=CCC=CCC=CCCCC(=O)OC(COC(=O)CCCCC=CCCCCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 18:1_20:3,"PG 18:1(6)_20:3(5,8,11)",0.9194000000000031,0.837470000000053,0.0,0.17568700000000562,Some,Some,-134.30919999999995,12,criegee,0.0,0.0,0.0,5.095447870778267
10875,10.4702,687.26305,687.29021,39.51751327867853,C44H79O10P,CCCCCCCCC=CCC=CCC=CCCCC(=O)OC(COC(=O)CCCCC=CCCCCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 18:1_20:3,"PG 18:1(6)_20:3(5,8,11)",0.9959999999999987,0.9722000000000435,0.0,0.1968200000000042,Some,Some,-110.24359999999999,15,aldehyde,15.20534223706177,0.0,0.0,0.0
10492,10.3665,703.33091,703.28961,58.724029777687676,C44H79O10P,CCCCCCCCC=CCC=CCC=CCCCC(=O)OC(COC(=O)CCCCC=CCCCCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 18:1_20:3,"PG 18:1(6)_20:3(5,8,11)",0.7885999999999989,0.9593399999999974,0.03917412084763812,0.20613329667811012,Some,Some,-94.24419999999999,15,criegee,1378.964941569282,591.0189982728843,1213.963963963964,1847.6505139500734
10873,10.4702,647.2318,647.2252100000001,10.181927245942918,C44H79O10P,CCCCCCCCC=CCC=CCC=CCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 18:1_20:3,"PG 18:1(9)_20:3(5,8,11)",0.9959999999999987,0.9940500000000156,0.0,0.19900500000000143,Some,Some,-150.30859999999996,9,aldehyde,24.290484140233723,0.0,0.0,0.0
10934,10.5125,663.38778,663.2246100000001,246.02524927403212,C44H79O10P,CCCCCCCCC=CCC=CCC=CCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 18:1_20:3,"PG 18:1(9)_20:3(5,8,11)",0.9194000000000031,0.837470000000053,0.0,0.17568700000000562,Some,Some,-134.30919999999995,9,criegee,0.0,0.0,0.0,5.095447870778267
10875,10.4702,687.26305,687.29021,39.51751327867853,C44H79O10P,CCCCCCCCC=CCC=CCC=CCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 18:1_20:3,"PG 18:1(9)_20:3(5,8,11)",0.9959999999999987,0.9722000000000435,0.0,0.1968200000000042,Some,Some,-110.24359999999999,12,aldehyde,15.20534223706177,0.0,0.0,0.0
10492,10.3665,703.33091,703.28961,58.724029777687676,C44H79O10P,CCCCCCCCC=CCC=CCC=CCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 18:1_20:3,"PG 18:1(9)_20:3(5,8,11)",0.7885999999999989,0.9593399999999974,0.03917412084763812,0.20613329667811012,Some,Some,-94.24419999999999,12,criegee,1378.964941569282,591.0189982728843,1213.963963963964,1847.6505139500734
10875,10.4702,687.26305,687.29021,39.51751327867853,C44H79O10P,CCCCCC=CCC=CCC=CCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 18:1_20:3,"PG 18:1(9)_20:3(8,11,14)",0.9959999999999987,0.9722000000000435,0.0,0.1968200000000042,Some,Some,-110.24359999999999,6,aldehyde,15.20534223706177,0.0,0.0,0.0
