feature_id,rt,mz_measured,mz_calculated,mz_error(ppm),mol_formula,smiles,adduct,primary_annotated_name,structure_annotated_name,rt_score,mz_score,spec_score,total_score,fragments_level,fragments_ms2_spectrum_level,datafile:neg_hela_HG1.mzML:area,datafile:neg_hela_HG2.mzML:area,datafile:neg_hela_HG3.mzML:area,datafile:neg_hela_HG4.mzML:area,datafile:neg_hela_HG5.mzML:area,datafile:neg_hela_HG6.mzML:area,datafile:neg_hela_LG1.mzML:area,datafile:neg_hela_LG2.mzML:area,datafile:neg_hela_LG3.mzML:area,datafile:neg_hela_LG4.mzML:area,datafile:neg_hela_LG5.mzML:area,datafile:neg_hela_LG6.mzML:area,datafile:neg_hela_S1.mzML:area,datafile:neg_hela_S2.mzML:area,datafile:neg_hela_S3.mzML:area,datafile:neg_hela_S4.mzML:area,datafile:neg_hela_S5.mzML:area,datafile:neg_hela_S6.mzML:area
N3586,6.078,855.50288,855.5029,0.023378062,C45H77O13P,CCC=CCC=CCC=CCC=CCC=CCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O,[M-H]-,PI 16:0_20:5,"PI 16:0_20:5(5,8,11,14,17)",0.7074,0.67945,0.143740879,0.253677703,All,Some,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N3591,6.079,807.50399,807.5029,1.349840354,C41H77O13P,CCCCCCCCC=CCCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCC)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O,[M-H]-,PI 6:0_26:1,PI 6:0_26:1(17),0.316,0.86714,0.207852075,0.28459566,All,All,,,,,,,,,4350,,,,,,,,,
N3608,6.094,769.50229,769.50251,0.285899002,C42H75O10P,CCCCCC=CCC=CCC=CCCCCC(=O)OC(COC(=O)CCCCC=CCCCCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 18:1_18:3,"PG 18:1(6)_18:3(6,9,12)",0.6912,0.877602,0,0.1568802,Some,None,0,0,0,0,0,1525.681618,8310.650888,0,0,0,0,0,0,1820,0,0,0,0
N3608,6.094,769.50229,769.50251,0.285899002,C42H75O10P,CCC=CCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCC=CCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 18:1_18:3,"PG 18:1(11)_18:3(9,12,15)",0.7688,0.778088,0,0.1546888,All,Some,0,0,0,0,0,248.6367634,2289.349112,0,0,0,0,0,0,0,0,0,0,0
N3608,6.094,769.50229,769.50251,0.285899002,C42H75O10P,CCC=CCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCC=CCCCCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 18:1_18:3,"PG 18:1(6)_18:3(9,12,15)",0.768333333,0.758011667,0,0.1526345,All,Some,0,0,0,0,0,1525.681618,10600,0,0,0,0,0,0,1820,0,0,0,0
N3628,6.108,907.53149,907.5342,2.986113361,C49H81O13P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OC(COC(=O)CCCCC=CCCCCCCCCCCC)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O,[M-H]-,PI 18:1_22:6,"PI 18:1(6)_22:6(4,7,10,13,16,19)",0.680545455,0.608797273,0.11115354,0.217857105,Some,Some,,0,0,0,0,0,0,0,0,0,0,0,0,2272.36534,0,0,1756.515904,0
N3628,6.108,907.53149,907.5342,2.986113361,C49H81O13P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OC(COC(=O)CCCCCCCCCC=CCCCCCC)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O,[M-H]-,PI 18:1_22:6,"PI 18:1(11)_22:6(4,7,10,13,16,19)",0.639857143,0.704259286,0.080966698,0.199185001,All,Some,,0,0,0,0,0,0,0,0,0,0,0,0,413.8173302,0,0,221.742048,0
N3628,6.108,907.53149,907.5342,2.986113361,C49H81O13P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O,[M-H]-,PI 18:1_22:6,"PI 18:1(9)_22:6(4,7,10,13,16,19)",0.716166667,0.715805,0.061240622,0.192189664,Some,Some,,0,0,0,0,0,0,0,0,0,0,0,0,413.8173302,0,0,221.742048,0
N3652,6.124,745.50228,745.50251,0.308516735,C40H75O10P,CCCCCCCCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCC=CCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 16:1_18:1,PG 16:1(7)_18:1(9),0.928,0.90211,0,0.183011,Some,None,0,171638.2253,131685.3629,142719.3676,124514.5631,140870.098,,154292.2374,110191.6124,130363.8928,137797.5133,183000,176696.247,181147.3988,216848.3106,183235.8855,225481.1607,189370.6441
N3652,6.124,745.50228,745.50251,0.308516735,C40H75O10P,CCCCCCCCCCCC=CCCCCC(=O)OC(COC(=O)CCCCCC=CCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 16:1_18:1,PG 16:1(7)_18:1(6),0.933,0.885345,0,0.1818345,Some,None,0,31680.88737,24157.31856,30640.31621,32242.71845,34064.95098,,31853.88128,17404.19378,32818.0536,21101.24334,0,36651.8765,43926.30058,37575.84472,30382.05723,33259.41966,28314.67793
N3652,6.124,745.50228,745.50251,0.308516735,C40H75O10P,CCCCCCC=CCCCCCCCCCC(=O)OC(COC(=O)CCCCCC=CCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 16:1_18:1,PG 16:1(7)_18:1(11),0.774,0.918966667,0,0.169296667,Some,None,0,31680.88737,24157.31856,30640.31621,32242.71845,34064.95098,,31853.88128,17404.19378,32818.0536,21101.24334,0,36651.8765,43926.30058,37575.84472,30382.05723,33259.41966,28314.67793
N3657,6.125,746.50481,746.51301,10.98440334,C43H74NO7P,CCCCCCCCCC=CCCCCC(=O)OC(COCCCC=CCC=CCC=CCC=CCC=CCC=CCC)COP(=O)(O)OCCN,[M-H]-,PE O-22:6_16:1,"PE O-22:6(4,7,10,13,16,19)_16:1(6)",0.585,0.5953275,0.061613805,0.167323794,Some,Some,0,38688.18106,24218.72899,39601.77991,28859.55882,35320.16306,,31347.51955,16849.15048,32133.33333,29073.2512,24648.99695,36705.23318,39757.07541,39481.74048,39545.93651,38966.49533,35019.7939
N3657,6.125,746.50481,746.51301,10.98440334,C43H74NO7P,CCCCCCCCC=CCCCCCC(=O)OC(COCCCC=CCC=CCC=CCC=CCC=CCC=CCC)COP(=O)(O)OCCN,[M-H]-,PE O-22:6_16:1,"PE O-22:6(4,7,10,13,16,19)_16:1(7)",0.52,0.59630625,0.061613805,0.160921669,Some,Some,0,41623.63789,26862.54201,45796.44019,31280.88235,40339.91847,,31347.51955,18401.69904,32133.33333,30253.4976,26602.0061,41746.52901,42485.84918,40860.01845,41908.12699,45067.00934,37960.4122
N3657,6.125,746.50481,746.51301,10.98440334,C43H74NO7P,CCCCCCC=CCCCCCCCC(=O)OC(COCCCC=CCC=CCC=CCC=CCC=CCC=CCC)COP(=O)(O)OCCN,[M-H]-,PE O-22:6_16:1,"PE O-22:6(4,7,10,13,16,19)_16:1(9)",0.578222222,0.54399,0.054767826,0.156035483,Some,Some,0,38688.18106,24218.72899,39601.77991,28859.55882,40339.91847,,32704.9609,16849.15048,32133.33333,29073.2512,24648.99695,40548.23781,39757.07541,38658.24106,39545.93651,38966.49533,35019.7939
N3665,6.132,748.52011,748.52866,11.42240833,C43H76NO7P,CCCCCCCCCCCC=CCCCCC(=O)OC(COCCCCC=CCC=CCC=CCC=CCC=CCC)COP(=O)(O)OCCN,[M-H]-,PE O-20:5_18:1,"PE O-20:5(5,8,11,14,17)_18:1(6)",0.671333333,0.522226667,0.15226065,0.24116452,Some,Some,,0,4634.01507,5251.363834,3015,0,,,0,0,0,0,0,0,0,0,0,0
N3665,6.132,748.52011,748.52866,11.42240833,C43H76NO7P,CCCCCCCCC=CCCCCCCCC(=O)OC(COCCCCC=CCC=CCC=CCC=CCC=CCC)COP(=O)(O)OCCN,[M-H]-,PE O-20:5_18:1,"PE O-20:5(5,8,11,14,17)_18:1(9)",0.636,0.508788333,0.15226065,0.236287354,Some,Some,,0,3548.977395,1720.0835,1091.76259,0,,,0,0,0,0,0,0,0,0,0,0
N3665,6.132,748.52011,748.52866,11.42240833,C43H76NO7P,CCCCCCC=CCCCCCCCCCC(=O)OC(COCCCCC=CCC=CCC=CCC=CCC=CCC)COP(=O)(O)OCCN,[M-H]-,PE O-20:5_18:1,"PE O-20:5(5,8,11,14,17)_18:1(11)",0.579777778,0.666822222,0.1015071,0.20586568,Some,Some,,0,2317.007535,2818.552666,1923.23741,0,,,0,0,0,0,0,0,0,0,0,0
N3693,6.155,793.5017,793.50251,1.020790722,C44H75O10P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 16:0_22:6,"PG 16:0_22:6(4,7,10,13,16,19)",0.7418,0.845734,0.045525297,0.195173638,Some,Some,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
N3695,6.156,771.51741,771.51816,0.972109328,C42H77O10P,CCCCCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 18:1_18:2,"PG 18:1(9)_18:2(9,12)",0.748,0.90285,0.120578431,0.261547745,Some,Some,0,0,0,0,0,1762.337905,0,0,0,1052.020386,0,0,2146.640076,0,0,0,0,0
N3695,6.156,771.51741,771.51816,0.972109328,C42H77O10P,CCCCCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCC=CCCCCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 18:1_18:2,"PG 18:1(6)_18:2(9,12)",0.817333333,0.776051667,0.060289216,0.207569872,All,Some,0,0,0,0,0,1653.789196,0,0,0,1405.959228,0,0,1753.548079,0,0,0,0,0
N3695,6.156,771.51741,771.51816,0.972109328,C42H77O10P,CCCCCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCC=CCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 18:1_18:2,"PG 18:1(11)_18:2(9,12)",0.751333333,0.785723333,0.060289216,0.201937039,All,Some,0,0,0,0,0,1253.872899,0,0,0,1052.020386,0,0,1389.811844,0,0,0,0,0
N3696,6.157,909.55192,909.54985,2.275851071,C49H83O13P,CCCCCC=CCC=CCC=CCC=CCC=CCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O,[M-H]-,PI 18:1_22:5,"PI 18:1(9)_22:5(4,7,10,13,16)",0.665111111,0.707762222,0.064810956,0.189136098,Some,Some,,9406.937599,4246.385171,0,0,0,,0,0,0,0,5449.33864,0,0,9566.993165,0,0,0
N3696,6.157,909.55192,909.54985,2.275851071,C49H83O13P,CCC=CCC=CCC=CCC=CCC=CCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O,[M-H]-,PI 18:1_22:5,"PI 18:1(9)_22:5(7,10,13,16,19)",0.6464,0.793307,0.04880743,0.183016644,Some,Some,,16705.36594,8279.236059,0,0,0,,0,0,0,0,8920.15539,0,0,17836.36021,0,0,0
N3696,6.157,909.55192,909.54985,2.275851071,C49H83O13P,CCCCCC=CCC=CCC=CCC=CCC=CCCC(=O)OC(COC(=O)CCCCC=CCCCCCCCCCCC)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O,[M-H]-,PI 18:1_22:5,"PI 18:1(6)_22:5(4,7,10,13,16)",0.673777778,0.697883333,0.054322785,0.180624339,Some,Some,,4487.696457,2174.37877,0,0,0,,0,0,0,0,2030.50597,0,0,4896.646627,0,0,0
N3701,6.16,743.48656,743.48686,0.403504105,C40H73O10P,CCCCCCCCC=CCC=CCCCCC(=O)OC(COC(=O)CCCCC=CCCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 16:1_18:2,"PG 16:1(6)_18:2(6,9)",0.7135,0.9038525,0,0.16173525,All,None,3745,0,0,0,0,0,0,0,0,301.8677436,0,0,0,0,0,0,0,0
N3701,6.16,743.48656,743.48686,0.403504105,C40H73O10P,CCCCCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCC=CCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 16:1_18:2,"PG 16:1(7)_18:2(9,12)",0.697333333,0.891586667,0,0.158892,Some,None,0,0,0,0,0,0,0,0,0,436.2645129,0,0,0,0,0,0,0,0
N3701,6.16,743.48656,743.48686,0.403504105,C40H73O10P,CCCCCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCC=CCCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 16:1_18:2,"PG 16:1(6)_18:2(9,12)",0.8835,0.69726,0,0.158076,Some,None,3745,0,0,0,0,0,0,0,0,301.8677436,0,0,0,0,0,0,0,0
N3735,6.185,857.51972,857.51855,1.364401971,C45H79O13P,CCCCCC=CCC=CCC=CCC=CCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCC)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O,[M-H]-,PI 10:0_26:4,"PI 10:0_26:4(11,14,17,20)",0.585,0.7681075,0.152892097,0.257624428,All,Some,,0,0,0,0,4710,0,0,0,0,0,0,0,0,0,0,0,0
N3759,6.208,859.53467,859.5342,0.546807794,C45H81O13P,CCCCCCCCC=CCC=CCC=CCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O,[M-H]-,PI 16:0_20:3,"PI 16:0_20:3(5,8,11)",0.752,0.863028,0.063839315,0.212574252,All,Some,0,0,0,0,46846.31194,48108.86788,0,48394.44097,0,0,0,164998.4802,68124.59807,0,0,0,61440.82333,45830.69361
N3759,6.208,859.53467,859.5342,0.546807794,C45H81O13P,CCC=CCC=CCC=CCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O,[M-H]-,PI 16:0_20:3,"PI 16:0_20:3(11,14,17)",0.794666667,0.903333333,0.028479452,0.192583562,All,Some,0,119500,126350,0,78978.07719,57634.42372,0,140623.3604,361926.7823,319447.3964,546097.8102,351851.0638,101840.836,283996.6555,101553.5055,0,315951.9726,212583.2878
N3759,6.208,859.53467,859.5342,0.546807794,C45H81O13P,CCCCCC=CCC=CCC=CCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O,[M-H]-,PI 16:0_20:3,"PI 16:0_20:3(8,11,14)",0.795,0.908748333,0.019001416,0.185575966,All,Some,0,402500,234650,418000,137175.6109,145256.7084,0,281982.1986,225073.2177,310552.6036,135902.1898,202150.4559,445034.5659,271003.3445,449446.4945,514000,162607.2041,333586.0186
N3773,6.216,771.51801,771.51816,0.194421866,C42H77O10P,CCCCCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 18:1_18:2,"PG 18:1(9)_18:2(9,12)",0.788,0.90345,0.162477998,0.299127398,Some,Some,0,0,0,0,0,0,0,0,0,0,0,2376.665733,0,0,0,0,0,0
N3773,6.216,771.51801,771.51816,0.194421866,C42H77O10P,CCCCCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCC=CCCCCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 18:1_18:2,"PG 18:1(6)_18:2(9,12)",0.78,0.776451667,0.081238999,0.220636366,All,Some,0,0,0,0,0,0,0,0,0,0,0,2051.667134,0,0,0,0,0,0
N3773,6.216,771.51801,771.51816,0.194421866,C42H77O10P,CCCCCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCC=CCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 18:1_18:2,"PG 18:1(11)_18:2(9,12)",0.751333333,0.785923333,0.081238999,0.218716866,All,Some,0,0,0,0,0,0,0,0,0,0,0,2051.667134,0,0,0,0,0,0
N3873,6.271,881.51831,881.51855,0.272257458,C47H79O13P,CCC=CCC=CCC=CCC=CCCCCCCC(=O)OC(COC(=O)CCCCC=CCC=CCCCCCCCC)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O,[M-H]-,PI 18:2_20:4,"PI 18:2(6,9)_20:4(8,11,14,17)",0.733428571,0.79117,0.099168107,0.231794343,Some,Some,40126.98413,0,0,0,0,0,30649.48116,0,0,0,0,0,0,0,0,0,0,0
N3873,6.271,881.51831,881.51855,0.272257458,C47H79O13P,CCC=CCC=CCC=CCC=CCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCC=CCCCCC)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O,[M-H]-,PI 18:2_20:4,"PI 18:2(9,12)_20:4(8,11,14,17)",0.715714286,0.761915714,0.087431395,0.217708116,Some,Some,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N3873,6.271,881.51831,881.51855,0.272257458,C47H79O13P,CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC(COC(=O)CCCCCCCC=CCC=CCCCCC)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O,[M-H]-,PI 18:2_20:4,"PI 18:2(9,12)_20:4(5,8,11,14)",0.621,0.8655125,0.075081614,0.208716541,Some,Some,117873.0159,0,0,0,0,0,22950.51884,0,0,0,0,0,0,0,0,0,0,0
N3887,6.277,747.51815,747.51816,0.013377601,C40H77O10P,CCCCCCC=CCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 16:0_18:1,PG 16:0_18:1(11),0.916,0.96186,0,0.187786,All,None,,39140.58777,25716.56051,,,,,0,123000,,0,145000,57187.37673,68696.30746,0,73587.91582,,142000
N3887,6.277,747.51815,747.51816,0.013377601,C40H77O10P,CCCCCCCCCCCC=CCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 16:0_18:1,PG 16:0_18:1(6),0.82,0.84179,0,0.166179,All,None,,35349.48372,29506.36943,,,,,0,0,,0,0,0,0,0,0,,0
N3887,6.277,747.51815,747.51816,0.013377601,C40H77O10P,CCCCCCCCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 16:0_18:1,PG 16:0_18:1(9),0.711,0.94336,0,0.165436,All,None,,54509.92851,46777.07006,,,,,100000,0,,140000,0,75812.62327,103303.6925,136000,59412.08418,,0
N3891,6.279,748.52167,748.52866,9.338319791,C43H76NO7P,CCCCCCCCCCCCCCCC(=O)OC(COCCCC=CCC=CCC=CCC=CCC=CCC=CCC)COP(=O)(O)OCCN,[M-H]-,PE O-22:6_16:0,"PE O-22:6(4,7,10,13,16,19)_16:0",0.71975,0.601495,0.099190493,0.211476894,Some,Some,0,58700,45900,28000,19800,18400,,34500,,54600,,,54300,66600,57800,55800,58200,60400
N3938,6.305,771.51793,771.51816,0.298113527,C42H77O10P,CCCCCCCCC=CCC=CCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 18:1_18:2,"PG 18:1(9)_18:2(6,9)",0.894,0.86932,0,0.176332,Some,None,,15369.36105,12046.37917,23432.78302,0,23754.60873,0,5353.004981,0,0,2765.815284,1615.065639,21806.24174,21104.16578,28115.45548,18220.97378,14872.76479,17042.20018
N3938,6.305,771.51793,771.51816,0.298113527,C42H77O10P,CCCCCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 18:1_18:2,"PG 18:1(9)_18:2(9,12)",0.782,0.904895,0,0.1686895,Some,Some,,5010.110341,5277.461351,0,0,0,0,5353.004981,0,0,2765.815284,0,7511.327609,7412.96612,6079.0174,6161.048689,0,0
N3938,6.305,771.51793,771.51816,0.298113527,C42H77O10P,CCCCCCCCC=CCC=CCCCCC(=O)OC(COC(=O)CCCCCCCCCC=CCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 18:1_18:2,"PG 18:1(11)_18:2(6,9)",0.744,0.747116,0,0.1491116,Some,None,,53020.52861,29676.15948,40667.21698,63700,42845.39127,0,53693.99004,43200,51100,37168.36943,41684.93436,49382.43065,58782.8681,58605.52712,55617.97753,71627.23521,57157.79982
N3958,6.314,719.48623,719.48686,0.875624052,C38H73O10P,CCCCCCC=CCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 14:0_18:1,PG 14:0_18:1(11),0.733,0.94336,0,0.167636,All,None,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0
N3958,6.314,719.48623,719.48686,0.875624052,C38H73O10P,CCCCCCCCCCCC=CCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 14:0_18:1,PG 14:0_18:1(6),0.859,0.49601,0,0.135501,All,None,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0
N3958,6.314,719.48623,719.48686,0.875624052,C38H73O10P,CCCCCCCCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 14:0_18:1,PG 14:0_18:1(9),0.4,0.943325,0,0.1343325,All,None,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0
N3963,6.314,909.55053,909.54985,0.747622574,C49H83O13P,CCC=CCC=CCC=CCC=CCC=CCCCCCC(=O)OC(COC(=O)CCCCC=CCCCCCCCCCCC)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O,[M-H]-,PI 18:1_22:5,"PI 18:1(6)_22:5(7,10,13,16,19)",0.780888889,0.899095556,0.067953326,0.222361105,Some,Some,0,15050.91543,9982.85801,13938.95503,5255.437921,0,,5848.115188,7775.361011,3488.128857,4671.496815,5120.633115,15550.31776,13920.80222,11817.10491,12568.31665,17119.09199,15302.9562
N3963,6.314,909.55053,909.54985,0.747622574,C49H83O13P,CCC=CCC=CCC=CCC=CCC=CCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O,[M-H]-,PI 18:1_22:5,"PI 18:1(9)_22:5(7,10,13,16,19)",0.708888889,0.910354444,0.067067577,0.215578395,Some,Some,0,35130.95031,21104.21723,23835.94577,8643.575553,0,,29203.76962,28543.59206,22023.74229,21457.00637,21329.76969,34016.80099,30158.66512,23268.63049,28744.53687,40091.80899,32879.6489
N3963,6.314,909.55053,909.54985,0.747622574,C49H83O13P,CCC=CCC=CCC=CCC=CCC=CCCCCCC(=O)OC(COC(=O)CCCCCCCCCC=CCCCCCC)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O,[M-H]-,PI 18:1_22:5,"PI 18:1(11)_22:5(7,10,13,16,19)",0.753818182,0.913848182,0.054873472,0.210665414,All,Some,0,12518.13426,8412.924757,12525.09921,4800.986526,0,,5848.115188,5981.046931,3488.128857,4671.496815,3749.597195,13632.88125,12920.53266,10214.2646,10487.14649,15089.09902,13017.3949
N3993,6.324,819.51825,819.51816,0.109820629,C46H77O10P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 18:1_22:6,"PG 18:1(9)_22:6(4,7,10,13,16,19)",0.84,0.815536364,0.081461857,0.230723122,Some,Some,125333.3333,0,0,0,0,0,27100,0,0,0,0,0,0,0,0,0,0,0
N3993,6.324,819.51825,819.51816,0.109820629,C46H77O10P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OC(COC(=O)CCCCCCCCCC=CCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 18:1_22:6,"PG 18:1(11)_22:6(4,7,10,13,16,19)",0.7415,0.696916667,0.100890106,0.224553751,All,Some,125333.3333,0,0,0,0,0,27100,0,0,0,0,0,0,0,0,0,0,0
N3993,6.324,819.51825,819.51816,0.109820629,C46H77O10P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OC(COC(=O)CCCCC=CCCCCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 18:1_22:6,"PG 18:1(6)_22:6(4,7,10,13,16,19)",0.825818182,0.747737273,0.083017495,0.223769541,Some,Some,125333.3333,0,0,0,0,0,27100,0,0,0,0,0,0,0,0,0,0,0
N4014,6.338,885.55056,885.54985,0.801761753,C47H83O13P,CCCCCCCCC=CCC=CCC=CCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O,[M-H]-,PI 18:1_20:3,"PI 18:1(9)_20:3(5,8,11)",0.8125,0.887605,0.119453928,0.265573643,Some,Some,,142000,98000,120020.8277,75921.76358,63000,,127987.8535,126333.3333,131666.6667,141333.3333,165126.4254,173709.9597,163000,130885.759,133666.6667,124064.3943,147666.6667
N4014,6.338,885.55056,885.54985,0.801761753,C47H83O13P,CCCCCCCCC=CCC=CCC=CCCCC(=O)OC(COC(=O)CCCCC=CCCCCCCCCCCC)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O,[M-H]-,PI 18:1_20:3,"PI 18:1(6)_20:3(5,8,11)",0.752333333,0.875875,0.101642434,0.244134781,Some,Some,,142000,98000,120020.8277,70737.16983,63000,,127987.8535,126333.3333,131666.6667,141333.3333,175277.6401,168645.0202,163000,144228.482,133666.6667,139871.2115,147666.6667
N4014,6.338,885.55056,885.54985,0.801761753,C47H83O13P,CCCCCCCCC=CCC=CCC=CCCCC(=O)OC(COC(=O)CCCCCCCCCC=CCCCCCC)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O,[M-H]-,PI 18:1_20:3,"PI 18:1(11)_20:3(5,8,11)",0.866,0.874468571,0.087122086,0.243744526,All,Some,,142000,98000,97958.34468,62341.06659,63000,,109024.2929,126333.3333,131666.6667,141333.3333,114595.9346,168645.0202,163000,130885.759,133666.6667,124064.3943,147666.6667
N4036,6.349,857.51976,857.51855,1.411048193,C45H79O13P,CCC=CCC=CCC=CCC=CCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O,[M-H]-,PI 16:0_20:4,"PI 16:0_20:4(8,11,14,17)",0.511,0.6275,0.324345287,0.37332623,All,Some,12805.76594,0,0,0,1559.51504,456.8331847,13100,0,0,0,0,0,0,0,0,0,0,6018.292079
N4036,6.349,857.51976,857.51855,1.411048193,C45H79O13P,CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O,[M-H]-,PI 16:0_20:4,"PI 16:0_20:4(5,8,11,14)",0.56375,0.6974425,0.268767911,0.341133579,All,Some,1794.234058,0,0,0,1850.48496,4523.166815,0,0,0,0,0,0,0,0,0,0,0,1651.707921
