feature_id,rt,mz_measured,mz_calculated,mz_error(ppm),mol_formula,smiles,adduct,primary_annotated_name,structure_annotated_name,rt_score,mz_score,spec_score,total_score,fragments_level,fragments_ms2_spectrum_level,datafile:neg_hela_HG1.mzML:area,datafile:neg_hela_HG2.mzML:area,datafile:neg_hela_HG3.mzML:area,datafile:neg_hela_HG4.mzML:area,datafile:neg_hela_HG5.mzML:area,datafile:neg_hela_HG6.mzML:area,datafile:neg_hela_LG1.mzML:area,datafile:neg_hela_LG2.mzML:area,datafile:neg_hela_LG3.mzML:area,datafile:neg_hela_LG4.mzML:area,datafile:neg_hela_LG5.mzML:area,datafile:neg_hela_LG6.mzML:area,datafile:neg_hela_S1.mzML:area,datafile:neg_hela_S2.mzML:area,datafile:neg_hela_S3.mzML:area,datafile:neg_hela_S4.mzML:area,datafile:neg_hela_S5.mzML:area,datafile:neg_hela_S6.mzML:area
N2372,4.9,791.4867,791.48686,0.202151177,C44H73O10P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OC(COC(=O)CCCCCC=CCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 16:1_22:6,"PG 16:1(7)_22:6(4,7,10,13,16,19)",0.455,0.66999875,0.106744261,0.197895284,Some,Some,0,16400,,0,0,0,,6200,2732.778026,4740,7700,2644.571046,0,,7530.456441,11200,6063.377926,5605.144574
N2372,4.9,791.4867,791.48686,0.202151177,C44H73O10P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OC(COC(=O)CCCCC=CCCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 16:1_22:6,"PG 16:1(6)_22:6(4,7,10,13,16,19)",0.348,0.610494444,0.094883788,0.171756475,Some,Some,0,0,,0,0,0,,0,1522.221974,0,0,1735.321716,0,,6630.765066,0,6063.377926,4289.710852
N2372,4.9,791.4867,791.48686,0.202151177,C44H73O10P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 16:1_22:6,"PG 16:1(9)_22:6(4,7,10,13,16,19)",0.337777778,0.613573333,0.094883788,0.171042141,Some,Some,0,0,,0,0,0,,6200,4255,4740,7700,3270.107239,0,,10238.77849,11200,8073.244147,5605.144574
N2373,4.902,691.45454,691.45556,1.475149032,C36H69O10P,CCCCCCCCC=CCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 14:0_16:1,PG 14:0_16:1(7),0.453,0.499715,0,0.0952715,All,None,,0,0,,0,,,,,,,,,,,,,0
N2420,4.99,717.47084,717.47121,0.515700135,C38H71O10P,CCCCCCCCCC=CCCCCC(=O)OC(COC(=O)CCCCC=CCCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 16:1_16:1,PG 16:1(6)_16:1(6),0.284,0.89102,0,0.117502,Some,None,,,,,0,0,,,,,,,0,0,,,,
N2420,4.99,717.47084,717.47121,0.515700135,C38H71O10P,CCCCCCCCC=CCCCCCC(=O)OC(COC(=O)CCCCC=CCCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 16:1_16:1,PG 16:1(6)_16:1(7),0.237,0.89671,0,0.113371,Some,None,,,,,0,0,,,,,,,0,3430,,,,
N2420,4.99,717.47084,717.47121,0.515700135,C38H71O10P,CCCCCCCCC=CCCCCCC(=O)OC(COC(=O)CCCCCC=CCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 16:1_16:1,PG 16:1(7)_16:1(7),0.19,0.9024,0,0.10924,Some,None,,,,,0,0,,,,,,,0,3430,,,,
N2441,5.056,743.48637,743.48686,0.659056705,C40H73O10P,CCCCCCCCC=CCC=CCCCCC(=O)OC(COC(=O)CCCCC=CCCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 16:1_18:2,"PG 16:1(6)_18:2(6,9)",0.447,0.9031375,0,0.13501375,Some,None,,,0,,0,0,,1030,,0,0,,0,,,,0,0
N2441,5.056,743.48637,743.48686,0.659056705,C40H73O10P,CCCCCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCC=CCCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 16:1_18:2,"PG 16:1(6)_18:2(9,12)",0.796,0.4973075,0,0.12933075,Some,None,,,0,,0,0,,1030,,0,0,,0,,,,0,0
N2441,5.056,743.48637,743.48686,0.659056705,C40H73O10P,CCCCCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCC=CCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 16:1_18:2,"PG 16:1(7)_18:2(9,12)",0.4545,0.71106,0,0.116556,Some,None,,,0,,0,0,,1030,,0,0,,0,,,,0,0
N2466,5.097,865.50214,865.50251,0.427497316,C50H75O10P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OC(COC(=O)CCC=CCC=CCC=CCC=CCC=CCC=CCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 22:6_22:6,"PG 22:6(4,7,10,13,16,19)_22:6(4,7,10,13,16,19)",0.72,0.897841111,0,0.161784111,Some,None,90000,0,,0,0,,,,0,0,,,0,,0,0,0,
N2566,5.173,743.48668,743.48686,0.242102463,C40H73O10P,CCCCCCCCC=CCC=CCCCCC(=O)OC(COC(=O)CCCCC=CCCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 16:1_18:2,"PG 16:1(6)_18:2(6,9)",0.704666667,0.877063333,0,0.158173,Some,None,,,,0,0,0,0,7700,,,,0,0,,,,,
N2566,5.173,743.48668,743.48686,0.242102463,C40H73O10P,CCCCCCCCC=CCC=CCCCCC(=O)OC(COC(=O)CCCCCC=CCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 16:1_18:2,"PG 16:1(7)_18:2(6,9)",0.632,0.90289,0,0.153489,Some,None,,,,0,0,0,0,7700,,,,0,0,,,,,
N2566,5.173,743.48668,743.48686,0.242102463,C40H73O10P,CCCCCCCCC=CCC=CCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 16:1_18:2,"PG 16:1(9)_18:2(6,9)",0.594,0.6977525,0,0.12917525,Some,None,,,,0,0,0,0,7700,,,,48800,0,,,,,
N2571,5.187,791.48632,791.48686,0.682260221,C44H73O10P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OC(COC(=O)CCCCCC=CCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 16:1_22:6,"PG 16:1(7)_22:6(4,7,10,13,16,19)",0.54175,0.5433375,0.220189371,0.284660247,Some,Some,5800,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
N2571,5.187,791.48632,791.48686,0.682260221,C44H73O10P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OC(COC(=O)CCCCC=CCCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 16:1_22:6,"PG 16:1(6)_22:6(4,7,10,13,16,19)",0.603142857,0.494991429,0.186470744,0.258990024,Some,Some,5800,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
N2571,5.187,791.48632,791.48686,0.682260221,C44H73O10P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 16:1_22:6,"PG 16:1(9)_22:6(4,7,10,13,16,19)",0.559142857,0.503012857,0.186470744,0.255392166,Some,Some,5800,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
N2590,5.232,805.48735,805.48725,0.124148458,C41H75O13P,CCCCCCCCC=CCCCCCCCC(=O)OC(COC(=O)CCCCC=CCCCCCCC)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O,[M-H]-,PI 14:1_18:1,PI 14:1(6)_18:1(9),0.276,0.901015,0.013310396,0.128349817,Some,Some,,4667.691362,306.4301867,3322.688716,1166.546009,0,,8766.666667,12400,13433.33333,12566.66667,,6259.595255,5652.051836,5652.972252,4496.389362,6864.961068,7609.504639
