id,rt,mz,compound_name,adduct,cosine_score,mol_formula,smiles,datafile:pos_hela_LG5_O3.mzML:area,datafile:pos_hela_LG2_O3.mzML:area,datafile:pos_hela_LG3_O3.mzML:area,datafile:pos_hela_LG1_O3.mzML:area,datafile:pos_hela_LG6_O3.mzML:area,datafile:pos_hela_S2_O3.mzML:area,datafile:pos_hela_HG2_O3.mzML:area,datafile:pos_hela_LG4_O3.mzML:area,datafile:pos_hela_HG1_O3.mzML:area,datafile:pos_hela_HG4_O3.mzML:area,datafile:pos_hela_HG5_O3.mzML:area,datafile:pos_hela_HG3_O3.mzML:area,datafile:pos_hela_S1_O3.mzML:area,datafile:pos_hela_S3_O3.mzML:area,datafile:pos_hela_HG6_O3.mzML:area,datafile:pos_hela_S4_O3.mzML:area,datafile:pos_hela_S6_O3.mzML:area,datafile:pos_hela_S5_O3.mzML:area,chain_shorthand,db_shorthand,lipid_name,name,score
16419,19.106,825.69323,TG 14:0_16:1_18:1,[M+Na]+,0.96,C51H94O6,CCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCC\C=C/CCCCCCCC)OC(=O)CCCCCCC\C=C/CCCCCC,354900.0,306900.0,358200.0,288900.0,365600.0,399100.0,485300.0,337200.0,458400.0,419900.0,366300.0,445500.0,377000.0,393200.0,445000.0,381400.0,337300.0,400400.0,TG(14:0_16:1_18:1),TG(14:0_16:1(9)_18:1(9)),TG(14:0_16:1(9)_18:1(9)),TG(14:0_16:1(9)_18:1(9)),0.4683
16427,19.107,822.74467,TG 14:0_16:1_18:0,[M+NH4]+,0.95,C51H96O6,CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCC\C=C/CCCCCC,604700.0,421300.0,551700.0,441300.0,645200.0,625200.0,930000.0,573300.0,889700.0,843100.0,748000.0,728100.0,680800.0,751700.0,0.0,680100.0,602500.0,738300.0,TG(14:0_16:1_18:0),TG(14:0_16:1(9)_18:0),TG(14:0_16:1(9)_18:0),TG(14:0_16:1(9)_18:0),0.6381666666666673
16430,19.108,820.73791,TG 16:0_16:1_16:1,[M+NH4]+,0.98,C51H94O6,CCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCC\C=C/CCCCCC)OC(=O)CCCCCCC\C=C/CCCCCC,3915000.0,3354000.0,4137000.0,2987000.0,4188000.0,4924000.0,6199000.0,3835000.0,5820000.0,5906000.0,4912000.0,5548000.0,4583000.0,4942000.0,6484000.0,4614000.0,3987000.0,4930000.0,TG(16:0_16:1_16:1),TG(16:0_16:1(9)_16:1(9)),TG(16:0_16:1(9)_16:1(9)),TG(16:0_16:1(9)_16:1(9)),0.7976666666666669
16434,19.108,834.75345,TG 15:0_16:1_18:1,[M+NH4]+,0.93,C52H96O6,CCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCC\C=C/CCCCCCCC)OC(=O)CCCCCCC\C=C/CCCCCC,552000.0,379200.0,381400.0,415800.0,460100.0,534600.0,712300.0,479900.0,1120000.0,721800.0,657400.0,641700.0,626400.0,494000.0,344900.0,444600.0,447000.0,473000.0,TG(15:0_16:1_18:1),TG(15:0_16:1(9)_18:1(9)),TG(15:0_16:1(9)_18:1(9)),TG(15:0_16:1(9)_18:1(9)),0.5791000000000004
16515,19.148,870.75531,TG 14:0_16:0_22:5,[M+NH4]+,0.98,C55H96O6,CCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCC)COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,13410.0,0.0,13500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50820.0,0.0,45280.0,41560.0,0.0,TG(14:0_16:0_22:5),"TG(14:0_16:0_22:5(7,10,13,16,19))","TG(14:0_16:0_22:5(7,10,13,16,19))","TG(14:0_16:0_22:5(7,10,13,16,19))",0.7705000000000002
16528,19.155,846.7535,TG 16:1_16:1_18:1,[M+NH4]+,0.97,C53H96O6,CCCCCCCC\C=C/CCCCCCCC(=O)OCC(COC(=O)CCCCCCC\C=C/CCCCCC)OC(=O)CCCCCCC\C=C/CCCCCC,3936000.0,3553000.0,4006000.0,3080000.0,4093000.0,3485000.0,4154000.0,3845000.0,4089000.0,4231000.0,3807000.0,3786000.0,3144000.0,3346000.0,5436000.0,3112000.0,2745000.0,3374000.0,TG(16:1_16:1_18:1),TG(16:1(9)_16:1(9)_18:1(9)),TG(16:1(9)_16:1(9)_18:1(9)),TG(16:1(9)_16:1(9)_18:1(9)),0.922600000000001
16562,19.167,832.73767,TG 16:1_16:1_17:1,[M+NH4]+,1.0,C52H94O6,CCCCCCC\C=C/CCCCCCCC(=O)OCC(COC(=O)CCCCCCC\C=C/CCCCCC)OC(=O)CCCCCCC\C=C/CCCCCC,0.0,0.0,6586.0,6982.0,0.0,13500.0,39490.0,0.0,0.0,0.0,14760.0,21930.0,0.0,0.0,30770.0,0.0,0.0,18570.0,TG(16:1_16:1_17:1),TG(16:1(9)_16:1(9)_17:1(9)),TG(16:1(9)_16:1(9)_17:1(9)),TG(16:1(9)_16:1(9)_17:1(9)),0.7877000000000021
16568,19.17,808.73766,TG 15:0_16:0_16:1,[M+NH4]+,1.0,C50H94O6,CCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCC)COC(=O)CCCCCCC\C=C/CCCCCC,0.0,0.0,32870.0,27340.0,25120.0,0.0,46030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TG(15:0_16:0_16:1),TG(15:0_16:0_16:1(9)),TG(15:0_16:0_16:1(9)),TG(15:0_16:0_16:1(9)),0.7395000000000002
16593,19.18,922.78529,TG 18:2_18:2_20:3,[M+NH4]+,0.99,C59H100O6,CCCCC\C=C/C\C=C/CCCCCCCC(=O)OCC(COC(=O)CCCCCCCCC\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,187800.0,271400.0,199600.0,191900.0,132200.0,456700.0,580500.0,205300.0,624700.0,764600.0,870700.0,497400.0,475400.0,482400.0,1615000.0,419600.0,383300.0,457900.0,TG(18:2_18:2_20:3),"TG(18:2(9,12)_18:2(9,12)_20:3(8,11,14))","TG(18:2(9,12)_18:2(9,12)_20:3(8,11,14))","TG(18:2(9,12)_18:2(9,12)_20:3(8,11,14))",0.9375
16617,19.203,910.78601,TG 16:0_17:1_22:5,[M+NH4]+,0.92,C58H100O6,CCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCC\C=C/CCCCCCC,0.0,24650.0,0.0,0.0,0.0,0.0,35000.0,0.0,0.0,67640.0,99940.0,20600.0,41830.0,32480.0,160800.0,0.0,0.0,18440.0,TG(16:0_17:1_22:5),"TG(16:0_17:1(9)_22:5(7,10,13,16,19))","TG(16:0_17:1(9)_22:5(7,10,13,16,19))","TG(16:0_17:1(9)_22:5(7,10,13,16,19))",0.9466538461538463
16623,19.206,858.75375,TG 16:1_17:1_18:2,[M+NH4]+,0.96,C54H96O6,CCCCCCC\C=C/CCCCCCCC(=O)OC(COC(=O)CCCCCCC\C=C/CCCCCC)COC(=O)CCCCCCC\C=C/C\C=C/CCCCC,0.0,6830.0,0.0,0.0,0.0,0.0,12870.0,0.0,16700.0,80720.0,34000.0,0.0,17640.0,0.0,61240.0,23860.0,15140.0,31130.0,TG(16:1_17:1_18:2),"TG(16:1(9)_17:1(9)_18:2(9,12))","TG(16:1(9)_17:1(9)_18:2(9,12))","TG(16:1(9)_17:1(9)_18:2(9,12))",0.9953333333333335
16632,19.215,834.75328,TG 15:0_17:1_17:1,[M+NH4]+,1.0,C52H96O6,CCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCC\C=C/CCCCCCC)OC(=O)CCCCCCC\C=C/CCCCCCC,0.0,0.0,0.0,48470.0,166300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TG(15:0_17:1_17:1),TG(15:0_17:1(9)_17:1(9)),TG(15:0_17:1(9)_17:1(9)),TG(15:0_17:1(9)_17:1(9)),0.6784999999999997
